file_name,input_iq,experiment_id,corridor_id,position_id,sf,tx_power_dbm,preamble_len,status,error,sync_returncode,sync_elapsed_s,header_returncode,header_elapsed_s,probe_returncode,probe_elapsed_s,probe_file_name,probe_input_iq,probe_symbol_csv,probe_detected_events,probe_framesync_valid,probe_header_valid_packets,probe_traditional_fft_crc_valid,probe_traditional_fft_crc_valid_rate,probe_multi_offset_argmax_crc_valid,probe_multi_offset_argmax_crc_valid_rate,probe_current_selected_crc_valid,probe_current_selected_crc_valid_rate,probe_savaux_paper_crc_valid,probe_savaux_paper_crc_valid_rate,probe_savaux_codec_crc_valid,probe_savaux_codec_crc_valid_rate,probe_savaux_codec_extra_crc_valid_vs_paper,probe_savaux_codec_mean_symbol_change_count,probe_note
1_0_10_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_10_11_2_16.bin,1,0,10,11,2,16,ok,,0,43.656,0,0.250,0,1.469,1_0_10_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_10_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_sf11_all_fastscreen_sample20m_hop2_probe3\header_first\1_0_10_11_2_16_header_first_symbols.csv,8,8,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
1_0_11_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_11_11_2_16.bin,1,0,11,11,2,16,ok,,0,34.156,0,0.250,0,1.547,1_0_11_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_11_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_sf11_all_fastscreen_sample20m_hop2_probe3\header_first\1_0_11_11_2_16_header_first_symbols.csv,7,7,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
1_0_12_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_12_11_2_16.bin,1,0,12,11,2,16,ok,,0,42.797,0,0.265,0,1.469,1_0_12_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_12_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_sf11_all_fastscreen_sample20m_hop2_probe3\header_first\1_0_12_11_2_16_header_first_symbols.csv,7,7,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
1_0_13_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_13_11_2_16.bin,1,0,13,11,2,16,ok,,0,43.719,0,0.250,0,1.484,1_0_13_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_13_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_sf11_all_fastscreen_sample20m_hop2_probe3\header_first\1_0_13_11_2_16_header_first_symbols.csv,7,7,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
1_0_14_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_14_11_2_16.bin,1,0,14,11,2,16,ok,,0,1.313,0,0.188,0,0.375,1_0_14_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_14_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_sf11_all_fastscreen_sample20m_hop2_probe3\header_first\1_0_14_11_2_16_header_first_symbols.csv,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
1_0_15_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_15_11_2_16.bin,1,0,15,11,2,16,ok,,0,33.078,0,0.235,0,1.609,1_0_15_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_15_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_sf11_all_fastscreen_sample20m_hop2_probe3\header_first\1_0_15_11_2_16_header_first_symbols.csv,3,3,3,2,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,3,1.0,3,1.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
1_0_16_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_16_11_2_16.bin,1,0,16,11,2,16,ok,,0,29.250,0,0.219,0,8.937,1_0_16_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_16_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_sf11_all_fastscreen_sample20m_hop2_probe3\header_first\1_0_16_11_2_16_header_first_symbols.csv,3,3,3,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
1_0_8_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_8_11_2_16.bin,1,0,8,11,2,16,ok,,0,31.110,0,0.234,0,1.578,1_0_8_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_8_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_sf11_all_fastscreen_sample20m_hop2_probe3\header_first\1_0_8_11_2_16_header_first_symbols.csv,5,5,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
1_0_9_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_9_11_2_16.bin,1,0,9,11,2,16,ok,,0,39.969,0,0.250,0,1.578,1_0_9_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_9_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_sf11_all_fastscreen_sample20m_hop2_probe3\header_first\1_0_9_11_2_16_header_first_symbols.csv,7,7,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
1_1_0_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_1_0_11_2_16.bin,1,1,0,11,2,16,ok,,0,44.187,0,0.250,0,1.625,1_1_0_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_1_0_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_sf11_all_fastscreen_sample20m_hop2_probe3\header_first\1_1_0_11_2_16_header_first_symbols.csv,7,7,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
