snr_db,mode,packets,total_symbols,correct_symbols,overall_ser,payload_template_known_total,reconstructed_exact,reconstructed_compared,reconstructed_unknown_bytes_total,header_methods,summary_path
-20,no_prior,4,150,72,0.5200,0,0,0,0,"{""argmax"": 2, ""phase_checksum_beam"": 2}",D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\session_sweep\snr_m20dB\no_prior\0_0_0_10_14_16_snr_m20dB_phase_guided_summary.csv
-20,header_prior,5,175,108,0.3829,0,0,0,0,"{""session_header_prior_forced"": 5}",D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\session_sweep\snr_m20dB\header_prior\0_0_0_10_14_16_snr_m20dB_phase_guided_summary.csv
-20,session_full,5,175,154,0.1200,125,5,5,0,"{""session_header_prior_forced"": 5}",D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\session_sweep\snr_m20dB\session_full\0_0_0_10_14_16_snr_m20dB_phase_guided_summary.csv
-23,no_prior,5,181,35,0.8066,0,0,0,0,"{""phase_checksum_beam"": 5}",D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\session_sweep\snr_m23dB\no_prior\0_0_0_10_14_16_snr_m23dB_phase_guided_summary.csv
-23,header_prior,5,175,39,0.7771,0,0,0,0,"{""session_header_prior_forced"": 5}",D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\session_sweep\snr_m23dB\header_prior\0_0_0_10_14_16_snr_m23dB_phase_guided_summary.csv
-23,session_full,5,175,138,0.2114,125,5,5,0,"{""session_header_prior_forced"": 5}",D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\session_sweep\snr_m23dB\session_full\0_0_0_10_14_16_snr_m23dB_phase_guided_summary.csv
-25,no_prior,5,353,6,0.9830,0,0,0,0,"{""argmax"": 1, ""phase_checksum_beam"": 4}",D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\session_sweep\snr_m25dB\no_prior\0_0_0_10_14_16_snr_m25dB_phase_guided_summary.csv
-25,header_prior,5,175,10,0.9429,0,0,0,0,"{""session_header_prior_forced"": 5}",D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\session_sweep\snr_m25dB\header_prior\0_0_0_10_14_16_snr_m25dB_phase_guided_summary.csv
-25,session_full,5,175,131,0.2514,125,5,5,0,"{""session_header_prior_forced"": 5}",D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\session_sweep\snr_m25dB\session_full\0_0_0_10_14_16_snr_m25dB_phase_guided_summary.csv
-27,no_prior,4,332,2,0.9940,0,0,0,0,"{""argmax"": 1, ""phase_checksum_beam"": 3}",D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\session_sweep\snr_m27dB\no_prior\0_0_0_10_14_16_snr_m27dB_phase_guided_summary.csv
-27,header_prior,5,175,2,0.9886,0,0,0,0,"{""session_header_prior_forced"": 5}",D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\session_sweep\snr_m27dB\header_prior\0_0_0_10_14_16_snr_m27dB_phase_guided_summary.csv
-27,session_full,5,175,126,0.2800,125,5,5,0,"{""session_header_prior_forced"": 5}",D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\phase_guided\session_sweep\snr_m27dB\session_full\0_0_0_10_14_16_snr_m27dB_phase_guided_summary.csv
