target_snr_db,packet_index,event_index,frame_index,payload_symbol_count,argmax_correct_rate,gt_bin_amp_mean,gt_bin_amp_std,gt_peak_energy_ratio_mean,gt_peak_energy_ratio_std,phase_slope_pi_per_symbol,phase_linear_r2,phase_linear_rmse_pi,phase_residual_std_pi,phase_residual_peak_to_peak_pi,phase_residual_quad_r2,mean_gt_bin_rank,gt_top8_recall,gt_top16_recall,gt_top32_recall
-23.0,0,0,0,35,0.37142857142857144,11.374486496469919,3.234822765953781,0.006720892612071991,0.003791419105533565,-0.052480334066114895,0.8692310583471895,0.20558023748239396,0.20558023748239396,0.6707513586637346,0.7514444838220569,20.714285714285715,0.6571428571428571,0.7428571428571429,0.8
-23.0,1,1,1,35,0.2857142857142857,11.206182268738898,3.247187057213472,0.006525223025258889,0.0037367311814206065,-0.04541434963650229,0.8504688848999804,0.19232234974452697,0.19232234974452697,0.7152875875772433,0.8018385454655801,26.685714285714287,0.6857142857142857,0.7714285714285715,0.8285714285714286
-23.0,2,2,2,35,0.37142857142857144,11.337998623472673,2.47472538431671,0.006562610511901399,0.00278874403961652,-0.046595013526511964,0.809323370125115,0.22841636769431195,0.22841636769431195,0.8535791247390428,0.8596782884584921,12.542857142857143,0.6285714285714286,0.7142857142857143,0.9142857142857143
-23.0,3,3,3,35,0.34285714285714286,11.127787182396427,2.6612524254620933,0.006331160956539254,0.002829521433594968,-0.0462006874425597,0.8188394521895449,0.2194729275134057,0.2194729275134057,0.9077622515318353,0.871109385827934,22.942857142857143,0.6857142857142857,0.7428571428571429,0.8
-23.0,4,4,4,35,0.17142857142857143,9.782884476367526,2.617177664759881,0.004957932104155173,0.0024488157658085203,-0.040724872818750965,0.8076628939420887,0.20071336676334278,0.20071336676334273,0.8514246945354491,0.7675404373674852,53.91428571428571,0.4857142857142857,0.6571428571428571,0.7714285714285715
-23.0,5,5,5,35,0.08571428571428572,7.855120910424325,2.8272000557106325,0.0033852234045529607,0.0023740724003729766,0.01663119526374262,0.04484264589427589,0.7752029120274854,0.5511718054985842,1.8578350855467871,0.035389403401929864,133.02857142857144,0.2,0.2571428571428571,0.4
-23.0,6,6,6,35,0.05714285714285714,7.870235518311186,2.552469775743622,0.003318174511112504,0.0020363534055243054,-0.08152245645664043,0.5474320485680471,0.7486074278752562,0.532673606932248,1.7955474025059257,0.0762206932210242,119.65714285714286,0.2571428571428571,0.2571428571428571,0.45714285714285713
-23.0,7,7,7,35,0.11428571428571428,9.428522259228737,2.006109316593353,0.004491881227161375,0.0018037375893867145,-0.02671359621736545,0.10830846252619086,0.7741205030254722,0.630803526687734,1.918102122072646,0.05969599709326112,38.97142857142857,0.34285714285714286,0.5142857142857142,0.6571428571428571
-23.0,8,8,8,35,0.05714285714285714,8.171662353828319,2.8511110783795024,0.0036609355600103447,0.0023797535215157625,-0.1479589725319752,0.8603018951467895,0.6021590392780672,0.5547487551679766,1.9390024540574817,0.04716645236226602,124.02857142857142,0.2857142857142857,0.42857142857142855,0.5142857142857142
-23.0,9,9,9,35,0.2,9.510213895036067,3.3364858947886598,0.004894086437779217,0.0034158921285645885,-0.08436878008021154,0.47848890910958475,0.8895650098017605,0.6094501507317248,1.9884002581098983,0.08778580304746864,77.77142857142857,0.42857142857142855,0.5428571428571428,0.6571428571428571
-20.0,0,0,0,35,0.8285714285714286,11.006458918747667,2.305263881324624,0.01205915609290945,0.00502594889830084,-0.052227591227568135,0.8792038940678173,0.19551574984249043,0.19551574984249043,0.6462775474904962,0.8625285016077916,1.4857142857142858,1.0,1.0,1.0
-20.0,1,1,1,35,0.8857142857142857,11.163973170639984,2.3341499393479577,0.01238122716023142,0.005087170160155396,-0.045167076122957624,0.8556843466674777,0.18733632210289725,0.18733632210289725,0.691691107312812,0.8971225898826081,1.8571428571428572,0.9714285714285714,0.9714285714285714,1.0
-20.0,2,2,2,35,0.9142857142857143,11.08039821328392,1.8212083651695343,0.01217390312649197,0.003927137057145213,-0.04594027468362362,0.8259200645574232,0.2130095248103654,0.2130095248103654,0.7312366826817225,0.9237739165596065,1.1714285714285715,1.0,1.0,1.0
-20.0,3,3,3,35,0.8571428571428571,10.974222980191794,1.8985684102913245,0.011897796322787677,0.0038840614730951545,-0.04632813995137484,0.8396656015725102,0.2044584773337547,0.20445847733375466,0.7879871246303642,0.9271674131498566,1.542857142857143,0.9714285714285714,1.0,1.0
-20.0,4,4,4,35,0.7714285714285715,9.687662307567965,1.845726865769018,0.009324764288192133,0.003392193685110897,-0.04196952483737313,0.8335947847126731,0.18938261563058037,0.18938261563058037,0.7158456937081347,0.8782051706208562,4.142857142857143,0.8857142857142857,0.9142857142857143,0.9714285714285714
-20.0,5,5,5,35,0.3142857142857143,7.551965734416742,2.0896957213164784,0.005929860796177471,0.003245836425304588,-0.06959165384333225,0.5625278076855409,0.6198127015056102,0.4934075101882254,1.9745518992737516,0.017393512005350442,31.514285714285716,0.6,0.6571428571428571,0.7714285714285715
-20.0,6,6,6,35,0.34285714285714286,7.812323802167605,1.819675384967703,0.006208376783592817,0.0028133966690186,-0.08108738269893628,0.539254782501533,0.7569841459113934,0.5313105808403363,1.8537356336380106,0.0791106242207702,15.0,0.6,0.7428571428571429,0.8285714285714286
-20.0,7,7,7,35,0.42857142857142855,8.908788901934619,1.422589582071686,0.00782520704031525,0.002407715706428936,-0.026268844756206416,0.10557788216869768,0.77219298485756,0.6094738919402946,1.9030815803510337,0.15684334058572957,3.8285714285714287,0.9142857142857143,0.9428571428571428,0.9714285714285714
-20.0,8,8,8,35,0.45714285714285713,8.045282450977574,2.0628904836217967,0.006703157751129262,0.0032742254249422584,-0.14798494794603861,0.8595320457674364,0.6041923500028415,0.5486173608392074,1.910924202084931,0.04068676728100251,18.914285714285715,0.6857142857142857,0.7142857142857143,0.8571428571428571
-20.0,9,9,9,35,0.5428571428571428,8.993681208289745,2.431281128260121,0.0083226316702701,0.004471288923092024,-0.08490761756830623,0.4746027891807897,0.9022470679194583,0.6080422446397193,1.8448034344294442,0.01981081861043832,14.371428571428572,0.8,0.8857142857142857,0.8857142857142857
