scenario,target_tx_dbm,trial,symbol_index,gt_bin,branch0_bin,savaux_bin,equal8_bin,equal8_wrap_bin,gls8_direct_bin,gls8_cg_bin,gls8_cg_wrap_bin,conditional_gls_bin,savaux_margin_db,branch_color_mismatch,conditional_backend_ran
thermal_only,-63.0,0,0,596,596,596,596,596,596,596,596,596,5.773704825027557,1.2799251201182682,0
thermal_only,-63.0,0,1,975,975,975,975,975,975,975,975,975,5.767310204799836,1.2784350403004923,0
thermal_only,-63.0,0,2,938,938,938,938,938,938,938,938,938,4.944400134597894,1.2826400817996775,0
thermal_only,-63.0,0,3,11,11,11,11,11,11,11,11,11,8.132313144596266,1.2996119560083483,0
thermal_only,-63.0,0,4,664,664,664,664,664,664,664,664,664,6.663462953059575,1.2789337217153744,0
thermal_only,-63.0,0,5,67,67,67,67,67,67,67,67,67,9.51072144294952,1.2879990036192521,0
thermal_only,-63.0,0,6,336,336,336,336,336,336,336,336,336,5.976773662983775,1.2816561191756248,0
thermal_only,-63.0,0,7,207,207,207,207,207,207,207,207,207,6.120747684560501,1.2922055231106595,0
thermal_only,-63.0,0,8,261,261,261,261,261,261,261,261,261,4.826282043151407,1.2798138405876964,0
thermal_only,-63.0,0,9,540,540,540,540,540,540,540,540,540,5.687012415689115,1.2851621490277785,0
thermal_only,-63.0,0,10,499,499,499,499,499,499,499,499,499,7.722929945587673,1.2733816287756607,0
thermal_only,-63.0,0,11,475,475,475,475,475,475,475,475,475,6.341445044155369,1.2854530568186875,0
thermal_only,-63.0,0,12,596,596,596,596,596,596,596,596,596,5.099800367567334,1.2809740501143165,0
thermal_only,-63.0,0,13,229,229,229,229,229,229,229,229,229,6.08003585068057,1.2750126747305222,0
thermal_only,-63.0,0,14,993,993,993,993,993,993,993,993,993,4.213113699302152,1.2796122438495081,0
thermal_only,-63.0,0,15,993,993,993,993,993,993,993,993,993,3.0711583081223255,1.284649312515918,0
thermal_only,-63.0,0,16,597,597,597,597,597,597,597,597,597,7.233475769445839,1.290473511255652,0
thermal_only,-63.0,0,17,758,758,758,758,758,758,758,758,758,5.810138123126388,1.2851359299113632,0
thermal_only,-63.0,0,18,296,296,296,296,296,296,296,296,296,5.375291067165579,1.27277030539899,0
thermal_only,-63.0,0,19,478,478,478,478,478,478,478,478,478,5.764829136613403,1.2811446124786274,0
thermal_only,-63.0,0,20,79,79,79,79,79,79,79,79,79,7.098403885098245,1.2698837842186828,0
thermal_only,-63.0,0,21,77,77,77,77,77,77,77,77,77,3.6675635855444155,1.2711903946076801,0
thermal_only,-63.0,0,22,8,8,8,8,8,8,8,8,8,5.421624802801221,1.289687717794329,0
thermal_only,-63.0,0,23,301,301,301,301,301,301,301,301,301,5.748647672692176,1.2659262028927567,0
thermal_only,-63.0,0,24,881,881,881,881,881,881,881,881,881,5.233453129607641,1.2941960585034549,0
thermal_only,-63.0,0,25,988,988,988,988,988,988,988,988,988,9.16769204574887,1.3055347069986114,0
thermal_only,-63.0,0,26,178,178,178,178,178,178,178,178,178,6.360809480853106,1.2694046428155363,0
thermal_only,-63.0,0,27,929,929,929,929,929,929,929,929,929,7.37046837052453,1.2758824783730762,0
thermal_only,-63.0,0,28,360,360,360,360,360,360,360,360,360,6.234898102704108,1.2769148426315788,0
