dataset,snr_db,seed,packet_count,symbol_count,mean_gt_topk_recall,mean_gt_savaux_rank,savaux_ser,best_pattern_ser,mean_pattern_ser,coherent_pattern_ser,whitened_pattern_ser,stable_pattern_ser,hybrid_mean_pattern_ser,gated_mean_pattern_ser,gated_stable_pattern_ser,gated_consensus_pattern_ser,gated_hybrid_pattern_ser,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,best_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,mean_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,coherent_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,whitened_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,stable_pattern_changes_vs_savaux,hybrid_mean_pattern_fix_vs_savaux,hybrid_mean_pattern_break_vs_savaux,hybrid_mean_pattern_changes_vs_savaux,gated_mean_pattern_fix_vs_savaux,gated_mean_pattern_break_vs_savaux,gated_mean_pattern_changes_vs_savaux,gated_stable_pattern_fix_vs_savaux,gated_stable_pattern_break_vs_savaux,gated_stable_pattern_changes_vs_savaux,gated_consensus_pattern_fix_vs_savaux,gated_consensus_pattern_break_vs_savaux,gated_consensus_pattern_changes_vs_savaux,gated_hybrid_pattern_fix_vs_savaux,gated_hybrid_pattern_break_vs_savaux,gated_hybrid_pattern_changes_vs_savaux
0_0_0_10_14_8,-25.0,1,2,70,0.9428571428571428,3.071428571428571,0.21428571428571427,0.5142857142857142,0.2,0.24285714285714285,0.22857142857142856,0.22857142857142856,0.21428571428571427,0.2,0.21428571428571427,0.21428571428571427,0.21428571428571427,4,25,38,2,1,10,1,3,10,2,3,11,0,1,1,1,1,4,2,1,7,0,0,0,0,0,0,0,0,1
0_0_0_10_14_8,-26.0,1,2,70,0.8857142857142857,8.385714285714286,0.3,0.6857142857142857,0.4142857142857143,0.4,0.37142857142857144,0.3,0.34285714285714286,0.32857142857142857,0.3142857142857143,0.3,0.2857142857142857,2,29,45,1,9,22,1,8,19,1,6,17,1,1,4,2,5,12,1,3,11,0,1,2,0,0,0,1,0,3
0_0_0_10_14_8,-25.0,2,2,70,0.9857142857142858,2.2,0.2,0.6,0.21428571428571427,0.2,0.2,0.2,0.21428571428571427,0.21428571428571427,0.2,0.2,0.21428571428571427,1,29,39,2,3,7,3,3,10,3,3,10,1,1,3,2,3,7,1,2,5,0,0,0,0,0,0,1,2,4
0_0_0_10_14_8,-26.0,2,2,70,0.9142857142857143,5.514285714285714,0.3,0.7,0.42857142857142855,0.37142857142857144,0.4,0.2857142857142857,0.32857142857142857,0.3142857142857143,0.2857142857142857,0.3,0.2714285714285714,1,29,44,2,11,18,3,8,17,3,10,19,2,1,5,3,5,12,2,3,10,1,0,2,0,0,1,2,0,5
0_0_0_10_14_8,-25.0,42,2,70,0.9857142857142858,1.9857142857142858,0.21428571428571427,0.6285714285714286,0.22857142857142856,0.2571428571428571,0.2571428571428571,0.24285714285714285,0.22857142857142856,0.24285714285714285,0.22857142857142856,0.21428571428571427,0.21428571428571427,2,31,43,2,3,10,0,3,5,0,3,5,0,2,3,1,2,6,0,2,5,0,1,1,0,0,0,0,0,1
0_0_0_10_14_8,-26.0,42,2,70,0.9285714285714286,5.3,0.3142857142857143,0.7571428571428571,0.3142857142857143,0.32857142857142857,0.32857142857142857,0.3142857142857143,0.3142857142857143,0.3,0.3142857142857143,0.3142857142857143,0.3142857142857143,1,32,49,2,2,10,2,3,9,2,3,9,1,1,4,2,2,8,2,1,6,0,0,1,0,0,0,0,0,1
0_0_0_10_14_16,-25.0,1,2,70,0.9714285714285714,2.4857142857142858,0.22857142857142856,0.6571428571428571,0.3142857142857143,0.35714285714285715,0.37142857142857144,0.22857142857142856,0.2857142857142857,0.2571428571428571,0.22857142857142856,0.22857142857142856,0.22857142857142856,2,32,45,2,8,16,1,10,16,1,11,17,1,1,5,2,6,10,0,2,3,0,0,0,0,0,0,0,0,1
0_0_0_10_14_16,-26.0,1,2,70,0.9285714285714286,6.371428571428572,0.4857142857142857,0.7571428571428571,0.5,0.45714285714285713,0.45714285714285713,0.4857142857142857,0.4714285714285714,0.5142857142857142,0.5,0.4714285714285714,0.4857142857142857,4,23,51,4,5,22,5,3,18,5,3,19,2,2,9,4,3,13,2,4,12,1,2,3,1,0,1,1,1,5
0_0_0_10_14_16,-25.0,2,2,70,0.9714285714285714,2.4714285714285715,0.24285714285714285,0.6285714285714286,0.3142857142857143,0.3142857142857143,0.3,0.21428571428571427,0.24285714285714285,0.2857142857142857,0.22857142857142856,0.24285714285714285,0.21428571428571427,0,27,40,3,8,18,2,7,17,2,6,16,2,0,5,3,3,12,3,6,15,1,0,2,0,0,0,2,0,7
0_0_0_10_14_16,-26.0,2,2,70,0.8714285714285714,6.757142857142857,0.4142857142857143,0.7857142857142857,0.5285714285714286,0.45714285714285713,0.4714285714285714,0.44285714285714284,0.4857142857142857,0.4714285714285714,0.4142857142857143,0.4142857142857143,0.44285714285714284,2,28,53,1,9,29,3,6,25,3,7,26,1,3,12,1,6,23,1,5,22,0,0,4,0,0,1,0,2,12
