event_index,start_sample,end_sample,first_window_index,last_window_index,window_count,reference_bin,reference_signed_bin,bin_min,bin_max,mean_peak_power,mean_confidence_db,max_peak_share,sf,bw,samp_rate,os_factor,chirp_samples,win_chirps,hop_samples,min_periodic_peaks,bin_tol
0,1802240,2113536,110,125,16,14409,-1975,14409,14409,13510.010742968936,0.87360839325881,0.36678335937209317,12,125000.0,500000.0,4,16384,4,16384,13,2
1,4308992,4669440,263,281,19,16061,-323,16061,16061,24560.789371718896,4.238829520024501,0.43173693742396324,12,125000.0,500000.0,4,16384,4,16384,13,2
2,6815744,7176192,416,434,19,1264,1264,1264,1264,20114.28660895581,5.69637132286622,0.3346453866080204,12,125000.0,500000.0,4,16384,4,16384,13,2
3,9306112,9650176,568,585,18,15151,-1233,15151,15151,14797.851145165494,0.662866895661375,0.41931853137973074,12,125000.0,500000.0,4,16384,4,16384,13,2
4,11812864,12173312,721,739,19,403,403,403,403,34842.41261057014,9.622027344970972,0.6180997732936581,12,125000.0,500000.0,4,16384,4,16384,13,2
5,14368768,14680064,877,892,16,1966,1966,1966,1966,14344.808297336102,0.8135157844889331,0.20885224120646445,12,125000.0,500000.0,4,16384,4,16384,13,2
6,16809984,17154048,1026,1043,18,15753,-631,15753,15753,12628.717808720601,11.350866765156365,0.42482923769595526,12,125000.0,500000.0,4,16384,4,16384,13,2
7,19316736,19660800,1179,1196,18,971,971,971,971,11852.194457002435,2.366631227753232,0.2688397235557646,12,125000.0,500000.0,4,16384,4,16384,13,2
8,21807104,22167552,1331,1349,19,14870,-1514,14870,14870,15888.057019136564,2.4003048317773996,0.2486354830916152,12,125000.0,500000.0,4,16384,4,16384,13,2
9,24313856,24657920,1484,1501,18,115,115,115,115,40233.40049649941,11.682946465491511,0.7112702068089625,12,125000.0,500000.0,4,16384,4,16384,13,2
