dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_in_candidates,candidate_count,gt_abs_tau_residual_rank,gt_tau_gain_rank,gt_corrected_coherence_rank,gt_abs_tau_residual_rank_pct,gt_tau_gain_rank_pct,gt_corrected_coherence_rank_pct,selected_abs_tau_residual_rank,selected_tau_gain_rank,selected_corrected_coherence_rank
0_0_0_10_14_16,-25.0,42,9,8,1,4,1,4,1,1.0,0.0,1.0,1,4,1
0_0_0_10_14_16,-25.0,42,9,9,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,9,10,1,4,3,1,1,0.33333333333333337,1.0,1.0,3,1,1
0_0_0_10_14_16,-25.0,42,9,11,1,40,32,23,1,0.20512820512820518,0.4358974358974359,1.0,32,23,1
0_0_0_10_14_16,-25.0,42,9,12,1,40,2,39,3,0.9743589743589743,0.02564102564102566,0.9487179487179487,2,39,3
0_0_0_10_14_16,-25.0,42,9,13,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,9,14,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,9,15,1,4,1,4,1,1.0,0.0,1.0,1,4,1
0_0_0_10_14_16,-25.0,42,9,16,1,4,1,4,3,1.0,0.0,0.33333333333333337,1,4,3
0_0_0_10_14_16,-25.0,42,9,17,1,4,1,4,1,1.0,0.0,1.0,2,3,3
0_0_0_10_14_16,-25.0,42,9,18,0,40,0,0,0,0.0,0.0,0.0,2,39,33
0_0_0_10_14_16,-25.0,42,9,19,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,9,20,1,40,25,26,23,0.3846153846153846,0.3589743589743589,0.4358974358974359,25,26,23
0_0_0_10_14_16,-25.0,42,9,21,1,4,3,1,3,0.33333333333333337,1.0,0.33333333333333337,3,1,3
0_0_0_10_14_16,-25.0,42,9,22,1,40,25,27,6,0.3846153846153846,0.33333333333333337,0.8717948717948718,25,27,6
0_0_0_10_14_16,-25.0,42,9,23,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,9,24,1,40,13,37,29,0.6923076923076923,0.07692307692307687,0.28205128205128205,13,37,29
0_0_0_10_14_16,-25.0,42,9,25,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,9,26,1,40,1,10,5,1.0,0.7692307692307692,0.8974358974358975,32,5,7
0_0_0_10_14_16,-25.0,42,9,27,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,9,28,1,40,38,22,11,0.05128205128205132,0.46153846153846156,0.7435897435897436,38,22,11
0_0_0_10_14_16,-25.0,42,9,29,1,4,2,4,2,0.6666666666666667,0.0,0.6666666666666667,2,4,2
0_0_0_10_14_16,-25.0,42,9,30,1,40,40,2,2,0.0,0.9743589743589743,0.9743589743589743,1,21,1
0_0_0_10_14_16,-25.0,42,9,31,1,40,35,16,1,0.1282051282051282,0.6153846153846154,1.0,35,16,1
0_0_0_10_14_16,-25.0,42,9,32,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,9,33,1,40,5,13,28,0.8974358974358975,0.6923076923076923,0.3076923076923077,26,8,12
0_0_0_10_14_16,-25.0,42,9,34,1,40,6,40,5,0.8717948717948718,0.0,0.8974358974358975,6,40,5
0_0_0_10_14_16,-25.0,42,10,0,1,4,1,4,3,1.0,0.0,0.33333333333333337,1,4,3
0_0_0_10_14_16,-25.0,42,10,1,0,16,0,0,0,0.0,0.0,0.0,1,16,8
0_0_0_10_14_16,-25.0,42,10,2,1,4,1,4,1,1.0,0.0,1.0,1,4,1
0_0_0_10_14_16,-25.0,42,10,3,1,4,4,1,1,0.0,1.0,1.0,4,1,1
0_0_0_10_14_16,-25.0,42,10,4,1,4,4,1,2,0.0,1.0,0.6666666666666667,4,1,2
0_0_0_10_14_16,-25.0,42,10,5,0,16,0,0,0,0.0,0.0,0.0,7,6,3
0_0_0_10_14_16,-25.0,42,10,6,1,16,1,4,5,1.0,0.8,0.7333333333333334,1,4,5
0_0_0_10_14_16,-25.0,42,10,7,1,16,10,8,6,0.4,0.5333333333333333,0.6666666666666667,10,8,6
0_0_0_10_14_16,-25.0,42,10,8,1,4,3,4,2,0.33333333333333337,0.0,0.6666666666666667,3,4,2
0_0_0_10_14_16,-25.0,42,10,9,1,16,11,7,13,0.33333333333333337,0.6,0.19999999999999996,11,7,13
0_0_0_10_14_16,-25.0,42,10,10,1,4,3,4,2,0.33333333333333337,0.0,0.6666666666666667,3,4,2
0_0_0_10_14_16,-25.0,42,10,11,0,4,0,0,0,0.0,0.0,0.0,2,4,2
0_0_0_10_14_16,-25.0,42,10,12,1,4,1,2,2,1.0,0.6666666666666667,0.6666666666666667,1,2,2
0_0_0_10_14_16,-25.0,42,10,13,1,4,1,2,1,1.0,0.6666666666666667,1.0,1,2,1
0_0_0_10_14_16,-25.0,42,10,14,1,4,1,4,1,1.0,0.0,1.0,1,4,1
0_0_0_10_14_16,-25.0,42,10,15,1,4,1,4,2,1.0,0.0,0.6666666666666667,1,4,2
0_0_0_10_14_16,-25.0,42,10,16,1,4,1,3,1,1.0,0.33333333333333337,1.0,1,3,1
0_0_0_10_14_16,-25.0,42,10,17,1,16,4,16,11,0.8,0.0,0.33333333333333337,4,16,11
0_0_0_10_14_16,-25.0,42,10,18,1,4,4,1,1,0.0,1.0,1.0,4,1,1
0_0_0_10_14_16,-25.0,42,10,19,1,4,1,2,1,1.0,0.6666666666666667,1.0,1,2,1
0_0_0_10_14_16,-25.0,42,10,20,1,4,1,1,2,1.0,1.0,0.6666666666666667,1,1,2
0_0_0_10_14_16,-25.0,42,10,21,1,16,1,2,3,1.0,0.9333333333333333,0.8666666666666667,1,2,3
0_0_0_10_14_16,-25.0,42,10,22,0,16,0,0,0,0.0,0.0,0.0,12,9,3
0_0_0_10_14_16,-25.0,42,10,23,1,4,1,3,3,1.0,0.33333333333333337,0.33333333333333337,1,3,3
0_0_0_10_14_16,-25.0,42,10,24,1,16,2,8,11,0.9333333333333333,0.5333333333333333,0.33333333333333337,11,5,13
0_0_0_10_14_16,-25.0,42,10,25,1,16,1,10,12,1.0,0.4,0.2666666666666667,15,2,1
0_0_0_10_14_16,-25.0,42,10,26,1,16,8,8,14,0.5333333333333333,0.5333333333333333,0.1333333333333333,16,3,5
0_0_0_10_14_16,-25.0,42,10,27,0,16,0,0,0,0.0,0.0,0.0,14,2,3
0_0_0_10_14_16,-25.0,42,10,28,1,16,15,5,3,0.06666666666666665,0.7333333333333334,0.8666666666666667,6,3,7
0_0_0_10_14_16,-25.0,42,10,29,1,4,1,4,2,1.0,0.0,0.6666666666666667,1,4,2
0_0_0_10_14_16,-25.0,42,10,30,1,16,3,14,9,0.8666666666666667,0.1333333333333333,0.4666666666666667,8,3,12
0_0_0_10_14_16,-25.0,42,10,31,1,4,3,2,2,0.33333333333333337,0.6666666666666667,0.6666666666666667,3,2,2
0_0_0_10_14_16,-25.0,42,10,32,1,4,4,1,1,0.0,1.0,1.0,4,1,1
0_0_0_10_14_16,-25.0,42,10,33,1,16,6,5,12,0.6666666666666667,0.7333333333333334,0.2666666666666667,6,5,12
0_0_0_10_14_16,-25.0,42,10,34,1,4,4,2,1,0.0,0.6666666666666667,1.0,4,2,1
0_0_0_10_14_16,-25.0,42,11,0,1,4,2,2,2,0.6666666666666667,0.6666666666666667,0.6666666666666667,2,2,2
0_0_0_10_14_16,-25.0,42,11,1,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,11,2,1,4,3,1,2,0.33333333333333337,1.0,0.6666666666666667,3,1,2
0_0_0_10_14_16,-25.0,42,11,3,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,11,4,1,4,1,4,1,1.0,0.0,1.0,1,4,1
0_0_0_10_14_16,-25.0,42,11,5,1,40,33,2,7,0.17948717948717952,0.9743589743589743,0.8461538461538461,24,11,12
0_0_0_10_14_16,-25.0,42,11,6,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,11,7,1,40,33,7,6,0.17948717948717952,0.8461538461538461,0.8717948717948718,33,7,6
0_0_0_10_14_16,-25.0,42,11,8,1,4,3,3,3,0.33333333333333337,0.33333333333333337,0.33333333333333337,3,3,3
0_0_0_10_14_16,-25.0,42,11,9,1,4,1,4,3,1.0,0.0,0.33333333333333337,1,4,3
0_0_0_10_14_16,-25.0,42,11,10,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,11,11,1,40,32,22,4,0.20512820512820518,0.46153846153846156,0.9230769230769231,32,22,4
0_0_0_10_14_16,-25.0,42,11,12,1,4,1,4,2,1.0,0.0,0.6666666666666667,1,4,2
0_0_0_10_14_16,-25.0,42,11,13,1,4,1,4,2,1.0,0.0,0.6666666666666667,1,4,2
0_0_0_10_14_16,-25.0,42,11,14,1,4,2,2,3,0.6666666666666667,0.6666666666666667,0.33333333333333337,2,2,3
0_0_0_10_14_16,-25.0,42,11,15,1,40,25,27,4,0.3846153846153846,0.33333333333333337,0.9230769230769231,38,2,3
0_0_0_10_14_16,-25.0,42,11,16,1,4,1,4,1,1.0,0.0,1.0,1,4,1
0_0_0_10_14_16,-25.0,42,11,17,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,11,18,1,40,28,12,2,0.3076923076923077,0.717948717948718,0.9743589743589743,9,40,24
0_0_0_10_14_16,-25.0,42,11,19,1,4,2,4,4,0.6666666666666667,0.0,0.0,2,4,4
0_0_0_10_14_16,-25.0,42,11,20,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,11,21,1,4,1,4,4,1.0,0.0,0.0,1,4,4
0_0_0_10_14_16,-25.0,42,11,22,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,11,23,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,11,24,1,4,3,4,3,0.33333333333333337,0.0,0.33333333333333337,3,4,3
0_0_0_10_14_16,-25.0,42,11,25,1,40,2,26,22,0.9743589743589743,0.3589743589743589,0.46153846153846156,10,40,9
0_0_0_10_14_16,-25.0,42,11,26,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,11,27,1,4,2,4,1,0.6666666666666667,0.0,1.0,2,4,1
0_0_0_10_14_16,-25.0,42,11,28,1,4,3,3,1,0.33333333333333337,0.33333333333333337,1.0,3,3,1
0_0_0_10_14_16,-25.0,42,11,29,1,40,1,12,1,1.0,0.717948717948718,1.0,1,12,1
0_0_0_10_14_16,-25.0,42,11,30,1,40,10,40,5,0.7692307692307692,0.0,0.8974358974358975,10,40,5
0_0_0_10_14_16,-25.0,42,11,31,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,11,32,1,4,4,4,3,0.0,0.0,0.33333333333333337,4,4,3
0_0_0_10_14_16,-25.0,42,11,33,1,4,1,1,3,1.0,1.0,0.33333333333333337,1,1,3
0_0_0_10_14_16,-25.0,42,11,34,1,40,1,20,12,1.0,0.5128205128205128,0.717948717948718,7,40,8
0_0_0_10_14_16,-25.0,42,12,0,1,4,1,2,1,1.0,0.6666666666666667,1.0,1,2,1
0_0_0_10_14_16,-25.0,42,12,1,1,4,2,2,3,0.6666666666666667,0.6666666666666667,0.33333333333333337,2,2,3
0_0_0_10_14_16,-25.0,42,12,2,1,4,2,2,1,0.6666666666666667,0.6666666666666667,1.0,2,2,1
0_0_0_10_14_16,-25.0,42,12,3,1,4,1,4,3,1.0,0.0,0.33333333333333337,1,4,3
0_0_0_10_14_16,-25.0,42,12,4,1,4,2,2,2,0.6666666666666667,0.6666666666666667,0.6666666666666667,2,2,2
0_0_0_10_14_16,-25.0,42,12,5,1,40,1,40,14,1.0,0.0,0.6666666666666667,1,40,14
0_0_0_10_14_16,-25.0,42,12,6,1,4,2,2,3,0.6666666666666667,0.6666666666666667,0.33333333333333337,2,2,3
0_0_0_10_14_16,-25.0,42,12,7,1,4,1,4,2,1.0,0.0,0.6666666666666667,1,4,2
0_0_0_10_14_16,-25.0,42,12,8,1,4,2,3,1,0.6666666666666667,0.33333333333333337,1.0,2,3,1
0_0_0_10_14_16,-25.0,42,12,9,1,40,1,40,6,1.0,0.0,0.8717948717948718,2,39,25
0_0_0_10_14_16,-25.0,42,12,10,1,4,1,4,3,1.0,0.0,0.33333333333333337,1,4,3
0_0_0_10_14_16,-25.0,42,12,11,1,40,16,20,12,0.6153846153846154,0.5128205128205128,0.717948717948718,17,23,25
0_0_0_10_14_16,-25.0,42,12,12,1,4,1,4,4,1.0,0.0,0.0,1,4,4
0_0_0_10_14_16,-25.0,42,12,13,1,4,3,2,1,0.33333333333333337,0.6666666666666667,1.0,3,2,1
0_0_0_10_14_16,-25.0,42,12,14,1,4,3,2,1,0.33333333333333337,0.6666666666666667,1.0,3,2,1
0_0_0_10_14_16,-25.0,42,12,15,1,40,1,40,18,1.0,0.0,0.5641025641025641,1,40,18
0_0_0_10_14_16,-25.0,42,12,16,1,40,7,27,24,0.8461538461538461,0.33333333333333337,0.41025641025641024,16,25,3
0_0_0_10_14_16,-25.0,42,12,17,1,4,1,4,2,1.0,0.0,0.6666666666666667,1,4,2
0_0_0_10_14_16,-25.0,42,12,18,1,4,2,3,3,0.6666666666666667,0.33333333333333337,0.33333333333333337,2,3,3
0_0_0_10_14_16,-25.0,42,12,19,1,4,1,4,4,1.0,0.0,0.0,1,4,4
0_0_0_10_14_16,-25.0,42,12,20,1,4,1,4,1,1.0,0.0,1.0,1,4,1
0_0_0_10_14_16,-25.0,42,12,21,1,4,2,4,1,0.6666666666666667,0.0,1.0,2,4,1
0_0_0_10_14_16,-25.0,42,12,22,1,4,4,4,3,0.0,0.0,0.33333333333333337,4,4,3
0_0_0_10_14_16,-25.0,42,12,23,1,4,1,4,2,1.0,0.0,0.6666666666666667,1,4,2
0_0_0_10_14_16,-25.0,42,12,24,1,4,1,1,2,1.0,1.0,0.6666666666666667,1,1,2
0_0_0_10_14_16,-25.0,42,12,25,1,4,2,4,1,0.6666666666666667,0.0,1.0,2,4,1
0_0_0_10_14_16,-25.0,42,12,26,1,4,4,2,1,0.0,0.6666666666666667,1.0,4,2,1
0_0_0_10_14_16,-25.0,42,12,27,1,40,7,40,6,0.8461538461538461,0.0,0.8717948717948718,7,40,6
0_0_0_10_14_16,-25.0,42,12,28,1,40,39,15,1,0.02564102564102566,0.641025641025641,1.0,39,15,1
0_0_0_10_14_16,-25.0,42,12,29,1,40,1,22,5,1.0,0.46153846153846156,0.8974358974358975,2,17,11
0_0_0_10_14_16,-25.0,42,12,30,1,4,1,1,1,1.0,1.0,1.0,1,1,1
0_0_0_10_14_16,-25.0,42,12,31,1,4,3,2,1,0.33333333333333337,0.6666666666666667,1.0,3,2,1
0_0_0_10_14_16,-25.0,42,12,32,1,40,23,1,1,0.4358974358974359,1.0,1.0,27,7,3
0_0_0_10_14_16,-25.0,42,12,33,1,4,1,2,2,1.0,0.6666666666666667,0.6666666666666667,1,2,2
0_0_0_10_14_16,-25.0,42,12,34,1,4,3,1,1,0.33333333333333337,1.0,1.0,3,1,1
0_0_0_10_14_16,-25.0,42,13,0,1,40,20,13,4,0.5128205128205128,0.6923076923076923,0.9230769230769231,20,13,4
0_0_0_10_14_16,-25.0,42,13,1,1,4,1,4,2,1.0,0.0,0.6666666666666667,1,4,2
0_0_0_10_14_16,-25.0,42,13,2,1,40,36,6,1,0.10256410256410253,0.8717948717948718,1.0,34,17,8
0_0_0_10_14_16,-25.0,42,13,3,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,13,4,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,13,5,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,13,6,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,13,7,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,13,8,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,13,9,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,13,10,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,13,11,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,13,12,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,13,13,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,13,14,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,13,15,1,4,2,3,3,0.6666666666666667,0.33333333333333337,0.33333333333333337,2,3,3
0_0_0_10_14_16,-25.0,42,13,16,1,4,4,1,1,0.0,1.0,1.0,4,1,1
0_0_0_10_14_16,-25.0,42,13,17,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,13,18,0,4,0,0,0,0.0,0.0,0.0,1,2,2
0_0_0_10_14_16,-25.0,42,13,19,1,4,2,2,1,0.6666666666666667,0.6666666666666667,1.0,2,2,1
0_0_0_10_14_16,-25.0,42,13,20,1,4,3,2,1,0.33333333333333337,0.6666666666666667,1.0,3,2,1
0_0_0_10_14_16,-25.0,42,13,21,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,13,22,1,4,1,4,3,1.0,0.0,0.33333333333333337,1,4,3
0_0_0_10_14_16,-25.0,42,13,23,1,40,12,40,27,0.717948717948718,0.0,0.33333333333333337,12,40,27
0_0_0_10_14_16,-25.0,42,13,24,1,40,1,21,5,1.0,0.4871794871794872,0.8974358974358975,1,21,5
0_0_0_10_14_16,-25.0,42,13,25,1,4,1,2,1,1.0,0.6666666666666667,1.0,1,2,1
0_0_0_10_14_16,-25.0,42,13,26,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,13,27,1,40,8,40,19,0.8205128205128205,0.0,0.5384615384615384,8,40,19
0_0_0_10_14_16,-25.0,42,13,28,1,4,3,4,3,0.33333333333333337,0.0,0.33333333333333337,3,4,3
0_0_0_10_14_16,-25.0,42,13,29,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,13,30,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,13,31,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,13,32,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,13,33,1,40,1,19,1,1.0,0.5384615384615384,1.0,1,19,1
0_0_0_10_14_16,-25.0,42,13,34,1,1,1,1,1,0.0,0.0,0.0,1,1,1
