dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_in_candidates,candidate_count,gt_abs_tau_residual_rank,gt_tau_gain_rank,gt_corrected_coherence_rank,gt_abs_tau_residual_rank_pct,gt_tau_gain_rank_pct,gt_corrected_coherence_rank_pct,selected_abs_tau_residual_rank,selected_tau_gain_rank,selected_corrected_coherence_rank
0_0_0_10_14_16,-25.0,42,2,10,1,4,1,3,1,1.0,0.33333333333333337,1.0,1,3,1
0_0_0_10_14_16,-25.0,42,2,11,1,4,2,4,1,0.6666666666666667,0.0,1.0,2,4,1
0_0_0_10_14_16,-25.0,42,2,12,0,4,0,0,0,0.0,0.0,0.0,4,2,1
0_0_0_10_14_16,-25.0,42,2,13,1,16,15,2,7,0.06666666666666665,0.9333333333333333,0.6,4,16,10
0_0_0_10_14_16,-25.0,42,2,14,1,4,1,4,2,1.0,0.0,0.6666666666666667,1,4,2
0_0_0_10_14_16,-25.0,42,2,15,1,16,1,5,10,1.0,0.7333333333333334,0.4,1,5,10
0_0_0_10_14_16,-25.0,42,2,16,1,4,2,3,1,0.6666666666666667,0.33333333333333337,1.0,2,3,1
0_0_0_10_14_16,-25.0,42,2,17,1,4,1,4,2,1.0,0.0,0.6666666666666667,1,4,2
0_0_0_10_14_16,-25.0,42,2,18,1,4,2,4,1,0.6666666666666667,0.0,1.0,2,4,1
0_0_0_10_14_16,-25.0,42,2,19,1,4,1,1,3,1.0,1.0,0.33333333333333337,1,1,3
0_0_0_10_14_16,-25.0,42,2,20,1,16,1,4,6,1.0,0.8,0.6666666666666667,2,11,1
0_0_0_10_14_16,-25.0,42,2,21,1,16,1,2,3,1.0,0.9333333333333333,0.8666666666666667,1,2,3
0_0_0_10_14_16,-25.0,42,2,22,1,16,1,5,2,1.0,0.7333333333333334,0.9333333333333333,1,5,2
0_0_0_10_14_16,-25.0,42,2,23,1,4,2,2,3,0.6666666666666667,0.6666666666666667,0.33333333333333337,1,1,1
0_0_0_10_14_16,-25.0,42,2,24,1,16,3,16,9,0.8666666666666667,0.0,0.4666666666666667,3,16,9
0_0_0_10_14_16,-25.0,42,2,25,1,4,1,1,1,1.0,1.0,1.0,1,1,1
0_0_0_10_14_16,-25.0,42,2,26,0,16,0,0,0,0.0,0.0,0.0,6,7,2
0_0_0_10_14_16,-25.0,42,2,27,0,16,0,0,0,0.0,0.0,0.0,1,16,9
0_0_0_10_14_16,-25.0,42,2,28,1,16,13,6,4,0.19999999999999996,0.6666666666666667,0.8,13,6,4
0_0_0_10_14_16,-25.0,42,2,29,1,16,1,16,11,1.0,0.0,0.33333333333333337,1,16,11
0_0_0_10_14_16,-25.0,42,2,30,1,4,1,4,2,1.0,0.0,0.6666666666666667,1,4,2
0_0_0_10_14_16,-25.0,42,2,31,1,4,2,1,1,0.6666666666666667,1.0,1.0,2,1,1
0_0_0_10_14_16,-25.0,42,2,32,1,4,2,2,3,0.6666666666666667,0.6666666666666667,0.33333333333333337,2,2,3
0_0_0_10_14_16,-25.0,42,2,33,1,4,1,4,1,1.0,0.0,1.0,1,4,1
0_0_0_10_14_16,-25.0,42,2,34,1,4,1,4,4,1.0,0.0,0.0,1,4,4
0_0_0_10_14_16,-25.0,42,3,0,1,16,8,8,4,0.5333333333333333,0.5333333333333333,0.8,1,16,1
0_0_0_10_14_16,-25.0,42,3,1,1,16,9,5,7,0.4666666666666667,0.7333333333333334,0.6,1,16,5
0_0_0_10_14_16,-25.0,42,3,2,1,16,8,9,6,0.5333333333333333,0.4666666666666667,0.6666666666666667,8,9,6
0_0_0_10_14_16,-25.0,42,3,3,1,16,9,10,9,0.4666666666666667,0.4,0.4666666666666667,9,10,9
0_0_0_10_14_16,-25.0,42,3,4,1,4,1,4,1,1.0,0.0,1.0,1,4,1
0_0_0_10_14_16,-25.0,42,3,5,1,16,2,15,2,0.9333333333333333,0.06666666666666665,0.9333333333333333,15,6,14
0_0_0_10_14_16,-25.0,42,3,6,0,16,0,0,0,0.0,0.0,0.0,8,7,3
0_0_0_10_14_16,-25.0,42,3,7,0,16,0,0,0,0.0,0.0,0.0,3,16,3
0_0_0_10_14_16,-25.0,42,3,8,1,16,6,16,10,0.6666666666666667,0.0,0.4,6,16,10
0_0_0_10_14_16,-25.0,42,3,9,1,16,5,16,3,0.7333333333333334,0.0,0.8666666666666667,5,16,3
0_0_0_10_14_16,-25.0,42,3,10,1,16,1,1,1,1.0,1.0,1.0,1,1,1
0_0_0_10_14_16,-25.0,42,3,11,1,4,3,2,3,0.33333333333333337,0.6666666666666667,0.33333333333333337,3,2,3
0_0_0_10_14_16,-25.0,42,3,12,1,4,2,4,3,0.6666666666666667,0.0,0.33333333333333337,2,4,3
0_0_0_10_14_16,-25.0,42,3,13,1,16,1,10,4,1.0,0.4,0.8,1,10,4
0_0_0_10_14_16,-25.0,42,3,14,1,4,1,3,3,1.0,0.33333333333333337,0.33333333333333337,1,3,3
0_0_0_10_14_16,-25.0,42,3,15,1,16,2,7,9,0.9333333333333333,0.6,0.4666666666666667,2,7,9
0_0_0_10_14_16,-25.0,42,3,16,1,16,14,1,3,0.1333333333333333,1.0,0.8666666666666667,14,1,3
0_0_0_10_14_16,-25.0,42,3,17,1,4,2,4,1,0.6666666666666667,0.0,1.0,2,4,1
0_0_0_10_14_16,-25.0,42,3,18,1,4,1,2,2,1.0,0.6666666666666667,0.6666666666666667,1,2,2
0_0_0_10_14_16,-25.0,42,3,19,1,4,1,2,1,1.0,0.6666666666666667,1.0,1,2,1
0_0_0_10_14_16,-25.0,42,3,20,1,4,4,1,1,0.0,1.0,1.0,4,1,1
0_0_0_10_14_16,-25.0,42,3,21,1,4,1,2,3,1.0,0.6666666666666667,0.33333333333333337,1,2,3
0_0_0_10_14_16,-25.0,42,3,22,0,16,0,0,0,0.0,0.0,0.0,10,14,10
0_0_0_10_14_16,-25.0,42,3,23,0,16,0,0,0,0.0,0.0,0.0,4,16,2
0_0_0_10_14_16,-25.0,42,3,24,1,4,1,1,1,1.0,1.0,1.0,1,1,1
0_0_0_10_14_16,-25.0,42,3,25,1,16,4,15,5,0.8,0.06666666666666665,0.7333333333333334,3,16,12
0_0_0_10_14_16,-25.0,42,3,26,1,16,5,16,1,0.7333333333333334,0.0,1.0,5,16,1
0_0_0_10_14_16,-25.0,42,3,27,1,4,1,4,1,1.0,0.0,1.0,1,4,1
0_0_0_10_14_16,-25.0,42,3,28,1,4,3,2,1,0.33333333333333337,0.6666666666666667,1.0,3,2,1
0_0_0_10_14_16,-25.0,42,3,29,1,4,2,3,3,0.6666666666666667,0.33333333333333337,0.33333333333333337,2,3,3
0_0_0_10_14_16,-25.0,42,3,30,0,16,0,0,0,0.0,0.0,0.0,15,5,12
0_0_0_10_14_16,-25.0,42,3,31,1,4,4,1,1,0.0,1.0,1.0,4,1,1
0_0_0_10_14_16,-25.0,42,3,32,1,16,1,16,12,1.0,0.0,0.2666666666666667,1,16,12
0_0_0_10_14_16,-25.0,42,3,33,1,16,7,5,7,0.6,0.7333333333333334,0.6,7,5,7
0_0_0_10_14_16,-25.0,42,3,34,1,4,2,3,2,0.6666666666666667,0.33333333333333337,0.6666666666666667,2,3,2
0_0_0_10_14_16,-25.0,42,5,0,1,4,1,2,1,1.0,0.6666666666666667,1.0,1,2,1
0_0_0_10_14_16,-25.0,42,5,1,1,40,37,5,3,0.07692307692307687,0.8974358974358975,0.9487179487179487,1,40,9
0_0_0_10_14_16,-25.0,42,5,2,1,40,4,37,18,0.9230769230769231,0.07692307692307687,0.5641025641025641,14,27,21
0_0_0_10_14_16,-25.0,42,5,3,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,5,4,1,40,39,4,13,0.02564102564102566,0.9230769230769231,0.6923076923076923,1,40,14
0_0_0_10_14_16,-25.0,42,5,5,1,4,1,4,4,1.0,0.0,0.0,3,1,1
0_0_0_10_14_16,-25.0,42,5,6,1,40,19,30,13,0.5384615384615384,0.2564102564102564,0.6923076923076923,1,40,18
0_0_0_10_14_16,-25.0,42,5,7,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,5,8,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,5,9,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,5,10,1,40,5,36,38,0.8974358974358975,0.10256410256410253,0.05128205128205132,2,39,20
0_0_0_10_14_16,-25.0,42,5,11,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,5,12,1,40,22,20,4,0.46153846153846156,0.5128205128205128,0.9230769230769231,22,20,4
0_0_0_10_14_16,-25.0,42,5,13,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,5,14,1,4,3,2,2,0.33333333333333337,0.6666666666666667,0.6666666666666667,3,2,2
0_0_0_10_14_16,-25.0,42,5,15,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,5,16,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,5,17,1,1,1,1,1,0.0,0.0,0.0,1,1,1
0_0_0_10_14_16,-25.0,42,5,18,1,4,2,2,1,0.6666666666666667,0.6666666666666667,1.0,2,2,1
0_0_0_10_14_16,-25.0,42,5,19,1,40,1,40,2,1.0,0.0,0.9743589743589743,1,40,2
0_0_0_10_14_16,-25.0,42,5,20,1,4,1,4,2,1.0,0.0,0.6666666666666667,1,4,2
0_0_0_10_14_16,-25.0,42,5,21,1,40,11,40,23,0.7435897435897436,0.0,0.4358974358974359,11,40,23
0_0_0_10_14_16,-25.0,42,5,22,1,4,4,1,2,0.0,1.0,0.6666666666666667,4,1,2
0_0_0_10_14_16,-25.0,42,5,23,1,40,10,39,33,0.7692307692307692,0.02564102564102566,0.17948717948717952,9,40,4
0_0_0_10_14_16,-25.0,42,5,24,1,40,24,19,10,0.41025641025641024,0.5384615384615384,0.7692307692307692,24,19,10
0_0_0_10_14_16,-25.0,42,5,25,1,1,1,1,1,0.0,0.0,0.0,1,1,1
