dataset,target_snr_db,noise_seed,packet_index,payload_symbol_index,gt_bin,selected_bin,candidate_bin,candidate_rank,candidate_count,is_gt,is_selected,gt_symbol,selected_symbol,candidate_symbol,candidate_symbol_correct,local_score,energy,energy_score,coherence_score,rank_score,phase_local_score,tau_hat,expected_tau,tau_residual,abs_tau_residual,tau_gain_db,corrected_coherence,top1_bin,top1_margin_db,top1_peak_to_median_db,top1_coherence_score,hard_anchor,high_confidence
0_0_0_10_14_16,-25.0,42,1,0,222,664,265,1,16,0,0,221,663,264,0,0.7861908968115909,0.766690565101328,1.0,0.9048699241279986,1.0,0.0030693879492744765,-0.125,-0.09225872194980422,-0.03274127805019578,0.03274127805019578,0.32077150499368023,0.9360579661844981,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,664,2,16,0,1,221,663,663,0,0.849708031993509,0.7545397048630917,0.9841515458891419,0.9729021500793015,0.9333333333333333,0.42716136435781005,0.0,-0.09225872194980422,0.09225872194980422,0.09225872194980422,0.0,0.9729021632505568,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,500,3,16,0,0,221,663,499,0,0.7824006887778819,0.7529499077836057,0.9820779621620799,0.9123209813478026,0.8666666666666667,0.04801244113573074,0.0,-0.09225872194980422,0.09225872194980422,0.09225872194980422,0.0,0.9123209835972023,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,674,4,16,0,0,221,663,673,0,0.7736016118123786,0.636207170342292,0.829809572859696,0.961863065345573,0.8,0.599639531011602,0.125,-0.09225872194980422,0.21725872194980422,0.21725872194980422,0.7649479654498166,0.9512103359431615,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,549,5,16,0,0,221,663,548,0,0.7285167308557932,0.6197845890824425,0.808389482398978,0.8965029299344194,0.7333333333333334,0.4572541853752966,-0.125,-0.09225872194980422,-0.03274127805019578,0.03274127805019578,0.29742248349256506,0.9470957782494491,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,435,6,16,0,0,221,663,434,0,0.6311720896035857,0.5925268065428924,0.7728369612381787,0.8585784087795494,0.6666666666666667,0.0002753565455813815,0.125,-0.09225872194980422,0.21725872194980422,0.21725872194980422,0.1182930928868388,0.8950224096989148,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,222,7,16,1,0,221,663,221,1,0.714723395078419,0.5887478414200729,0.7679080299393827,0.8499953415290917,0.6,0.5872258292563763,-0.125,-0.09225872194980422,-0.03274127805019578,0.03274127805019578,0.6667304565289034,0.8999974634613116,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,547,8,16,0,0,221,663,546,0,0.6136108856743264,0.5614044939023053,0.7322439057641311,0.9175526795311891,0.5333333333333333,0.00012963331975182735,-0.125,-0.09225872194980422,-0.03274127805019578,0.03274127805019578,0.339841463873164,0.9056764479134215,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,398,9,16,0,0,221,663,397,0,0.5668970059550332,0.49803298909134597,0.6495879977674233,0.9519682519401792,0.4666666666666667,0.012463797434541634,0.0,-0.09225872194980422,0.09225872194980422,0.09225872194980422,0.0,0.9519682762061087,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
0_0_0_10_14_16,-25.0,42,1,0,222,664,805,10,16,0,0,221,663,804,0,0.5336965415525168,0.4662861619820866,0.608180383595122,0.8700542822632363,0.4,0.05247433250801411,-0.25,-0.09225872194980422,-0.15774127805019578,0.15774127805019578,1.8104411928098372,0.9182904174661372,265,0.06938021003818917,10.579521961704357,0.9048699241279986,0,0
