dataset,sf,os_factor,offpacket_windows,raw_noise_power,raw_bins
0_0_0_10_14_8,10,4,512,1.5321182312686772e-06,89 874 467 713 865 405
0_0_0_10_14_16,10,4,512,5.0512440206753614e-06,89 468 713 865 492 765
0_0_0_10_14_32,10,4,512,8.643370008572431e-06,89 468 713 865 492 765
