copy_index,transmission_index,nominal_start_sample,relative_delay_samples,relative_cfo_hz,relative_phase_rad,peak_to_median,tone_bin,included,is_reference
0,0,27230341,10,-26.660712834025713,-2.966971102249304,7.468790266030676,-27.955783620651346,0,0
1,1,30226977,4096,-6.638866184960346,-2.8239816109335423,273.26448733701136,-6.96135574876098,1,0
2,2,31731437,1,-5.952280259846621,2.7338814203113464,74.97260485048605,-6.24141822574893,1,0
3,3,33231805,-1,-5.429529630951446,0.12969774966392364,161.36147819130767,-5.693274462304544,1,0
4,4,36228441,4096,-3.7628171364878504,-2.0276816347775077,231.35979158280787,-3.9455997417098843,1,0
5,5,37732905,-2,-2.1569140165045297,-2.3870121194418013,151.71746539718725,-2.2616882717702538,1,0
6,6,39233269,0,-1.32248019979464,-1.5350472521669258,132.4219486667974,-1.3867209979798645,1,0
7,7,40733637,-3,-0.9621356461542163,-2.5248096424314928,150.85019451412825,-1.0088723473018035,1,0
8,8,42234001,0,0.0,0.0,inf,0.0,1,1
9,9,43734369,-3,0.8126222490449796,-1.4673151622761582,233.1557283401911,0.8520961874145885,1,0
10,10,45234733,1,1.0324923822002936,-1.1752121922830843,279.3569547517832,1.082646732158055,1,0
11,11,46735101,-3,1.8690169000924102,-3.040959004848232,212.8125770717715,1.959806265031299,1,0
12,12,48235465,0,2.0547944889919694,1.529262215569319,248.06644054056804,2.154608186089243,1,0
