detection_index,event_start_sample,event_end_sample,coarse_preamble_start_sample,selected_window_start_sample,selected_peak_bin,selected_signed_peak_bin,selected_peak_power,selected_confidence_db,selected_peak_share,window_count,timing_correction_samples,score
0,27230208,27369472,27230341,27230208,16251,-133,0.10849201103586634,4.727845820408653,0.0018923497503333395,31,-133,2.970192396862097
1,30224384,30375936,30226977,30228480,1503,1503,0.19301848429154023,1.0741254130514106,0.0049188525530144776,34,1503,1.2805971805153813
2,31727616,31875072,31731437,31731712,275,275,0.16750911413635397,1.9643824431977035,0.0019200037470433196,33,275,1.5719482491304124
3,33222656,33374208,33231805,33230848,15427,-957,0.23252466903432273,1.6673871694533393,0.006085449653161691,34,-957,1.468042798506431
4,36225024,36376576,36228441,36229120,679,679,0.2179511704981265,3.7682080236634863,0.002637252661078353,34,679,2.381336684711639
5,37724160,37875712,37732905,37732352,15831,-553,0.3444336563114633,2.9928546203944184,0.009190956962562296,34,-553,1.9919822399638316
6,39223296,39378944,39233269,39231488,14603,-1781,0.18087150588111436,1.6217547833832802,0.004763602652343167,35,-1781,1.4526984673649916
7,40726528,40882176,40733637,40734720,1083,1083,0.20886221967304855,2.312358710462846,0.0025132621695119696,35,1083,1.7030832241627483
8,42225664,42377216,42234001,42233856,16239,-145,0.4221245950011195,9.40907432527595,0.00871050487570862,34,-145,8.727853191863316
9,43724800,43876352,43734369,43732992,15007,-1377,0.28967202480898935,1.8699953346799751,0.0041910566849452284,34,-1377,1.5381529879726255
10,45232128,45379584,45234733,45236224,1491,1491,0.2909480662128863,0.5153780094107839,0.005718541409575533,33,1491,1.125998471405506
11,46727168,46882816,46735101,46735360,259,259,0.36672223740990234,1.9199282678766307,0.005848941064039572,35,259,1.5559399320391
12,48226304,48377856,48235465,48234496,15415,-969,0.34505116825999527,7.6219422004299435,0.009058708312897377,34,-969,5.78354634501314
