phase_index,phase_sample,copy_count,peak_bin,signed_peak_bin,peak_power,median_power,peak_to_median,selected
0,27230341,1,16251,-133,0.10849201103586634,0.03652693042729633,2.970192396862097,True
1,30226977,1,1503,1503,0.19301848429154023,0.15072537034156142,1.2805971805153813,True
2,31731437,1,275,275,0.16750911413635397,0.10656146869276295,1.5719482491304124,True
3,33231805,1,15427,-957,0.23252466903432273,0.1583909333371551,1.468042798506431,True
4,36228441,1,679,679,0.2179511704981265,0.091524718825939,2.381336684711639,True
5,37732905,1,15831,-553,0.3444336563114633,0.17291000361414727,1.9919822399638316,True
6,39233269,1,14603,-1781,0.18087150588111436,0.12450726007110893,1.4526984673649916,True
7,40733637,1,1083,1083,0.20886221967304855,0.12263770596162568,1.7030832241627483,True
8,42234001,1,16239,-145,0.4221245950011195,0.0483652263301876,8.727853191863316,True
9,43734369,1,15007,-1377,0.28967202480898935,0.18832458609386693,1.5381529879726255,True
10,45234733,1,1491,1491,0.2909480662128863,0.2583911733465464,1.125998471405506,True
11,46735101,1,259,259,0.36672223740990234,0.2356917705231096,1.5559399320391,True
12,48235465,1,15415,-969,0.34505116825999527,0.0596608287850093,5.78354634501314,True
