payload_symbol_index,gt_raw_fft_bin,savaux_argmax_bin,fused_argmax_bin,savaux_gt_rank,fused_gt_rank,rank_delta,savaux_gt_topk,fused_gt_topk,savaux_correct,fused_correct,gt_in_structured_topk,gt_path_ratio,gt_path_name,evidence_mode,dataset,target_snr_db,packet_index,packet_timing_tau0,packet_timing_slope
0,803,803,803,1,1,0,1,1,1,1,1,0.10062537591443427,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
1,826,826,826,1,1,0,1,1,1,1,1,0.048340872932963734,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
2,922,922,922,1,1,0,1,1,1,1,1,0.10881387298672225,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
3,718,718,718,1,1,0,1,1,1,1,1,0.05471977447044104,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
4,86,86,86,1,1,0,1,1,1,1,1,0.09426013690014079,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
5,467,467,467,1,1,0,1,1,1,1,1,0.04449244670972695,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
6,89,89,89,1,1,0,1,1,1,1,1,0.08705263656124708,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
7,713,713,713,1,1,0,1,1,1,1,1,0.09859420220200334,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
8,865,865,865,1,1,0,1,1,1,1,1,0.037419581611146814,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
9,405,405,405,1,1,0,1,1,1,1,1,0.06858216270282866,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
10,765,765,765,1,1,0,1,1,1,1,1,0.06972725344314859,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
11,1023,482,482,4,188,-184,1,0,0,0,1,0.006233259921695415,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
12,597,597,597,1,1,0,1,1,1,1,1,0.07821702625563041,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
13,562,946,946,5,15,-10,1,0,0,0,1,0.10176240975592135,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
14,478,677,677,24,10,14,0,0,0,0,0,nan,,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
15,267,267,267,1,1,0,1,1,1,1,1,0.06339842656391623,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
16,917,917,917,1,1,0,1,1,1,1,1,0.08749199289029148,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
17,656,656,656,1,1,0,1,1,1,1,1,0.06300522970145293,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
18,889,889,889,1,1,0,1,1,1,1,1,0.07666031925183815,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
19,510,510,510,1,1,0,1,1,1,1,1,0.08612501147214624,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
20,860,860,860,1,1,0,1,1,1,1,1,0.04951489618587554,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
21,553,553,553,1,1,0,1,1,1,1,1,0.05070527207781672,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
22,629,154,154,2,64,-62,1,0,0,0,1,0.019474004999203938,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
23,759,759,759,1,1,0,1,1,1,1,1,0.0650869141099306,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
24,874,874,874,1,1,0,1,1,1,1,1,0.0539128078709574,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
25,720,720,720,1,1,0,1,1,1,1,1,0.07208003613595332,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
26,314,314,314,1,1,0,1,1,1,1,1,0.036629601732972326,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
27,602,602,602,1,1,0,1,1,1,1,1,0.07245173463818094,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
28,7,7,7,1,1,0,1,1,1,1,1,0.05534793753939132,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
29,610,610,610,1,1,0,1,1,1,1,1,0.0739977573759732,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
30,839,839,839,1,1,0,1,1,1,1,1,0.06684313688233702,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
31,913,740,313,4,122,-118,1,0,0,0,1,0.01111634483859846,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
32,764,764,764,1,1,0,1,1,1,1,1,0.06998338888139491,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
33,577,577,577,1,1,0,1,1,1,1,1,0.05435878443210874,packet_tau0.5_slope-0.5,packet_timing,0_0_0_10_14_8,-25.0,0,0.5,-0.5
