snr_label,added_snr_db,seed,method,decisions,errors,ser,fixes_vs_savaux,breaks_vs_savaux,paired_sign_p,mean_gt_margin_db,physical_samples,sample_fraction_vs_savaux,branch_phases,downsample_phases,uses_phase_fingerprint
clean,,0,litenap_savaux_k1,833,0,0.0,0,0,1.0,3.868134369897311,1024,0.25,0|1|2|3,0,0
clean,,0,litenap_savaux_k1_phase,833,0,0.0,0,0,1.0,3.868134369897311,1024,0.25,0|1|2|3,0,1
clean,,0,litenap_savaux_k2,833,0,0.0,0,0,1.0,6.8893895376978325,2048,0.5,0|1|2|3,0|1,0
clean,,0,litenap_savaux_k2_phase,833,0,0.0,0,0,1.0,6.8893895376978325,2048,0.5,0|1|2|3,0|1,1
clean,,0,litenap_single,833,714,0.8571428571428571,0,714,2.3206684158877236e-215,0.0,256,0.0625,0,0,0
clean,,0,litenap_single_phase,833,341,0.40936374549819926,0,341,4.464794497196467e-103,0.0,256,0.0625,0,0,1
clean,,0,savaux,833,0,0.0,0,0,1.0,19.2141424601912,4096,1.0,0|1|2|3,0|1|2|3,0
clean,,0,savaux_phase,833,0,0.0,0,0,1.0,19.2141424601912,4096,1.0,0|1|2|3,0|1|2|3,1
-28,-28.0,42,litenap_savaux_k1,833,809,0.9711884753901561,2,331,6.356381480401696e-96,-6.637900411958766,1024,0.25,0|1|2|3,0,0
-28,-28.0,43,litenap_savaux_k1,833,808,0.9699879951980792,4,306,3.6661154199863105e-85,-6.569725885340307,1024,0.25,0|1|2|3,0,0
-28,-28.0,44,litenap_savaux_k1,833,812,0.9747899159663865,3,301,2.8734550189604094e-85,-6.568693959079757,1024,0.25,0|1|2|3,0,0
-28,-28.0,42,litenap_savaux_k1_phase,833,810,0.9723889555822329,4,334,1.931131375174175e-93,-6.637900411958766,1024,0.25,0|1|2|3,0,1
-28,-28.0,43,litenap_savaux_k1_phase,833,812,0.9747899159663865,3,309,1.2134063757940744e-87,-6.569725885340307,1024,0.25,0|1|2|3,0,1
-28,-28.0,44,litenap_savaux_k1_phase,833,818,0.9819927971188476,3,307,4.760886783012105e-87,-6.568693959079757,1024,0.25,0|1|2|3,0,1
-28,-28.0,42,litenap_savaux_k2,833,719,0.8631452581032413,14,253,6.771820836384871e-58,-3.833882859960768,2048,0.5,0|1|2|3,0|1,0
-28,-28.0,43,litenap_savaux_k2,833,738,0.885954381752701,16,248,1.206357703338169e-54,-4.1200687611663405,2048,0.5,0|1|2|3,0|1,0
-28,-28.0,44,litenap_savaux_k2,833,736,0.8835534213685474,13,235,7.323600332824146e-54,-4.025625466591381,2048,0.5,0|1|2|3,0|1,0
-28,-28.0,42,litenap_savaux_k2_phase,833,733,0.879951980792317,12,265,2.885130609907545e-63,-3.833882859960768,2048,0.5,0|1|2|3,0|1,1
-28,-28.0,43,litenap_savaux_k2_phase,833,766,0.9195678271308524,9,269,1.0213494417527637e-67,-4.1200687611663405,2048,0.5,0|1|2|3,0|1,1
-28,-28.0,44,litenap_savaux_k2_phase,833,751,0.9015606242496998,9,246,3.9041290253303166e-61,-4.025625466591381,2048,0.5,0|1|2|3,0|1,1
-28,-28.0,42,litenap_single,833,828,0.9939975990396158,3,351,4.029836746166318e-100,-8.759817774732705,256,0.0625,0,0,0
