payload_symbol_index,frame_count,mode_raw_fft_bin,mode_signed_fft_bin,mode_symbol_value,mode_raw_count,mode_symbol_count,raw_mismatch_count,raw_unique_count,symbol_unique_count,unique_raw_fft_bins,unique_symbol_values,mismatch_frame_indices,mismatch_packet_indices,mismatch_event_indices
0,12,803,-221,802,12,12,0,1,1,803,802,,,
1,12,711,-313,710,12,12,0,1,1,711,710,,,
2,12,922,-102,921,12,12,0,1,1,922,921,,,
3,12,718,-306,717,12,12,0,1,1,718,717,,,
4,12,756,-268,755,12,12,0,1,1,756,755,,,
5,12,109,109,108,12,12,0,1,1,109,108,,,
6,12,932,-92,931,12,12,0,1,1,932,931,,,
7,12,468,468,467,12,12,0,1,1,468,467,,,
8,12,89,89,88,12,12,0,1,1,89,88,,,
9,12,713,-311,712,12,12,0,1,1,713,712,,,
10,12,865,-159,864,12,12,0,1,1,865,864,,,
11,12,92,92,91,12,12,0,1,1,92,91,,,
12,12,645,-379,644,12,12,0,1,1,645,644,,,
13,12,426,426,425,12,12,0,1,1,426,425,,,
14,12,765,-259,764,12,12,0,1,1,765,764,,,
15,12,1023,-1,1022,12,12,0,1,1,1023,1022,,,
16,12,597,-427,596,12,12,0,1,1,597,596,,,
17,12,562,-462,561,12,12,0,1,1,562,561,,,
18,12,827,-197,826,12,12,0,1,1,827,826,,,
19,12,890,-134,889,12,12,0,1,1,890,889,,,
20,12,174,174,173,12,12,0,1,1,174,173,,,
21,12,267,267,266,12,12,0,1,1,267,266,,,
22,12,917,-107,916,12,12,0,1,1,917,916,,,
23,12,656,-368,655,12,12,0,1,1,656,655,,,
24,12,889,-135,888,12,12,0,1,1,889,888,,,
25,12,66,66,65,12,12,0,1,1,66,65,,,
26,12,586,-438,585,12,12,0,1,1,586,585,,,
27,12,425,425,424,12,12,0,1,1,425,424,,,
28,12,860,-164,859,12,12,0,1,1,860,859,,,
29,12,553,-471,552,12,12,0,1,1,553,552,,,
30,12,629,-395,628,12,12,0,1,1,629,628,,,
31,12,759,-265,758,12,12,0,1,1,759,758,,,
32,12,494,494,493,12,12,0,1,1,494,493,,,
33,12,303,303,302,12,12,0,1,1,303,302,,,
34,12,1022,-2,1021,12,12,0,1,1,1022,1021,,,
35,12,720,-304,719,12,12,0,1,1,720,719,,,
36,12,314,314,313,12,12,0,1,1,314,313,,,
37,12,602,-422,601,12,12,0,1,1,602,601,,,
38,12,7,7,6,12,12,0,1,1,7,6,,,
39,12,414,414,413,12,12,0,1,1,414,413,,,
40,12,807,-217,806,12,12,0,1,1,807,806,,,
41,12,195,195,194,12,12,0,1,1,195,194,,,
42,12,826,-198,825,12,12,0,1,1,826,825,,,
43,12,928,-96,927,12,12,0,1,1,928,927,,,
44,12,761,-263,760,12,12,0,1,1,761,760,,,
45,12,590,-434,589,12,12,0,1,1,590,589,,,
46,12,383,383,382,12,12,0,1,1,383,382,,,
47,12,267,267,266,12,12,0,1,1,267,266,,,
48,12,314,314,313,12,12,0,1,1,314,313,,,
