payload_symbol_index,frame_count,mode_raw_fft_bin,mode_signed_fft_bin,mode_symbol_value,mode_raw_count,mode_symbol_count,raw_mismatch_count,raw_unique_count,symbol_unique_count,unique_raw_fft_bins,unique_symbol_values,mismatch_frame_indices,mismatch_packet_indices,mismatch_event_indices
0,17,803,-221,802,12,12,5,6,6,64 247 334 694 769 803,63 246 333 693 768 802,0 1 2 3 6,0 1 2 3 7,0 1 2 3 7
1,17,711,-313,710,14,14,3,4,4,2 593 709 711,1 592 708 710,2 3 6,2 3 7,2 3 7
2,17,922,-102,921,12,12,5,6,6,488 509 521 551 656 922,487 508 520 550 655 921,0 1 2 3 6,0 1 2 3 7,0 1 2 3 7
3,17,718,-306,717,12,12,5,6,6,51 215 357 450 683 718,50 214 356 449 682 717,0 1 2 3 6,0 1 2 3 7,0 1 2 3 7
4,17,756,-268,755,13,13,4,5,5,150 408 724 756 885,149 407 723 755 884,0 2 3 6,0 2 3 7,0 2 3 7
5,17,109,109,108,14,14,3,4,4,83 109 524 920,82 108 523 919,0 1 2,0 1 2,0 1 2
6,17,932,-92,931,13,13,4,5,5,330 596 688 882 932,329 595 687 881 931,0 1 2 6,0 1 2 7,0 1 2 7
7,17,468,468,467,13,13,4,5,5,50 467 468 555 802,49 466 467 554 801,0 1 3 6,0 1 3 7,0 1 3 7
8,17,89,89,88,15,15,2,3,3,72 89 693,71 88 692,0 6,0 7,0 7
9,17,713,-311,712,12,12,5,6,6,396 668 713 804 952 973,395 667 712 803 951 972,0 1 2 3 6,0 1 2 3 7,0 1 2 3 7
10,17,865,-159,864,14,14,3,4,4,271 811 865 947,270 810 864 946,0 1 6,0 1 7,0 1 7
11,17,92,92,91,13,13,4,5,5,92 469 711 858 942,91 468 710 857 941,0 1 3 6,0 1 3 7,0 1 3 7
12,17,645,-379,644,13,13,4,5,5,184 238 499 644 645,183 237 498 643 644,0 2 3 6,0 2 3 7,0 2 3 7
