dataset,snr_db,seed,packet_index,block_index,hard_errors,gt_fixed_coherence,hard_fixed_coherence,gt_beats_hard_fixed,gt_best_coherence,hard_best_coherence,gt_beats_hard_own_best,random_trials,gt_beats_random_fixed_fraction,gt_beats_random_own_best_fraction,random_fixed_max,random_own_best_max
real_low4,,53,7,0,0,0.9944188065773235,0.9944188065773235,0,0.9944188065773231,0.9944188065773231,0,64,1.0,1.0,0.5762425535822542,0.668218169795991
real_low4,,53,7,1,0,0.9895628940366434,0.9895628940366434,0,0.9895628940366434,0.9895628940366434,0,64,1.0,1.0,0.5136914820087438,0.7639376700123349
real_low4,,53,7,2,0,0.9953756945918393,0.9953756945918393,0,0.9953756945918393,0.9953756945918393,0,64,1.0,1.0,0.39142235223156074,0.6721084539094849
real_low4,,53,7,3,0,0.9924086807831977,0.9924086807831977,0,0.9924086807831973,0.9924086807831973,0,64,1.0,1.0,0.47632216171059005,0.7852473815904865
real_low4,,53,7,4,0,0.9916733209478701,0.9916733209478701,0,0.9916733209478701,0.9916733209478701,0,64,1.0,1.0,0.4562361613528854,0.6905167759571121
real_low4,,53,7,5,0,0.9902729603812083,0.9902729603812083,0,0.9902729603812083,0.9902729603812083,0,64,1.0,1.0,0.45875726659371185,0.7978016542527397
real_low4,,53,7,6,0,0.9950100239912886,0.9950100239912886,0,0.9950100239912886,0.9950100239912886,0,64,1.0,1.0,0.7711792313731587,0.7791559264260581
real_low4,,53,8,0,0,0.9879565806071873,0.9879565806071873,0,0.9879565806071877,0.9879565806071877,0,64,1.0,1.0,0.4993406230188956,0.7178565387002371
real_low4,,53,8,1,0,0.97845029787817,0.97845029787817,0,0.9784502978781706,0.9784502978781706,0,64,1.0,1.0,0.579221594961458,0.7491271016702479
real_low4,,53,8,2,0,0.9654861784344559,0.9654861784344559,0,0.9654861784344559,0.9654861784344559,0,64,1.0,1.0,0.4934540936071867,0.605040035183389
real_low4,,53,8,3,1,0.9507939529555512,0.9197952397621777,1,0.9507939529555512,0.9364388255696807,1,64,1.0,1.0,0.5680408817543873,0.6285359937901578
real_low4,,53,8,4,0,0.9869899276189167,0.9869899276189167,0,0.9869899276189166,0.9869899276189166,0,64,1.0,1.0,0.5470518687244277,0.8158967019072116
real_low4,,53,8,5,0,0.9767312602127763,0.9767312602127763,0,0.9767312602127767,0.9767312602127767,0,64,1.0,1.0,0.3878852104139042,0.7287083337342438
real_low4,,53,8,6,0,0.9794328060352131,0.9794328060352131,0,0.9794328060352133,0.9794328060352133,0,64,1.0,1.0,0.4648607509716146,0.6648816806252154
real_low4,,53,9,0,0,0.994104827055955,0.994104827055955,0,0.9941048270559553,0.9941048270559553,0,64,1.0,1.0,0.38485316778265094,0.7025820545685034
real_low4,,53,9,1,0,0.9919525918911044,0.9919525918911044,0,0.9919525918911042,0.9919525918911042,0,64,1.0,1.0,0.4026691713382948,0.7612717106469563
real_low4,,53,9,2,0,0.9876594478324568,0.9876594478324568,0,0.9876594478324568,0.9876594478324568,0,64,1.0,1.0,0.5697734092132555,0.7366286844032209
real_low4,,53,9,3,0,0.9937730620836205,0.9937730620836205,0,0.9937730620836205,0.9937730620836205,0,64,1.0,1.0,0.38371055017797473,0.6902486526687425
real_low4,,53,9,4,0,0.9955838083837235,0.9955838083837235,0,0.9955838083837232,0.9955838083837232,0,64,1.0,1.0,0.5140737034595005,0.6950429771872187
real_low4,,53,9,5,0,0.9678271202956609,0.9678271202956609,0,0.9678271202956608,0.9678271202956608,0,64,1.0,1.0,0.4863863355464742,0.7292502525235902
real_low4,,53,9,6,0,0.9805792055013134,0.9805792055013134,0,0.9805792055013132,0.9805792055013132,0,64,1.0,1.0,0.5194507131327243,0.6353715720374302
real_low4,,53,11,0,0,0.9824354295889858,0.9824354295889858,0,0.982435429588986,0.982435429588986,0,64,1.0,1.0,0.40693729928836464,0.6450092804910812
real_low4,,53,11,1,0,0.9858525053994038,0.9858525053994038,0,0.9858525053994036,0.9858525053994036,0,64,1.0,1.0,0.5359183954395031,0.7554676400005002
real_low4,,53,11,2,0,0.9881942690857025,0.9881942690857025,0,0.9881942690857022,0.9881942690857022,0,64,1.0,1.0,0.5642437430011253,0.7750753864938285
real_low4,,53,11,3,0,0.9904594316355957,0.9904594316355957,0,0.9904594316355955,0.9904594316355955,0,64,1.0,1.0,0.455204429108316,0.8111304896792726
real_low4,,53,11,4,0,0.9678815553612476,0.9678815553612476,0,0.9678815553612473,0.9678815553612473,0,64,1.0,1.0,0.629495009079587,0.7008267445097877
real_low4,,53,11,5,0,0.9871077808699502,0.9871077808699502,0,0.9871077808699499,0.9871077808699499,0,64,1.0,1.0,0.42482801888366506,0.6626854726405905
real_low4,,53,11,6,0,0.9759498522064579,0.9759498522064579,0,0.9759498522064579,0.9759498522064579,0,64,1.0,1.0,0.33894741143955026,0.708285752861907
real_low4,,53,14,0,0,0.9736522926518459,0.9736522926518459,0,0.9736522926518459,0.9736522926518459,0,64,1.0,1.0,0.45170943043729367,0.7734640850262098
