dataset,snr_db,seed,packet_index,block_index,block_symbol_offset,sf,cr,ldro,block_len,hypothesis,trial,hard_errors,raw_coherence,gt_slope_coherence,best_linear_coherence,best_slope_rad_per_symbol,gt_slope_rad_per_symbol,mean_selected_rank,max_selected_rank,selected_bins
real_low4,,53,7,0,0,10,3,0,7,gt,0,0,0.9448549455476319,0.9944188065773235,0.9944188065773231,-0.1111864619893872,-0.1111864619893872,1.0,1,803|711|922|718|756|109|932
real_low4,,53,7,0,0,10,3,0,7,hard,0,0,0.9448549455476319,0.9944188065773235,0.9944188065773231,-0.1111864619893872,-0.1111864619893872,1.0,1,803|711|922|718|756|109|932
real_low4,,53,7,0,0,10,3,0,7,random_valid,0,0,0.08017639009069889,0.12680137919811224,0.5009027759156345,2.684577954654104,-0.1111864619893872,542.0,799,462|43|999|65|160|495|402
real_low4,,53,7,0,0,10,3,0,7,random_valid,1,0,0.17061698299571912,0.15492404518557623,0.388030513256977,2.015925576345513,-0.1111864619893872,663.5714285714286,875,452|492|48|815|726|977|467
real_low4,,53,7,0,0,10,3,0,7,random_valid,2,0,0.1928933933375766,0.2327091217783718,0.3230453595834407,-1.5911166112274397,-0.1111864619893872,712.7142857142857,982,937|619|242|149|332|414|561
real_low4,,53,7,0,0,10,3,0,7,random_valid,3,0,0.09370014228158835,0.08793260525875578,0.3771738381434572,3.0710467604654923,-0.1111864619893872,337.42857142857144,636,918|636|581|1007|921|620|321
real_low4,,53,7,0,0,10,3,0,7,random_valid,4,0,0.15083992348888253,0.11588423441122916,0.35964165402183174,-3.0388410266478765,-0.1111864619893872,558.0,813,907|240|349|1023|270|806|554
real_low4,,53,7,0,0,10,3,0,7,random_valid,5,0,0.19336526413031205,0.16410301766536925,0.4430133144200932,2.253634564046962,-0.1111864619893872,645.2857142857143,967,1023|867|885|765|527|409|533
real_low4,,53,7,0,0,10,3,0,7,random_valid,6,0,0.047840915630466295,0.05828720804648337,0.4649311506336007,2.330314882660332,-0.1111864619893872,324.14285714285717,882,999|112|334|875|993|11|258
real_low4,,53,7,0,0,10,3,0,7,random_valid,7,0,0.061800081220420564,0.03629362948571689,0.6542935897825778,0.7062257344291432,-0.1111864619893872,501.0,998,945|896|373|318|10|87|563
real_low4,,53,7,0,0,10,3,0,7,random_valid,8,0,0.02236009069244598,0.0010960908170290237,0.4226831183246393,2.006723938111908,-0.1111864619893872,432.14285714285717,677,987|52|578|914|469|688|861
real_low4,,53,7,0,0,10,3,0,7,random_valid,9,0,0.06490696899448699,0.03765009947956091,0.4700243684321781,-2.265903415025101,-0.1111864619893872,585.0,904,695|807|142|1006|788|601|306
real_low4,,53,7,0,0,10,3,0,7,random_valid,10,0,0.191256876611526,0.1813359628811234,0.5228467815641388,2.954492676173169,-0.1111864619893872,479.85714285714283,775,410|18|644|615|572|841|235
real_low4,,53,7,0,0,10,3,0,7,random_valid,11,0,0.20121965737754968,0.2869585728055272,0.37726883118065135,-0.34582823694630127,-0.1111864619893872,315.2857142857143,700,895|934|765|673|388|78|796
real_low4,,53,7,0,0,10,3,0,7,random_valid,12,0,0.29232101355071444,0.28807831211248186,0.34325690848654283,-2.9084844850051463,-0.1111864619893872,720.7142857142857,1003,192|118|941|377|495|852|367
real_low4,,53,7,0,0,10,3,0,7,random_valid,13,0,0.036514913363204754,0.05987025784735064,0.4337691966648227,1.0313502853498342,-0.1111864619893872,649.4285714285714,1010,954|723|168|110|201|675|203
real_low4,,53,7,0,0,10,3,0,7,random_valid,14,0,0.0003116099493257757,0.0026234826700752287,0.546543932371848,-2.229096862090683,-0.1111864619893872,518.4285714285714,964,41|435|128|765|812|44|659
real_low4,,53,7,0,0,10,3,0,7,random_valid,15,0,0.179053900112105,0.17667367163899883,0.3655432641129725,-1.0359511044666365,-0.1111864619893872,352.85714285714283,744,289|77|94|106|1012|1003|140
real_low4,,53,7,0,0,10,3,0,7,random_valid,16,0,0.0791982789666929,0.13428906753336334,0.5241909852842179,1.6401920151399967,-0.1111864619893872,732.1428571428571,962,809|348|24|374|29|182|809
real_low4,,53,7,0,0,10,3,0,7,random_valid,17,0,0.10251993242547769,0.1000035251670385,0.3713506469905041,-1.517503505358604,-0.1111864619893872,559.1428571428571,928,96|559|356|225|793|586|52
real_low4,,53,7,0,0,10,3,0,7,random_valid,18,0,0.025676010507670696,0.029804980522219266,0.447529900039051,2.3226468507989955,-0.1111864619893872,438.0,937,506|749|523|815|704|165|662
real_low4,,53,7,0,0,10,3,0,7,random_valid,19,0,0.26859421165234415,0.19543139564011847,0.3364521670736916,0.21393808893130384,-0.1111864619893872,485.14285714285717,920,322|907|82|631|783|816|504
real_low4,,53,7,0,0,10,3,0,7,random_valid,20,0,0.15607547391710638,0.14058043646835322,0.35766034600456525,1.0972953593573331,-0.1111864619893872,502.14285714285717,930,337|992|554|452|741|248|221
real_low4,,53,7,0,0,10,3,0,7,random_valid,21,0,0.3115419777854809,0.2571503172537789,0.32625458543924657,0.08818236640537602,-0.1111864619893872,431.0,725,934|880|65|67|313|466|323
