method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations
savaux,0,70,8,0.11428571428571428,0,0,0.4763812000019243,6.805445714313204,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
hamming_12,12,70,8,0.11428571428571428,0,0,1.1434052000113297,16.334360000161855,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
information_12,12,70,8,0.11428571428571428,2,2,1.1635925999980827,16.62275142854404,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
lora_information_12,12,70,17,0.24285714285714285,3,12,1.150413799998205,16.434482857117214,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
savaux,0,70,8,0.11428571428571428,0,0,0.187602899990452,2.6800414284350285,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
hamming_12,12,70,10,0.14285714285714285,0,2,1.038054699991335,14.829352857019071,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
information_12,12,70,8,0.11428571428571428,1,1,1.036829900003795,14.811855714339929,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
lora_information_12,12,70,22,0.3142857142857143,1,15,1.0429262000143353,14.898945714490505,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
savaux,0,70,5,0.07142857142857142,0,0,0.17709870000180672,2.529981428597239,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
hamming_12,12,70,6,0.08571428571428572,0,1,1.017729799998051,14.5389971428293,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
information_12,12,70,7,0.1,0,2,1.0496769999954267,14.995385714220381,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
lora_information_12,12,70,25,0.35714285714285715,0,20,1.018228500004625,14.5461214286375,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
