packet_index,frame_index,event_index,payload_len,cr,has_crc,ldro,symbol_count,gt_compared_symbols,center_argmax_raw_ser,center_argmax_symbol_ser,multi_offset_argmax_raw_ser,multi_offset_argmax_symbol_ser,selected_raw_ser,selected_symbol_ser,ser_gain_vs_center,ser_gain_vs_multi_offset,locked_symbol_count,uncertain_symbol_count,locked_ratio,false_lock_count,locked_with_gt_count,false_lock_rate,uncertain_candidate_hits,uncertain_candidate_total,uncertain_candidate_recall,trajectory_score,line_score,mean_phase_score,mean_amp_score,phase_line_slope_pi,phase_line_r2,phase_line_rmse_pi,phase_line_anchor_count,beam_final_size,error,payload_hex,crc_valid,crc_computed,crc_received,decoded_payload_len,decode_error,dataset,target_snr_db
0,0,0,33,1,1,0,35,35,0.17142857142857143,0.17142857142857143,0.0,0.0,0.0,0.0,0.17142857142857143,0.0,34,1,0.9714285714285714,0,34,0.0,1,1,1.0,0.9953478025225037,0.7896908831791669,0.9767390126125182,1.0,-0.05381734773187145,0.9126235892014216,0.1457745956907253,26,1,,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x1364,0x1364,33,,0_0_0_10_14_8,-20.0
1,1,1,33,1,1,0,35,35,0.11428571428571428,0.11428571428571428,0.0,0.0,0.0,0.0,0.11428571428571428,0.0,34,1,0.9714285714285714,0,34,0.0,1,1,1.0,0.9978431991675348,0.8444009174902233,0.9892159958376738,1.0,-0.04055578074832228,0.8929513975534726,0.1233754792512738,26,1,,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,1,0xdb49,0xdb49,33,,0_0_0_10_14_8,-20.0
2,2,2,33,1,1,0,35,35,0.08571428571428572,0.08571428571428572,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,35,0,1.0,0,35,0.0,0,0,0.0,0.9790846168587419,0.7900410083996604,0.8954230842937091,1.0,-0.043984790666630316,0.8867743039575656,0.1456376953097961,26,1,,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x9efd,0x9efd,33,,0_0_0_10_14_8,-20.0
3,3,3,33,1,1,0,35,35,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,33,2,0.9428571428571428,0,33,0.0,2,2,1.0,0.9957465400906589,0.8047466953850738,0.9787327004532942,1.0,-0.04541031409280968,0.8913367384944865,0.13982308238583935,26,1,,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x5021,0x5021,33,,0_0_0_10_14_8,-20.0
4,4,4,33,1,1,0,35,35,0.22857142857142856,0.22857142857142856,0.0,0.0,0.0,0.0,0.22857142857142856,0.0,34,1,0.9714285714285714,0,34,0.0,1,1,1.0,0.9403304685575626,0.8550719144019464,0.701652342787813,1.0,-0.042913227875282504,0.9093177359081388,0.11870666908549969,26,1,,404433221100170058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x1595,0x1595,33,,0_0_0_10_14_8,-20.0
5,5,5,33,1,1,0,35,35,0.6857142857142857,0.6857142857142857,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.2571428571428571,0.4285714285714286,0.0,12,23,0.34285714285714286,0,12,0.0,20,23,0.8695652173913043,0.8920203040399655,0.014898680555035942,0.4922144957535105,0.9919717561115791,0.07979248223788188,0.666988993191491,0.615291342452873,26,12,,4044198ab12a8888c8a031733310331017181938393c3d3e3f4041424269463412,0,0x9044,0xd0d2,33,,0_0_0_10_14_8,-20.0
6,6,6,33,1,1,0,35,35,0.6571428571428571,0.6571428571428571,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.6,0.0,13,22,0.37142857142857144,0,13,0.0,21,22,0.9545454545454546,0.910334998371561,0.1509523749197078,0.5516749918578047,1.0,-0.08474752912529393,0.8011456261723445,0.41251809667195005,26,1,,4044332211001900583031323bbc37bc3738393a3b3c3d3e3f4041424378563412,0,0x6bf9,0x95ee,33,,0_0_0_10_14_8,-20.0
7,7,7,33,1,1,0,35,35,0.5714285714285714,0.5714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.5428571428571428,0.0,18,17,0.5142857142857142,0,18,0.0,17,17,1.0,0.9264292154127785,0.03579873274951725,0.632146077063892,1.0,-0.020991211822359364,0.13929675407500774,0.5474357045200986,26,1,,4044332211001a0058303132333435363738393a3b3c3d3e3f406142417a563612,0,0x5984,0x5b32,33,,0_0_0_10_14_8,-20.0
8,8,8,33,1,1,0,35,35,0.5428571428571428,0.5428571428571428,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.4571428571428571,0.0,21,14,0.6,0,21,0.0,14,14,1.0,0.9192471402804279,0.2490272294867256,0.6093422106386674,0.9967233726908679,-0.13788559168551992,0.9369923413575499,0.35371934210827716,26,2,,4044332211000b1048203032333435363738393a3b3c3d3e3f406160437a763612,0,0x8f45,0x1e86,33,,0_0_0_10_14_8,-20.0
9,9,9,33,1,1,0,35,35,0.45714285714285713,0.45714285714285713,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.42857142857142855,0.0,18,17,0.5142857142857142,0,18,0.0,17,17,1.0,0.8975430257572915,0.012156981028762327,0.48771512878645723,1.0,-0.10164474614607565,0.7015149189705285,0.6299894073344753,26,1,,4044332211001c0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0xd6ab,0xd6ab,33,,0_0_0_10_14_8,-20.0
0,0,0,33,1,1,0,35,35,0.37142857142857144,0.37142857142857144,0.0,0.0,0.0,0.0,0.37142857142857144,0.0,30,5,0.8571428571428571,0,30,0.0,5,5,1.0,0.9780308878688121,0.7819282004226563,0.8901544393440604,1.0,-0.054217436627219034,0.9126568693172591,0.14879285002027676,26,1,,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x1364,0x1364,33,,0_0_0_10_14_8,-21.0
1,1,1,33,1,1,0,35,35,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,31,4,0.8857142857142857,0,31,0.0,4,4,1.0,0.9696695677733786,0.840073354052668,0.8483478388668927,1.0,-0.04063067410205412,0.8904173272587965,0.12523556133698013,26,1,,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,1,0xdb49,0xdb49,33,,0_0_0_10_14_8,-21.0
2,2,2,33,1,1,0,35,35,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,34,1,0.9714285714285714,0,34,0.0,1,1,1.0,0.9844982244545091,0.7850738006574978,0.9224911222725453,1.0,-0.04423243220095519,0.8852409825152442,0.14757364156178698,26,1,,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x9efd,0x9efd,33,,0_0_0_10_14_8,-21.0
3,3,3,33,1,1,0,35,35,0.2857142857142857,0.2857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.2571428571428571,0.0,32,3,0.9142857142857143,0,32,0.0,3,3,1.0,0.9906162652684218,0.7973017088178247,0.9530813263421088,1.0,-0.0451291855445941,0.8859629706449405,0.14278301880762762,26,1,,404433221100160058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x5021,0x5021,33,,0_0_0_10_14_8,-21.0
4,4,4,33,1,1,0,35,35,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,32,3,0.9142857142857143,0,32,0.0,3,3,1.0,0.9748419795899089,0.8518047209985554,0.8742098979495442,1.0,-0.042797742545539634,0.9068517317058625,0.12014914948359574,26,1,,404433221100170058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x1595,0x1595,33,,0_0_0_10_14_8,-21.0
5,5,5,33,1,1,0,35,35,0.7428571428571429,0.7428571428571429,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.31428571428571433,0.0,5,30,0.14285714285714285,0,5,0.0,24,30,0.8,0.8912066764591169,0.0173046760140303,0.4560333822955841,1.0,0.16781605355935234,0.8855827232535104,0.6042433840560109,26,1,,4044198ab12aa8aaca8033f13b983b181f181938393c1f3c3f42438f9b3ccfbd1a,0,0x4c23,0xd052,33,,0_0_0_10_14_8,-21.0
6,6,6,33,1,1,0,35,35,0.8285714285714286,0.8285714285714286,0.2857142857142857,0.2857142857142857,0.2571428571428571,0.2571428571428571,0.5714285714285715,0.02857142857142858,12,23,0.34285714285714286,0,12,0.0,22,23,0.9565217391304348,0.8935116579447508,0.0408405632157281,0.5031991123262958,0.9910897943493646,-0.13542693757504937,0.8399795656656097,0.536495251190043,26,24,,404433221100998858383922a2a426a53e38292b3a3c3d2f3f504046037c167016,0,0x105a,0xd5ea,33,,0_0_0_10_14_8,-21.0
7,7,7,33,1,1,0,35,35,0.6857142857142857,0.6857142857142857,0.2,0.2,0.2,0.2,0.4857142857142857,0.0,10,25,0.2857142857142857,0,10,0.0,24,25,0.96,0.9258000537441536,0.32001618086029515,0.629000268720768,1.0,-0.08139579323704713,0.872632560222527,0.32022575588957336,26,1,,4064312231221a0058303132333435367739397a7b3c3c2f2e416142c17a563612,0,0x3924,0x5b32,33,,0_0_0_10_14_8,-21.0
8,8,8,33,1,1,0,35,35,0.8,0.8,0.2571428571428571,0.2571428571428571,0.22857142857142856,0.22857142857142856,0.5714285714285715,0.028571428571428553,12,23,0.34285714285714286,0,12,0.0,20,23,0.8695652173913043,0.9085327040401696,0.1505141939254932,0.5469136667138124,0.9989374633717588,-0.18622298491255618,0.9556886108668484,0.41283508798292434,26,4,,40c43baa11001b11592030f37730f9323738393a3b3c3d3e3f4061e043faf63612,0,0x8259,0x1e86,33,,0_0_0_10_14_8,-21.0
9,9,9,33,1,1,0,35,35,0.6285714285714286,0.6285714285714286,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.5142857142857142,0.0,13,22,0.37142857142857144,0,13,0.0,22,22,1.0,0.9167216455423046,0.20799292649502676,0.5998935363589148,0.995928672838152,-0.0006623783852176106,0.00025506030612287844,0.3759289941445158,26,8,,4044332211000c005820313233343536171a3b18193e3d3e3f4041424378563412,0,0xb0ff,0xc6bb,33,,0_0_0_10_14_8,-21.0
0,0,0,33,1,1,0,35,35,0.5142857142857142,0.5142857142857142,0.02857142857142857,0.02857142857142857,0.0,0.0,0.5142857142857142,0.02857142857142857,24,11,0.6857142857142857,0,24,0.0,11,11,1.0,0.9734742323836794,0.7728746248229454,0.8802523886423689,0.9967796933190068,-0.054314440651401875,0.9091940720649428,0.15227428964883388,26,2,,404433221100130058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x1364,0x1364,33,,0_0_0_10_14_8,-22.0
1,1,1,33,1,1,0,35,35,0.37142857142857144,0.37142857142857144,0.0,0.0,0.0,0.0,0.37142857142857144,0.0,25,10,0.7142857142857143,0,25,0.0,10,10,1.0,0.9822204821287216,0.833773044963098,0.9111024106436076,1.0,-0.04071607149322615,0.8866448808362768,0.1279119375972281,26,1,,404433221100140058303132333435363738393a3b3c3d3e3f4041424378563412,1,0xdb49,0xdb49,33,,0_0_0_10_14_8,-22.0
2,2,2,33,1,1,0,35,35,0.4857142857142857,0.4857142857142857,0.0,0.0,0.0,0.0,0.4857142857142857,0.0,22,13,0.6285714285714286,0,22,0.0,13,13,1.0,0.97836487275815,0.778293263584741,0.8918243637907499,1.0,-0.04452214845942497,0.8829701534503783,0.1501954367859942,26,1,,404433221100150058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x9efd,0x9efd,33,,0_0_0_10_14_8,-22.0
3,3,3,33,1,1,0,35,35,0.45714285714285713,0.45714285714285713,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.39999999999999997,0.0,28,7,0.8,0,28,0.0,7,7,1.0,0.9806397396465745,0.7728547414404995,0.9031986982328718,1.0,-0.04495644888775953,0.8916121743174777,0.152281892244505,26,1,,40443322110016005830313233343536b7383132333c3d3e3f4041424378563412,0,0xb64f,0x5021,33,,0_0_0_10_14_8,-22.0
4,4,4,33,1,1,0,35,35,0.6857142857142857,0.6857142857142857,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.6285714285714286,0.0,20,15,0.5714285714285714,0,20,0.0,14,15,0.9333333333333333,0.9699559286967113,0.8117588841867416,0.8568123802293627,0.9982418158135484,-0.03963047313425856,0.8776311363698747,0.1370024566259703,26,4,,404422220000170058303132333435363738393a3b1c1d3c3f6041424378563412,0,0x6d84,0x1595,33,,0_0_0_10_14_8,-22.0
5,5,5,33,1,1,0,35,35,0.9142857142857143,0.9142857142857143,0.5428571428571428,0.5428571428571428,0.5428571428571428,0.5428571428571428,0.37142857142857144,0.0,3,32,0.08571428571428572,0,3,0.0,22,32,0.6875,0.9190220467635002,0.0024029816774912877,0.5951102338175009,1.0,0.06390741854932015,0.39290623865890406,0.7367455770070154,26,1,,4054198ab02be8aa8ec433f53b983b181f18193839bc9fbc3fca438f9b3ccfbd1a,0,0x95a3,0xd052,33,,0_0_0_10_14_8,-22.0
