dataset,target_snr_db,packet_count,center_argmax_symbol_ser,multi_offset_argmax_symbol_ser,selected_symbol_ser,ser_gain_vs_center,ser_gain_vs_multi_offset,crc_valid_rate,mean_locked_ratio,mean_false_lock_rate,mean_uncertain_candidate_recall,mean_phase_line_r2,mean_phase_line_rmse_pi
0_0_0_10_14_8,-20.0,10,0.3657142857142857,0.04571428571428572,0.04571428571428572,0.31999999999999995,0.0,0.6,0.72,0.0,0.8824110671936758,0.7738942398882007,0.32322714148108084
0_0_0_10_14_8,-21.0,10,0.5171428571428571,0.13142857142857142,0.12571428571428572,0.3914285714285714,0.005714285714285713,0.5,0.6028571428571429,0.0,0.958608695652174,0.8035268401756721,0.2934262694473334
0_0_0_10_14_8,-22.0,10,0.6628571428571428,0.18857142857142856,0.1857142857142857,0.47714285714285715,0.002857142857142857,0.3,0.4228571428571429,0.0,0.8916399835796387,0.756096129046915,0.36363017724983293
0_0_0_10_14_8,-23.0,10,0.7942857142857143,0.33428571428571424,0.3314285714285714,0.4628571428571429,0.002857142857142858,0.0,0.29999999999999993,0.004545454545454545,0.8241575711091429,0.7993364779681413,0.3833914216920404
0_0_0_10_14_8,-24.0,10,0.86,0.49428571428571433,0.49142857142857144,0.3685714285714286,0.002857142857142858,0.0,0.17999999999999997,0.0375,0.7042533865038609,0.7260419299542239,0.4464543455882075
0_0_0_10_14_8,-25.0,10,0.9200000000000002,0.6542857142857142,0.6514285714285715,0.26857142857142857,0.0028571428571428524,0.0,0.07428571428571427,0.125,0.5839817117058169,0.6722807574666323,0.5199989286093125
0_0_0_10_14_16,-20.0,11,0.35844155844155845,0.015584415584415584,0.015584415584415584,0.34285714285714286,0.0,0.6363636363636364,0.7688311688311689,0.0,1.0,0.9636199346969364,0.21052595679232244
0_0_0_10_14_16,-21.0,11,0.4961038961038961,0.07012987012987014,0.05974025974025974,0.43636363636363634,0.010389610389610388,0.2727272727272727,0.6051948051948052,0.0,0.9597402597402597,0.9599107793495322,0.21346039685596355
0_0_0_10_14_16,-22.0,11,0.6025974025974027,0.17922077922077922,0.16623376623376618,0.43636363636363645,0.012987012987012986,0.09090909090909091,0.41558441558441556,0.00505050505050505,0.9246071777215696,0.8695069431410893,0.24334368708169682
0_0_0_10_14_16,-23.0,11,0.7324675324675325,0.3194805194805194,0.3142857142857143,0.41818181818181815,0.005194805194805196,0.0,0.24675324675324675,0.009090909090909092,0.8179707154790581,0.7721877436116124,0.3529929183484271
0_0_0_10_14_16,-24.0,11,0.8337662337662338,0.509090909090909,0.5168831168831168,0.3168831168831169,-0.00779220779220779,0.0,0.14025974025974028,0.011363636363636364,0.7022420629869562,0.5709972828375522,0.4294217105484721
0_0_0_10_14_16,-25.0,11,0.9116883116883119,0.6441558441558443,0.6363636363636364,0.27532467532467536,0.007792207792207795,0.0,0.05714285714285714,0.048484848484848485,0.5819787132394947,0.48963159483937757,0.4182448071361327
0_0_0_10_14_32,-20.0,7,0.3959183673469387,0.14285714285714285,0.13877551020408163,0.2571428571428571,0.004081632653061226,0.7142857142857143,0.6408163265306123,0.0,0.889795918367347,0.8061639678399811,0.45731221805793393
0_0_0_10_14_32,-21.0,7,0.5428571428571428,0.15918367346938772,0.15510204081632653,0.38775510204081626,0.004081632653061225,0.5714285714285714,0.5428571428571429,0.0,0.8612244897959184,0.7838882569470034,0.46270634133752164
0_0_0_10_14_32,-22.0,7,0.673469387755102,0.24489795918367346,0.24489795918367346,0.42857142857142855,0.0,0.0,0.36326530612244895,0.0,0.8450606329488316,0.513754202317683,0.49158164000399907
0_0_0_10_14_32,-23.0,7,0.7755102040816327,0.34285714285714286,0.34285714285714286,0.4326530612244898,0.0,0.0,0.22040816326530613,0.0,0.7687861764216445,0.674904071501126,0.48131633083127373
0_0_0_10_14_32,-24.0,7,0.8530612244897959,0.5142857142857143,0.5061224489795919,0.34693877551020413,0.008163265306122445,0.0,0.1346938775510204,0.0,0.6828078901811621,0.494328875965858,0.5064807265707927
0_0_0_10_14_32,-25.0,7,0.8979591836734694,0.6489795918367347,0.6530612244897959,0.2448979591836735,-0.004081632653061226,0.0,0.061224489795918366,0.0,0.5361003052247292,0.6085227755817222,0.4934007749998987
mean_of_3_datasets,-20.0,28,0.3733580705009276,0.06805194805194804,0.06669140383426098,0.30666666666666664,0.0013605442176870752,0.6502164502164502,0.709882498453927,0.0,0.9240689951870076,0.8478927141417061,0.33035510544377905
mean_of_3_datasets,-21.0,28,0.5187012987012988,0.12024737167594308,0.11351886209029066,0.405182436611008,0.006728509585652441,0.44805194805194803,0.5836363636363636,0.0,0.9265244817294507,0.8491086254907358,0.3231976692136062
mean_of_3_datasets,-22.0,28,0.6463079777365492,0.2042300556586271,0.19894867037724176,0.4473593073593074,0.005281385281385282,0.13030303030303028,0.40056895485466915,0.0016835016835016834,0.8871025980833466,0.7131190915018958,0.36618516811184293
mean_of_3_datasets,-23.0,28,0.7674211502782932,0.3322077922077922,0.3295238095238095,0.43789734075448367,0.0026839826839826844,0.0,0.25572047000618425,0.004545454545454546,0.8036381543366152,0.74880943102696,0.40590022362391376
mean_of_3_datasets,-24.0,28,0.8489424860853433,0.5058874458874459,0.5048113790970934,0.34413110698824995,0.0010760667903525045,0.0,0.15165120593692022,0.016287878787878785,0.6964344465573263,0.5971226962525447,0.4607855942358241
mean_of_3_datasets,-25.0,28,0.9098824984539271,0.6491403834260977,0.6469511440940012,0.2629313543599258,0.002189239332096474,0.0,0.06421768707482993,0.05782828282828283,0.567353576723347,0.5901450426292439,0.4772148369151146
