method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent
savaux,0,70,25,0.35714285714285715,0,0,0.40641550000509596,5.8059357143585135,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,23,0.32857142857142857,4,2,1.0311331000048085,14.73047285721155,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,22,0.3142857142857143,4,1,1.0535480000180542,15.050685714543631,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
information_12_wrap,12,70,21,0.3,5,1,1.1291058000279008,16.130082857541442,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.5
savaux,0,70,21,0.3,0,0,0.16057399999772315,2.293914285681759,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,18,0.2571428571428571,3,0,0.9634305000145105,13.76329285735015,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,15,0.21428571428571427,6,0,1.007351300017035,14.390732857386215,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5
information_12_wrap,12,70,15,0.21428571428571427,6,0,1.0767870000163384,15.382671428804835,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.5
savaux,0,70,23,0.32857142857142857,0,0,0.17585150001832517,2.5121642859760738,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5
hamming_12,12,70,19,0.2714285714285714,4,0,1.0139793999915128,14.485419999878754,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5
information_12,12,70,19,0.2714285714285714,4,0,1.0740445999981603,15.343494285688005,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5
information_12_wrap,12,70,19,0.2714285714285714,4,0,1.147872199988342,16.398174285547743,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.5
