packet_index,frame_index,event_index,payload_len,cr,has_crc,ldro,symbol_count,gt_compared_symbols,center_argmax_raw_ser,center_argmax_symbol_ser,multi_offset_argmax_raw_ser,multi_offset_argmax_symbol_ser,selected_raw_ser,selected_symbol_ser,ser_gain_vs_center,ser_gain_vs_multi_offset,locked_symbol_count,uncertain_symbol_count,locked_ratio,false_lock_count,locked_with_gt_count,false_lock_rate,uncertain_candidate_hits,uncertain_candidate_total,uncertain_candidate_recall,trajectory_score,line_score,mean_phase_score,mean_amp_score,phase_line_slope_pi,phase_line_r2,phase_line_rmse_pi,phase_line_anchor_count,beam_final_size,error,payload_hex,crc_valid,crc_computed,crc_received,decoded_payload_len,decode_error
1,0,1,33,1,1,0,35,35,0.5714285714285714,0.5714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.5428571428571428,0.0,26,9,0.7428571428571429,0,26,0.0,9,9,1.0,0.9878406493219604,0.9031439939303353,0.9392032466098017,1.0,-0.05200737916095893,0.9649529563818183,0.09575278006661378,26,1,,406411203300020058303132333435363738393a3b3c3d3e3f4041424378563412,0,0x8f61,0x4d14,33,
2,1,2,33,1,1,0,35,35,0.4857142857142857,0.4857142857142857,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.42857142857142855,0.0,26,9,0.7428571428571429,0,26,0.0,9,9,1.0,0.9883461286289289,0.8831311513277443,0.9417306431446443,1.0,-0.07542210022635541,0.9692516933314428,0.10576076973141048,26,1,,404433221100030058303132333435363738393a3b3c3d3e3f4061604158763613,0,0x94d7,0x09a0,33,
3,2,3,33,1,1,0,35,35,0.4,0.4,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.34285714285714286,0.0,26,9,0.7428571428571429,0,26,0.0,9,9,1.0,0.9564887672551059,0.7675505690276059,0.7824438362755294,1.0,-0.10669408000178511,0.9785418436981456,0.1543035392778488,26,1,,406413001322060058303132133435363738393a3b3c3d3e3f4041424378563412,0,0xc016,0xc08d,33,
5,3,5,33,1,1,0,35,35,0.37142857142857144,0.37142857142857144,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.34285714285714286,0.0,28,7,0.8,0,28,0.0,7,7,1.0,0.9593420264255901,0.7765510557270778,0.7967101321279504,1.0,-0.11201045892858934,0.9787269656183855,0.15086537001970177,26,1,,404433221100060058303132333435363738393a3b3c3d3ebf4841424378563412,0,0xed5e,0x4be5,33,
6,4,6,33,1,1,0,35,35,0.34285714285714286,0.34285714285714286,0.0,0.0,0.0,0.0,0.34285714285714286,0.0,30,5,0.8571428571428571,0,30,0.0,5,5,1.0,0.9661289931759269,0.885629194174378,0.8306449658796347,1.0,-0.12026250293593223,0.990668324369429,0.10455201549542276,26,1,,404433221100070058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x0e51,0x0e51,33,
8,5,8,33,1,1,0,35,35,0.37142857142857144,0.37142857142857144,0.0,0.0,0.0,0.0,0.37142857142857144,0.0,29,6,0.8285714285714286,0,29,0.0,6,6,1.0,0.9777863696956092,0.8359376206961455,0.8889318484780454,1.0,-0.11376821237336707,0.9853473482487821,0.12699651828542097,26,1,,404433221100090058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x8e2a,0x8e2a,33,
9,6,9,33,1,1,0,35,35,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,24,11,0.6857142857142857,0,24,0.0,11,11,1.0,0.9713709934199838,0.7728962095134211,0.8568549670999185,1.0,-0.11895703877154896,0.9795848700212709,0.15226603633397753,26,1,,4044332211000a0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x40f6,0x40f6,33,
10,7,10,33,1,1,0,35,35,0.45714285714285713,0.45714285714285713,0.0,0.0,0.0,0.0,0.45714285714285713,0.0,28,7,0.8,0,28,0.0,7,7,1.0,0.983865114622947,0.7663764212018671,0.919325573114735,1.0,-0.1285743081373735,0.981807441655155,0.15474935754585484,26,1,,4044332211000b0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x0542,0x0542,33,
11,8,11,33,1,1,0,35,35,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,21,14,0.6,0,21,0.0,14,14,1.0,0.8283744688230046,0.0694285154885583,0.1418723441150228,1.0,-0.12689430813985542,0.8810843804783771,0.4899705959414168,26,1,,4044332211000c0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0xcd6f,0xcd6f,33,
12,9,12,33,1,1,0,35,35,0.08571428571428572,0.08571428571428572,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,24,11,0.6857142857142857,0,24,0.0,11,11,1.0,0.910382587967328,0.011223493711470736,0.5519129398366395,1.0,-0.2113145645058474,0.9071312109035189,0.6356706254331503,26,1,,4044332211000d0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x88db,0x88db,33,
13,10,13,33,1,1,0,35,35,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,34,1,0.9714285714285714,0,34,0.0,1,1,1.0,0.9827791646686574,0.7919299869023654,0.913895823343287,1.0,-0.12534957941449792,0.9827222469599768,0.14489791658472884,26,1,,4044332211000e0058303132333435363738393a3b3c3d3e3f4041424378563412,1,0x4607,0x4607,33,
