frame_index,packet_index,event_index,header_start_sample,source_frame_valid,source_grlora_framesync_valid,source_grlora_netid_valid,source_grlora_cfo_int,source_grlora_cfo_frac,source_grlora_payload_sto_frac,source_grlora_sfo_hat,header_valid,payload_len,cr,has_crc,ldro,payload_symbol_count,total_symbol_count,header_checksum_received,header_checksum_computed,header_error,header_nibbles,gray_symbols,codewords,decoded_nibbles,error
0,0,0,695513,1,1,1,-21,-0.35766409636452867,-0.1445346540502827,-0.005474078351538992,1,33,1,1,0,35,43,24,24,0,2 1 3 1 8,110 242 8 30 186 169 237 125,78 139 197 139 23 255 210 89,2 1 3 1 8 15 11 10,
1,1,1,3195688,1,1,1,-21,-0.39472888015115787,-0.16146823229924623,-0.005483578244861379,1,33,1,1,0,35,43,24,24,0,2 1 3 1 8,110 242 8 30 186 169 237 125,78 139 197 139 23 255 210 89,2 1 3 1 8 15 11 10,
2,2,2,5696194,1,1,1,-21,-0.41680130709400676,-0.06335407000079196,-0.0054892355205797645,1,33,1,1,0,35,43,24,24,0,2 1 3 1 8,110 242 8 30 186 169 237 125,78 139 197 139 23 255 210 89,2 1 3 1 8 15 11 10,
3,3,3,8196509,1,1,1,-21,-0.43748659427957853,-0.034564620646183264,-0.005494537265296181,1,33,1,1,0,35,43,24,24,0,2 1 3 1 8,110 242 8 30 186 169 237 125,78 139 197 139 23 255 210 89,2 1 3 1 8 15 11 10,
4,4,4,10696596,1,1,1,-21,-0.45662402136328456,-0.019948108045789448,-0.005499442285565738,1,33,1,1,0,35,43,24,24,0,2 1 3 1 8,110 242 8 30 186 169 237 125,78 139 197 139 23 255 210 89,2 1 3 1 8 15 11 10,
5,5,5,13196943,1,1,1,-21,0.4969368849145525,0.030335762266614053,-0.005255039756788355,1,33,1,1,0,35,43,24,24,0,2 1 3 1 8,110 242 8 30 186 169 237 125,78 139 197 139 23 255 210 89,2 1 3 1 8 15 11 10,
6,6,6,15697411,1,1,1,-21,0.41058346488340736,-0.08565840599509927,-0.00527717257922816,1,33,1,1,0,35,43,24,24,0,2 1 3 1 8,110 242 8 30 186 169 237 125,78 139 197 139 23 255 210 89,2 1 3 1 8 15 11 10,
7,7,7,18198299,1,1,1,-21,0.3312936053323867,0.11219886219268038,-0.0052974949750532125,1,33,1,1,0,35,43,24,24,0,2 1 3 1 8,110 242 8 30 186 169 237 125,78 139 197 139 23 255 210 89,2 1 3 1 8 15 11 10,
8,8,8,20698914,1,1,1,-21,0.25295836966623414,0.19264905424441436,-0.005317572695902647,1,33,1,1,0,35,43,24,24,0,2 1 3 1 8,110 242 8 30 186 169 237 125,78 139 197 139 23 255 210 89,2 1 3 1 8 15 11 10,
9,9,9,23199711,1,1,1,-21,0.1972645608685449,0.38587564685576403,-0.005331847303447677,1,33,1,1,0,35,43,24,24,0,2 1 3 1 8,110 242 8 30 186 169 237 125,78 139 197 139 23 255 210 89,2 1 3 1 8 15 11 10,
