scenario,target_tx_dbm,interferer_tx_dbm,trial,symbol_count,target_power_w,interference_power_w,noise_power_w,theoretical_noise_power_w,target_snr_db,target_sinr_db,mean_savaux_margin_db,mean_branch_color_mismatch,conditional_screen_rate,conditional_backend_rate,branch0_errors,branch0_ser,branch0_fixes_vs_savaux,branch0_breaks_vs_savaux,savaux_errors,savaux_ser,savaux_fixes_vs_savaux,savaux_breaks_vs_savaux,equal8_errors,equal8_ser,equal8_fixes_vs_savaux,equal8_breaks_vs_savaux,equal8_wrap_errors,equal8_wrap_ser,equal8_wrap_fixes_vs_savaux,equal8_wrap_breaks_vs_savaux,gls8_direct_errors,gls8_direct_ser,gls8_direct_fixes_vs_savaux,gls8_direct_breaks_vs_savaux,gls8_cg_errors,gls8_cg_ser,gls8_cg_fixes_vs_savaux,gls8_cg_breaks_vs_savaux,gls8_cg_wrap_errors,gls8_cg_wrap_ser,gls8_cg_wrap_fixes_vs_savaux,gls8_cg_wrap_breaks_vs_savaux,conditional_gls_errors,conditional_gls_ser,conditional_gls_fixes_vs_savaux,conditional_gls_breaks_vs_savaux
one_interferer,-63.0,-78.5,0,200,5.970988458426407e-17,1.0964821577013362e-16,1.9933146287122118e-15,1.9924677175759936e-15,-15.235296222920184,-15.467853678461609,2.3373408065798165,1.2801295482904878,0.115,0.115,23,0.115,1,4,20,0.1,0,0,16,0.08,5,1,10,0.05,10,0,20,0.1,3,3,20,0.1,3,3,14,0.07,7,1,14,0.07,6,0
one_interferer,-63.0,-78.5,1,200,5.970988470416585e-17,1.0964794098961016e-16,1.99263162911176e-15,1.9924677175759936e-15,-15.233807870195903,-15.466442372761131,2.34255951667084,1.2793682136261282,0.135,0.135,28,0.14,1,4,25,0.125,0,0,28,0.14,1,4,17,0.085,10,2,27,0.135,1,3,28,0.14,1,4,18,0.09,9,2,19,0.095,8,2
one_interferer,-63.0,-78.5,2,200,5.97098846189657e-17,1.0964802220399242e-16,1.9923471906592588e-15,1.9924677175759936e-15,-15.233187897937974,-15.465854906511744,1.9591392656733904,1.2810112033383525,0.135,0.135,29,0.145,2,1,30,0.15,0,0,32,0.16,3,5,20,0.1,12,2,30,0.15,3,3,30,0.15,3,3,21,0.105,10,1,22,0.11,9,1
one_interferer,-65.0,-78.5,0,200,3.767439021650605e-17,1.0964821577013362e-16,1.9933146287122118e-15,1.9924677175759936e-15,-17.235296222920187,-17.467853678461616,1.3413158872115318,1.2802535089707405,0.22,0.22,93,0.465,2,4,91,0.455,0,0,90,0.45,4,3,78,0.39,15,2,89,0.445,6,4,89,0.445,6,4,71,0.355,21,1,76,0.38,16,1
one_interferer,-65.0,-78.5,1,200,3.767439029215898e-17,1.0964794098961016e-16,1.99263162911176e-15,1.9924677175759936e-15,-17.233807870195907,-17.466442372761133,1.4255176312946214,1.27947818820665,0.21,0.21,91,0.455,0,3,88,0.44,0,0,89,0.445,2,3,75,0.375,14,1,84,0.42,7,3,84,0.42,7,3,76,0.38,13,1,78,0.39,11,1
one_interferer,-65.0,-78.5,2,200,3.767439023840132e-17,1.0964802220399242e-16,1.9923471906592588e-15,1.9924677175759936e-15,-17.233187897937977,-17.465854906511748,1.1607654944781323,1.2811562309487021,0.32,0.32,118,0.59,3,8,113,0.565,0,0,108,0.54,9,4,94,0.47,20,1,108,0.54,6,1,108,0.54,6,1,94,0.47,20,1,96,0.48,18,1
one_interferer,-67.0,-78.5,0,200,2.377093320591724e-17,1.0964821577013362e-16,1.9933146287122118e-15,1.9924677175759936e-15,-19.235296222920187,-19.467853678461612,1.1694554673292579,1.2803995143553626,0.305,0.305,155,0.775,1,6,150,0.75,0,0,155,0.775,2,7,141,0.705,12,3,152,0.76,2,4,152,0.76,2,4,142,0.71,10,2,147,0.735,5,2
one_interferer,-67.0,-78.5,1,200,2.3770933253651005e-17,1.0964794098961016e-16,1.99263162911176e-15,1.9924677175759936e-15,-19.233807870195907,-19.466442372761133,1.2988553079283116,1.2795440172429189,0.285,0.285,165,0.825,1,5,161,0.805,0,0,158,0.79,6,3,146,0.73,18,3,162,0.81,1,2,162,0.81,1,2,145,0.725,19,3,150,0.75,14,3
one_interferer,-67.0,-78.5,2,200,2.3770933219732196e-17,1.0964802220399242e-16,1.9923471906592588e-15,1.9924677175759936e-15,-19.233187897937977,-19.465854906511748,1.3519449852234835,1.2811950969978916,0.28,0.28,174,0.87,2,4,172,0.86,0,0,175,0.875,1,4,168,0.84,6,2,175,0.875,0,3,175,0.875,0,3,165,0.825,8,1,169,0.845,4,1
two_interferers,-63.0,-78.5,0,200,5.970988458426407e-17,1.1828342939552687e-16,1.993137222989291e-15,1.9924677175759936e-15,-15.234909682059088,-15.48528533476514,2.1960003816293105,1.2797389354208213,0.09,0.09,26,0.13,0,3,23,0.115,0,0,24,0.12,2,3,18,0.09,5,0,24,0.12,1,2,24,0.12,1,2,18,0.09,5,0,18,0.09,5,0
