snr_db,k0_joint_app,k0_margin,k0_rank,k0.5_joint_app,k0.5_margin,k0.5_rank,k1_joint_app,k1_margin,k1_rank,k2_joint_app,k2_margin,k2_rank
-10,5/5,0.401172,1.000,5/5,0.428796,1.000,5/5,0.456420,1.000,5/5,0.511667,1.000
-15,5/5,0.302475,1.000,5/5,0.330407,1.000,5/5,0.358338,1.000,5/5,0.414201,1.000
-20,5/5,0.202684,1.200,5/5,0.230910,1.000,5/5,0.259136,1.000,5/5,0.315587,1.000
-23,5/5,0.146581,1.600,5/5,0.176220,1.200,5/5,0.205859,1.200,5/5,0.265137,1.000
-25,1/5,0.034117,19.600,5/5,0.062188,12.600,5/5,0.158493,11.000,5/5,0.222221,9.400
-27,1/5,0.079958,11.200,1/5,0.055442,12.200,5/5,0.011579,18.000,5/5,0.145620,18.400
