method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight,wrap_consistency_exponent
savaux,0,70,8,0.11428571428571428,0,0,0.4337247000185016,6.196067143121452,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.25
hamming_12,12,70,8,0.11428571428571428,0,0,0.9366172999907576,13.380247142725109,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.25
information_12,12,70,8,0.11428571428571428,2,2,0.9618084000176168,13.740120000251668,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.25
information_12_wrap,12,70,9,0.12857142857142856,1,2,1.0270948000070348,14.672782857243353,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4,0.0,0.0,0.25
savaux,0,70,8,0.11428571428571428,0,0,0.15916109998943284,2.273729999849041,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.25
hamming_12,12,70,10,0.14285714285714285,0,2,1.0032487999851583,14.332125714073689,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.25
information_12,12,70,8,0.11428571428571428,1,1,1.0125886000096216,14.46555142870888,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.25
information_12_wrap,12,70,6,0.08571428571428572,3,1,1.0830349999960163,15.471928571371661,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4,0.0,0.0,0.25
savaux,0,70,5,0.07142857142857142,0,0,0.1344603000106872,1.920861428724103,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.25
hamming_12,12,70,6,0.08571428571428572,0,1,0.7806684999995923,11.152407142851319,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.25
information_12,12,70,7,0.1,0,2,0.7741851000027964,11.059787142897092,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.25
information_12_wrap,12,70,7,0.1,0,2,0.8289564999868162,11.842235714097374,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4,0.0,0.0,0.25
