dataset,snr_db,method,errors,symbol_count,fixes_vs_savaux,breaks_vs_savaux,ser
0_0_0_10_14_32,-18.0,ordinary_fft,37,105,0,7,0.3523809523809524
0_0_0_10_14_32,-18.0,savaux,30,105,0,0,0.2857142857142857
0_0_0_10_14_32,-18.0,branch_gls,29,105,1,0,0.2761904761904762
0_0_0_10_14_32,-18.0,savaux_dual,30,105,0,0,0.2857142857142857
0_0_0_10_14_32,-18.0,proposed,29,105,1,0,0.2761904761904762
0_0_0_10_14_32,-20.0,ordinary_fft,46,105,0,13,0.4380952380952381
0_0_0_10_14_32,-20.0,savaux,33,105,0,0,0.3142857142857143
0_0_0_10_14_32,-20.0,branch_gls,34,105,0,1,0.3238095238095238
0_0_0_10_14_32,-20.0,savaux_dual,33,105,0,0,0.3142857142857143
0_0_0_10_14_32,-20.0,proposed,34,105,0,1,0.3238095238095238
0_0_0_10_14_32,-22.0,ordinary_fft,71,105,1,23,0.6761904761904762
0_0_0_10_14_32,-22.0,savaux,49,105,0,0,0.4666666666666667
0_0_0_10_14_32,-22.0,branch_gls,46,105,4,1,0.4380952380952381
0_0_0_10_14_32,-22.0,savaux_dual,47,105,2,0,0.44761904761904764
0_0_0_10_14_32,-22.0,proposed,45,105,4,0,0.42857142857142855
