dataset,snr_db,method,errors,symbol_count,fixes_vs_savaux,breaks_vs_savaux,ser
collector_low2_cr47,-22.0,ordinary_fft,1477,2205,2,1134,0.6698412698412698
collector_low2_cr47,-22.0,savaux,345,2205,0,0,0.1564625850340136
collector_low2_cr47,-22.0,savaux_header,52,2205,293,0,0.023582766439909298
collector_low2_cr47,-22.0,branch_gls,358,2205,5,18,0.16235827664399094
collector_low2_cr47,-22.0,branch_shrinkage,347,2205,0,2,0.15736961451247167
collector_low2_cr47,-22.0,savaux_dual,345,2205,0,0,0.1564625850340136
collector_low2_cr47,-22.0,proposed,54,2205,293,2,0.024489795918367346
collector_low2_cr47,-23.0,ordinary_fft,1698,2205,4,1280,0.7700680272108843
collector_low2_cr47,-23.0,savaux,422,2205,0,0,0.19138321995464852
collector_low2_cr47,-23.0,savaux_header,130,2205,292,0,0.05895691609977324
collector_low2_cr47,-23.0,branch_gls,429,2205,19,26,0.1945578231292517
collector_low2_cr47,-23.0,branch_shrinkage,419,2205,4,1,0.19002267573696144
collector_low2_cr47,-23.0,savaux_dual,422,2205,0,0,0.19138321995464852
collector_low2_cr47,-23.0,proposed,129,2205,294,1,0.058503401360544216
collector_low2_cr47,-24.0,ordinary_fft,1857,2205,12,1317,0.8421768707482993
collector_low2_cr47,-24.0,savaux,552,2205,0,0,0.2503401360544218
collector_low2_cr47,-24.0,savaux_header,270,2205,282,0,0.12244897959183673
collector_low2_cr47,-24.0,branch_gls,567,2205,23,38,0.2571428571428571
collector_low2_cr47,-24.0,branch_shrinkage,550,2205,8,6,0.2494331065759637
collector_low2_cr47,-24.0,savaux_dual,552,2205,1,1,0.2503401360544218
collector_low2_cr47,-24.0,proposed,268,2205,290,6,0.12154195011337869
collector_low2_cr47,-25.0,ordinary_fft,1982,2205,10,1263,0.8988662131519274
collector_low2_cr47,-25.0,savaux,729,2205,0,0,0.3306122448979592
collector_low2_cr47,-25.0,savaux_header,510,2205,219,0,0.23129251700680273
collector_low2_cr47,-25.0,branch_gls,762,2205,35,68,0.345578231292517
collector_low2_cr47,-25.0,branch_shrinkage,730,2205,11,12,0.3310657596371882
collector_low2_cr47,-25.0,savaux_dual,730,2205,1,2,0.3310657596371882
collector_low2_cr47,-25.0,proposed,516,2205,228,15,0.23401360544217686
collector_low2_cr47,-26.0,ordinary_fft,2068,2205,9,1090,0.9378684807256236
collector_low2_cr47,-26.0,savaux,987,2205,0,0,0.44761904761904764
collector_low2_cr47,-26.0,savaux_header,844,2205,143,0,0.38276643990929704
collector_low2_cr47,-26.0,branch_gls,1009,2205,46,68,0.4575963718820862
collector_low2_cr47,-26.0,branch_shrinkage,982,2205,15,10,0.4453514739229025
collector_low2_cr47,-26.0,savaux_dual,989,2205,0,2,0.4485260770975057
collector_low2_cr47,-26.0,proposed,840,2205,157,10,0.38095238095238093
