trial_id,packet_id,reference_id,esn0_db,seed,sync_status,strict_sync_success,estimate_available,local_sync_estimate,event_count,signal_power,added_noise_power,gate_failure_reasons,locator_valid,locator_score,locator_preamble_stable_count,locator_sync1_distance,locator_sync2_distance,locator_sfd_distance,locator_mean_preamble_confidence_db,locator_mean_sfd_confidence_db,clean_cfo_total_bins,noisy_cfo_total_bins,cfo_error_bins,cfo_error_hz,abs_cfo_error_bins,clean_payload_start_sample,noisy_payload_start_sample,payload_sto_error_samples_1m,payload_sto_error_chips,cfo_sto_coupled_residual_bins,abs_cfo_sto_coupled_residual_bins,preamble_sto_error_samples_1m,clean_sfo_hat,noisy_sfo_hat,sfo_error,fine_preamble_peak_max_abs_bin,fine_preamble_bin0_count,fine_preamble_peak_count,coarse_preamble_peak_max_abs_bin,coarse_preamble_bin0_count,coarse_preamble_peak_count,netid1_est,netid2_est,netid_offset,netid_valid,branch_valid_count,branch_netid_valid_count,branch_down_val_valid_count,branch_valid_phases,frame_sync_valid,payload_correct_symbols,payload_total_symbols,payload_ser,payload_packet_decodable,gate_class,decoder_aware_accept
exp0_000003_rxg20_0_fulltrim:12:20260822,exp0_000003_rxg20_0_fulltrim,3,12.0,20260822,sync_invalid,0,1,0,1,5.3735255547964695e-08,1.3887346338000231e-05,framesync_preamble_all_bin0|framesync_netid,1,266.18293011036036,15,0,0,0,4.047106435577703,3.6840578777931157,-128.8702234183035,417.1280757570218,545.9982991753253,16662.545751200112,545.9982991753253,673552,677921,4369,546.125,-0.12670082467468546,0.12670082467468546,-1,-0.033030096221627926,0.10691205550467034,0.13994215172629826,1567,2,12,19,14,16,2852,16,2844,0,0,0,8,,0,0,16,1.0,0,strict_invalid_nondecode,0
exp0_000004_rxg20_0_fulltrim:12:20260822,exp0_000004_rxg20_0_fulltrim,4,12.0,20260822,ok,1,1,1,1,6.126035586516529e-08,1.5832134229441056e-05,,1,263.3877131673995,16,0,0,0,3.7454002030033857,2.0274241860382944,-128.86059867151772,-129.86479870433962,-1.004200032821899,-30.645752954769865,1.004200032821899,673552,673544,-8,-1.0,-0.004200032821898958,0.004200032821898958,7,-0.03302762934988664,-0.033285010945340275,-0.0002573815954536318,1,0,12,0,16,16,8,16,0,1,3,8,8,0|1|2,1,11,16,0.3125,0,strict_valid,1
exp0_000005_rxg20_0_fulltrim:12:20260822,exp0_000005_rxg20_0_fulltrim,5,12.0,20260822,sync_invalid,0,1,0,1,7.242874646077204e-08,1.871849452786398e-05,locator_sfd|framesync_preamble_all_bin0,0,-150.03393751728274,14,0,1,173,2.535182153537065,0.5008306588205269,-128.73133173018064,-233.7179768380515,-104.98664510787086,-3203.938144161098,104.98664510787086,673551,672714,-837,-104.625,-0.36164510787085646,0.36164510787085646,-9,-0.03299449757283695,-0.05990311073355841,-0.026908613160721462,1039,9,12,1888,13,16,7,15,-1,1,0,7,8,,0,1,16,0.9375,0,strict_invalid_nondecode,0
exp0_000006_rxg20_0_fulltrim:12:20260822,exp0_000006_rxg20_0_fulltrim,6,12.0,20260822,sync_invalid,0,1,0,1,7.561376789538686e-08,1.954163187606118e-05,framesync_preamble_all_bin0|framesync_netid,1,245.63551087998476,15,0,0,0,2.6754282250376074,1.318813355565516,-128.78823406390384,1023.1985440483834,1151.9867781122873,35155.84650000877,1151.9867781122873,673552,682770,9218,1152.25,-0.26322188771268884,0.26322188771268884,1,-0.03300908193149063,0.2622510108797374,0.295260092811228,2034,2,12,226,14,16,8,954,0,0,0,2,8,,0,0,16,1.0,0,strict_invalid_nondecode,0
exp0_000007_rxg20_0_fulltrim:12:20260822,exp0_000007_rxg20_0_fulltrim,7,12.0,20260822,sync_invalid,0,1,1,1,7.449895515307498e-08,1.925351952790864e-05,framesync_preamble_all_bin0|framesync_netid,1,242.1024978547006,14,0,0,0,2.4477542695861954,2.4436543137931825,-128.76227301106474,-128.76805459848276,-0.0057815874180278115,-0.17644004571618077,0.0057815874180278115,673551,673552,1,0.125,-0.1307815874180278,0.1307815874180278,8,-0.03300242798110128,-0.03300390983147498,-1.4818503736996336e-06,1432,0,12,562,14,16,8,3677,0,0,0,0,8,,0,16,16,0.0,1,strict_invalid_decodable,0
exp0_000008_rxg20_0_fulltrim:12:20260822,exp0_000008_rxg20_0_fulltrim,8,12.0,20260822,sync_invalid,0,1,1,1,6.982488910305618e-08,1.8045553298263374e-05,framesync_netid,1,245.68989421721483,15,1,0,0,3.309293753392724,3.5511310333346753,-128.7286519200897,-128.73396974771305,-0.005317827623343874,-0.16228721995067974,0.005317827623343874,673552,673552,0,0.0,-0.005317827623343874,0.005317827623343874,0,-0.032993810723828614,-0.03299517371019916,-1.3629863705455492e-06,1,11,12,0,16,16,4046,16,4038,0,0,1,8,,0,14,16,0.125,0,strict_invalid_nondecode,0
exp0_000000_rxg20_0_fulltrim:13:20260821,exp0_000000_rxg20_0_fulltrim,0,13.0,20260821,sync_invalid,0,1,1,1,6.153250447488309e-08,1.2631779613050637e-05,locator_preamble_stability|locator_sfd|framesync_preamble_all_bin0,0,-8.56206683019127,10,1,1,79,1.1629137013421307,1.3654107070462331,-128.71322618720285,-128.70485751494886,0.008368672253993736,0.2553916093137737,0.008368672253993736,673552,673551,-1,-0.125,0.13336867225399374,0.13336867225399374,0,-0.032989857029732124,-0.032987712096306354,2.1449334257697683e-06,738,10,12,1430,4,16,7,15,-1,1,0,8,8,,0,15,16,0.0625,0,strict_invalid_nondecode,0
exp0_000002_rxg20_0_fulltrim:13:20260821,exp0_000002_rxg20_0_fulltrim,2,13.0,20260821,sync_invalid,0,1,1,1,2.9434755784562603e-08,6.042551838375642e-06,framesync_preamble_all_bin0,1,261.6792269074283,15,0,0,0,3.054000257168569,4.547297795796963,-129.9365825693268,-129.93496774614746,0.001614823179323821,0.04928049253307559,0.001614823179323821,673544,673544,0,0.0,0.001614823179323821,0.001614823179323821,0,-0.033303409516436025,-0.033302995629010526,4.1388742549886004e-07,1,0,12,1200,14,16,8,16,0,1,1,8,8,0,0,16,16,0.0,1,strict_invalid_decodable,1
exp0_000003_rxg20_0_fulltrim:13:20260821,exp0_000003_rxg20_0_fulltrim,3,13.0,20260821,sync_invalid,0,1,0,1,5.3735255547964695e-08,1.1031111301668438e-05,framesync_netid,1,260.0828794521188,16,0,1,0,4.719682293003725,2.751775528773379,-128.8702234183035,-1000.8701126832142,-871.9998892649107,-26611.32474563326,871.9998892649107,673552,666575,-6977,-872.125,0.1251107350892653,0.1251107350892653,2,-0.033030096221627926,-0.2565281199208566,-0.2234980236992287,4,2,12,0,16,16,8,1669,0,0,0,0,8,,0,0,16,1.0,0,strict_invalid_nondecode,0
exp0_000004_rxg20_0_fulltrim:13:20260821,exp0_000004_rxg20_0_fulltrim,4,13.0,20260821,ok,1,1,1,1,6.126035586516529e-08,1.2575911234389784e-05,,1,288.5855424991982,16,0,0,0,5.249147212612567,5.296027031596555,-128.86059867151772,-128.85548938270927,0.005109288808455403,0.15592312037522593,0.005109288808455403,673552,673552,0,0.0,0.005109288808455403,0.005109288808455403,-1,-0.03302762934988664,-0.03302631981307906,1.3095368075824454e-06,0,12,12,0,16,16,8,16,0,1,5,8,8,0|1|2|3|4,1,16,16,0.0,1,strict_valid,1
