trial_id,packet_id,reference_id,esn0_db,seed,payload_index,gt_symbol,strict_sync_success,estimate_available,local_sync_estimate,oracle_decision,oracle_correct,oracle_true_margin_db,noisy_sync_decision,noisy_sync_correct,noisy_sync_true_margin_db,strict_end_to_end_correct
exp0_000000_rxg20_0_fulltrim:12:20260821,exp0_000000_rxg20_0_fulltrim,0,12.0,20260821,0,3293,0,1,1,3293,1,0.38476241448464427,1664,0,-0.7925836482967916,0
exp0_000000_rxg20_0_fulltrim:12:20260821,exp0_000000_rxg20_0_fulltrim,0,12.0,20260821,1,313,0,1,1,313,1,2.280131857490945,313,1,0.6163671294267902,0
exp0_000000_rxg20_0_fulltrim:12:20260821,exp0_000000_rxg20_0_fulltrim,0,12.0,20260821,2,1433,0,1,1,1433,1,5.082742313353499,1433,1,5.1310059803223425,0
exp0_000000_rxg20_0_fulltrim:12:20260821,exp0_000000_rxg20_0_fulltrim,0,12.0,20260821,3,2865,0,1,1,4000,0,-0.25091275741293895,4000,0,-0.2854247073732807,0
exp0_000000_rxg20_0_fulltrim:12:20260821,exp0_000000_rxg20_0_fulltrim,0,12.0,20260821,4,3469,0,1,1,3469,1,1.865148279122616,3469,1,1.9453112523535414,0
exp0_000000_rxg20_0_fulltrim:12:20260821,exp0_000000_rxg20_0_fulltrim,0,12.0,20260821,5,3985,0,1,1,2385,0,-2.3347346722189064,2385,0,-4.526580680514842,0
exp0_000000_rxg20_0_fulltrim:12:20260821,exp0_000000_rxg20_0_fulltrim,0,12.0,20260821,6,3165,0,1,1,3165,1,1.5735687280591195,3165,1,1.5356073941672745,0
exp0_000000_rxg20_0_fulltrim:12:20260821,exp0_000000_rxg20_0_fulltrim,0,12.0,20260821,7,1669,0,1,1,1669,1,2.0825015937423936,1669,1,2.0965729598664367,0
exp0_000000_rxg20_0_fulltrim:12:20260821,exp0_000000_rxg20_0_fulltrim,0,12.0,20260821,8,849,0,1,1,849,1,3.656481134696402,849,1,3.4808147259602578,0
exp0_000000_rxg20_0_fulltrim:12:20260821,exp0_000000_rxg20_0_fulltrim,0,12.0,20260821,9,665,0,1,1,665,1,2.397309813946467,665,1,2.425526547916726,0
exp0_000000_rxg20_0_fulltrim:12:20260821,exp0_000000_rxg20_0_fulltrim,0,12.0,20260821,10,713,0,1,1,713,1,0.008687164193611553,713,1,0.015507907499929387,0
exp0_000000_rxg20_0_fulltrim:12:20260821,exp0_000000_rxg20_0_fulltrim,0,12.0,20260821,11,797,0,1,1,797,1,4.445159100735498,797,1,4.531653808974781,0
exp0_000000_rxg20_0_fulltrim:12:20260821,exp0_000000_rxg20_0_fulltrim,0,12.0,20260821,12,3881,0,1,1,3881,1,3.6731675899327385,3881,1,2.9748583174630028,0
exp0_000000_rxg20_0_fulltrim:12:20260821,exp0_000000_rxg20_0_fulltrim,0,12.0,20260821,13,693,0,1,1,693,1,2.9125075812989847,693,1,2.8254304503864605,0
exp0_000000_rxg20_0_fulltrim:12:20260821,exp0_000000_rxg20_0_fulltrim,0,12.0,20260821,14,2437,0,1,1,2437,1,3.80955887667965,2437,1,3.7338935164530667,0
exp0_000000_rxg20_0_fulltrim:12:20260821,exp0_000000_rxg20_0_fulltrim,0,12.0,20260821,15,1117,0,1,1,1117,1,1.8025007906751045,1117,1,2.078627148647018,0
exp0_000002_rxg20_0_fulltrim:12:20260821,exp0_000002_rxg20_0_fulltrim,2,12.0,20260821,0,3293,0,1,1,3293,1,3.7279023372611504,3293,1,3.73953632863701,0
exp0_000002_rxg20_0_fulltrim:12:20260821,exp0_000002_rxg20_0_fulltrim,2,12.0,20260821,1,313,0,1,1,313,1,0.5675654696690268,313,1,0.5650355902113076,0
exp0_000002_rxg20_0_fulltrim:12:20260821,exp0_000002_rxg20_0_fulltrim,2,12.0,20260821,2,1433,0,1,1,1433,1,2.8231870955423366,1433,1,2.8218187004293505,0
exp0_000002_rxg20_0_fulltrim:12:20260821,exp0_000002_rxg20_0_fulltrim,2,12.0,20260821,3,2865,0,1,1,2865,1,3.79399026783173,2865,1,3.7876504155449746,0
exp0_000002_rxg20_0_fulltrim:12:20260821,exp0_000002_rxg20_0_fulltrim,2,12.0,20260821,4,3469,0,1,1,3469,1,2.536851834060773,3469,1,2.53444436730665,0
exp0_000002_rxg20_0_fulltrim:12:20260821,exp0_000002_rxg20_0_fulltrim,2,12.0,20260821,5,3985,0,1,1,3985,1,4.260825541598796,3985,1,4.255479669287253,0
exp0_000002_rxg20_0_fulltrim:12:20260821,exp0_000002_rxg20_0_fulltrim,2,12.0,20260821,6,3165,0,1,1,3165,1,4.199819038934351,3165,1,4.200451523121203,0
exp0_000002_rxg20_0_fulltrim:12:20260821,exp0_000002_rxg20_0_fulltrim,2,12.0,20260821,7,1669,0,1,1,1669,1,3.575402371314022,1669,1,3.559069109822291,0
exp0_000002_rxg20_0_fulltrim:12:20260821,exp0_000002_rxg20_0_fulltrim,2,12.0,20260821,8,173,0,1,1,173,1,3.4904825585518595,173,1,3.495362921496668,0
