esn0_db,policy,packet_trials,accepted_packets,acceptance_rate,delivered_packets,packet_delivery_rate,end_to_end_ser,decodable_false_rejects,accepted_nondecode_packets
12.0,strict,16,2,0.125,0,0.0,0.8984375,2,2
12.0,decoder_aware,16,7,0.4375,1,0.0625,0.609375,1,6
12.0,estimate_available,16,15,0.9375,2,0.125,0.4375,0,13
12.0,oracle_acceptance,16,2,0.125,2,0.125,0.875,0,0
13.0,strict,16,7,0.4375,5,0.3125,0.57421875,4,2
13.0,decoder_aware,16,11,0.6875,8,0.5,0.328125,1,3
13.0,estimate_available,16,16,1.0,9,0.5625,0.20703125,0,7
13.0,oracle_acceptance,16,9,0.5625,9,0.5625,0.4375,0,0
14.0,strict,16,10,0.625,9,0.5625,0.4375,4,1
14.0,decoder_aware,16,14,0.875,13,0.8125,0.1875,0,1
14.0,estimate_available,16,16,1.0,13,0.8125,0.1875,0,3
14.0,oracle_acceptance,16,13,0.8125,13,0.8125,0.1875,0,0
15.0,strict,16,12,0.75,12,0.75,0.25,4,0
15.0,decoder_aware,16,16,1.0,16,1.0,0.0,0,0
15.0,estimate_available,16,16,1.0,16,1.0,0.0,0,0
15.0,oracle_acceptance,16,16,1.0,16,1.0,0.0,0,0
16.0,strict,16,15,0.9375,15,0.9375,0.0625,1,0
16.0,decoder_aware,16,16,1.0,16,1.0,0.0,0,0
16.0,estimate_available,16,16,1.0,16,1.0,0.0,0,0
16.0,oracle_acceptance,16,16,1.0,16,1.0,0.0,0,0
