dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,null_bin_count,savaux_bin,savaux_error,gls_offpacket_fixed_bin,gls_offpacket_fixed_error,gls_packet_null_bin,gls_packet_null_error,gls_symbol_null_bin,gls_symbol_null_error
0_0_0_10_14_32,-24.0,42,0,0,8,803,1000,711,1,711,1,711,1,711,1
0_0_0_10_14_32,-24.0,42,0,1,9,711,1000,711,0,711,0,711,0,711,0
0_0_0_10_14_32,-24.0,42,0,2,10,922,1000,922,0,922,0,922,0,922,0
0_0_0_10_14_32,-24.0,42,0,3,11,718,1001,718,0,718,0,718,0,718,0
0_0_0_10_14_32,-24.0,42,0,4,12,107,1000,599,1,514,1,599,1,514,1
0_0_0_10_14_32,-24.0,42,0,5,13,468,1000,468,0,468,0,468,0,468,0
0_0_0_10_14_32,-24.0,42,0,6,14,89,1000,189,1,189,1,189,1,633,1
0_0_0_10_14_32,-24.0,42,0,7,15,713,1000,501,1,501,1,501,1,501,1
0_0_0_10_14_32,-24.0,42,0,8,16,865,1000,171,1,171,1,171,1,171,1
0_0_0_10_14_32,-24.0,42,0,9,17,492,1002,492,0,492,0,492,0,492,0
0_0_0_10_14_32,-24.0,42,0,10,18,765,1002,896,1,896,1,896,1,896,1
0_0_0_10_14_32,-24.0,42,0,11,19,1023,1000,693,1,693,1,693,1,693,1
0_0_0_10_14_32,-24.0,42,0,12,20,597,1000,539,1,47,1,539,1,886,1
0_0_0_10_14_32,-24.0,42,0,13,21,562,1000,262,1,262,1,262,1,262,1
0_0_0_10_14_32,-24.0,42,0,14,22,478,1001,839,1,839,1,839,1,839,1
0_0_0_10_14_32,-24.0,42,0,15,23,267,1000,437,1,437,1,437,1,437,1
0_0_0_10_14_32,-24.0,42,0,16,24,917,1000,917,0,917,0,917,0,917,0
0_0_0_10_14_32,-24.0,42,0,17,25,656,1000,224,1,347,1,224,1,224,1
0_0_0_10_14_32,-24.0,42,0,18,26,889,1000,889,0,889,0,889,0,889,0
0_0_0_10_14_32,-24.0,42,0,19,27,510,1000,633,1,633,1,633,1,633,1
0_0_0_10_14_32,-24.0,42,0,20,28,860,1000,340,1,340,1,340,1,340,1
0_0_0_10_14_32,-24.0,42,0,21,29,553,1000,553,0,553,0,553,0,553,0
0_0_0_10_14_32,-24.0,42,0,22,30,629,1000,624,1,361,1,624,1,624,1
0_0_0_10_14_32,-24.0,42,0,23,31,759,1000,946,1,946,1,946,1,946,1
0_0_0_10_14_32,-24.0,42,0,24,32,874,1000,877,1,877,1,877,1,877,1
0_0_0_10_14_32,-24.0,42,0,25,33,720,1000,720,0,256,1,720,0,720,0
0_0_0_10_14_32,-24.0,42,0,26,34,314,1000,314,0,314,0,314,0,314,0
0_0_0_10_14_32,-24.0,42,0,27,35,602,1000,692,1,363,1,692,1,991,1
0_0_0_10_14_32,-24.0,42,0,28,36,7,1002,769,1,769,1,769,1,769,1
0_0_0_10_14_32,-24.0,42,0,29,37,610,1000,564,1,564,1,564,1,564,1
0_0_0_10_14_32,-24.0,42,0,30,38,826,1000,42,1,42,1,42,1,42,1
0_0_0_10_14_32,-24.0,42,0,31,39,928,1000,855,1,855,1,855,1,855,1
0_0_0_10_14_32,-24.0,42,0,32,40,761,1001,211,1,211,1,211,1,211,1
0_0_0_10_14_32,-24.0,42,0,33,41,590,1002,794,1,794,1,794,1,794,1
0_0_0_10_14_32,-24.0,42,0,34,42,936,1000,338,1,338,1,338,1,338,1
