dataset,snr_db,seed,packet_index,payload_symbol_index,scope,dimension,snapshots,diagonal_loading,diagonal_cv,mean_abs_correlation,max_abs_correlation,condition_number
0_0_0_10_14_32,-24.0,42,,,offpacket_fixed,4,1024,0.05,0.02025739634015451,0.03484465142566768,0.06327857266224615,1.222267581707553
0_0_0_10_14_32,-24.0,42,0,,packet_null,4,35011,0.05,0.006878182184676588,0.007801778365806002,0.010447231969445086,1.0431903376974652
0_0_0_10_14_32,-24.0,42,0,0,symbol_null,4,1000,0.05,0.032042157636883443,0.03384958664038877,0.05676845937901287,1.2133254304053243
0_0_0_10_14_32,-24.0,42,0,1,symbol_null,4,1000,0.05,0.012819003318449321,0.021822841168531965,0.04066996758010734,1.1200243935223493
0_0_0_10_14_32,-24.0,42,0,2,symbol_null,4,1000,0.05,0.016445315956059376,0.02834474368473897,0.05017660702828377,1.1594961017221106
0_0_0_10_14_32,-24.0,42,0,3,symbol_null,4,1001,0.05,0.021604924369058087,0.030314813467915296,0.04770958137777763,1.1723623029812533
0_0_0_10_14_32,-24.0,42,0,4,symbol_null,4,1000,0.05,0.017277977302508928,0.02966291976548509,0.056333318294085215,1.1922381977074323
0_0_0_10_14_32,-24.0,42,0,5,symbol_null,4,1000,0.05,0.01922619058425592,0.02520881963131158,0.05162799697106028,1.160566056022537
0_0_0_10_14_32,-24.0,42,0,6,symbol_null,4,1000,0.05,0.05189593203389094,0.019063013697614303,0.03291097534283986,1.1790384431940641
0_0_0_10_14_32,-24.0,42,0,7,symbol_null,4,1000,0.05,0.03726564512781771,0.034188268301256215,0.054285131410225895,1.215203316010695
0_0_0_10_14_32,-24.0,42,0,8,symbol_null,4,1000,0.05,0.041881824658398625,0.02492916098664361,0.05125916447963539,1.1868281202524074
0_0_0_10_14_32,-24.0,42,0,9,symbol_null,4,1002,0.05,0.02043642554400931,0.028051591670177883,0.03728571046473114,1.1636032595049624
0_0_0_10_14_32,-24.0,42,0,10,symbol_null,4,1002,0.05,0.02373518124064787,0.028685713649603848,0.04558092908389423,1.178556890990046
0_0_0_10_14_32,-24.0,42,0,11,symbol_null,4,1000,0.05,0.005854207156872231,0.01973843418555409,0.04514357811785708,1.1293462039465012
0_0_0_10_14_32,-24.0,42,0,12,symbol_null,4,1000,0.05,0.012274004541835573,0.028386061646185224,0.057247329256148595,1.1561284710338424
0_0_0_10_14_32,-24.0,42,0,13,symbol_null,4,1000,0.05,0.023508398943964816,0.01954155510135526,0.03583526899575682,1.128005829327483
0_0_0_10_14_32,-24.0,42,0,14,symbol_null,4,1001,0.05,0.013213428269024627,0.026716918563837257,0.05747125477518866,1.1519901215886077
0_0_0_10_14_32,-24.0,42,0,15,symbol_null,4,1000,0.05,0.013101655551208945,0.0295874007915693,0.07732362513192323,1.1973521064858614
0_0_0_10_14_32,-24.0,42,0,16,symbol_null,4,1000,0.05,0.017121998463024705,0.02406220029604787,0.04600271811698833,1.1429467744102997
0_0_0_10_14_32,-24.0,42,0,17,symbol_null,4,1000,0.05,0.014116327179060218,0.040621949836413256,0.0711574383921311,1.2350000508335877
0_0_0_10_14_32,-24.0,42,0,18,symbol_null,4,1000,0.05,0.026544405511724798,0.019769883901352665,0.027231158213606287,1.1299090468286277
0_0_0_10_14_32,-24.0,42,0,19,symbol_null,4,1000,0.05,0.017183263026413702,0.029727508489412784,0.038460359492766175,1.1664142499956425
0_0_0_10_14_32,-24.0,42,0,20,symbol_null,4,1000,0.05,0.03750092674990235,0.023138608602915455,0.03710426500594752,1.1634615450220396
0_0_0_10_14_32,-24.0,42,0,21,symbol_null,4,1000,0.05,0.022152229096454222,0.03161934213100238,0.07491802375876486,1.2054467172150072
0_0_0_10_14_32,-24.0,42,0,22,symbol_null,4,1000,0.05,0.019249547396116645,0.02021582471806738,0.03174882916045772,1.117434948649894
0_0_0_10_14_32,-24.0,42,0,23,symbol_null,4,1000,0.05,0.010627553069069475,0.02649543277472793,0.060897892960418386,1.1629790290659838
0_0_0_10_14_32,-24.0,42,0,24,symbol_null,4,1000,0.05,0.01425439042970219,0.028223003864891055,0.04628548101280083,1.1566799159925603
