raw_bin,bank_kind,pattern_count,window_count,diag_cv,mean_abs_corr,max_abs_corr,target_amp_mean,target_phase_std,effective_replicas_empirical_rcond_1e_m6,effective_replicas_empirical_rcond_1e_m3,effective_replicas_rawpower_rcond_1e_m6,effective_replicas_rawpower_rcond_1e_m3,effective_replicas_white_model,effective_replicas_shrink_0p05_rcond_1e_m3,effective_replicas_shrink_0p05_rcond_1e_m6,effective_replicas_shrink_0p2_rcond_1e_m3,effective_replicas_shrink_0p2_rcond_1e_m6,effective_replicas_shrink_0p5_rcond_1e_m3,effective_replicas_shrink_0p5_rcond_1e_m6,eig_max,rank_1em02,range_residual_1em02,rank_1em03,range_residual_1em03,rank_1em04,range_residual_1em04,rank_1em06,range_residual_1em06,dataset
61,fixed,4,512,0.30991398238613277,0.4061000498902127,0.5815204651096288,31.999999979963828,9.364740391275515e-10,2.8198974349945343,2.8198974349945343,17.370140960210634,17.370140960210634,3.999999994990957,13.172301363437041,13.172301363437041,9.070882120449719,9.070882120449719,6.062806799384825,6.062806799384825,5.659316810875258e-07,4,3.04425633145755e-16,4,3.04425633145755e-16,4,3.04425633145755e-16,4,3.04425633145755e-16,0_0_0_10_14_8
301,fixed,4,512,0.21965268035100885,0.6480519882614336,0.7991500965240176,31.999999967466444,8.135447162829454e-10,2.216003513492481,2.216003513492481,10.194251071423041,10.194251071423041,3.999999991866611,7.872456704544094,7.872456704544094,6.160458123752271,6.160458123752271,4.994740316398632,4.994740316398632,1.006859226209346e-06,4,2.9995968671545195e-16,4,2.9995968671545195e-16,4,2.9995968671545195e-16,4,2.9995968671545195e-16,0_0_0_10_14_8
653,fixed,4,512,0.351330700161796,0.26186845380395685,0.5242714993812224,31.99999997261623,7.612448847122017e-10,6.820151275124691,6.820151275124691,64.70270452231902,64.70270452231902,3.9999999931540566,32.33306996054341,32.33306996054341,14.493825703970103,14.493825703970103,7.242799944963179,7.242799944963179,2.8197106284551397e-07,4,5.789773569066807e-16,4,5.789773569066807e-16,4,5.789773569066807e-16,4,5.789773569066807e-16,0_0_0_10_14_8
900,fixed,4,512,0.47623608975145326,0.30378617707889916,0.5008340542552185,31.999999952656466,4.910069753690933e-10,4.422708426044114,4.422708426044114,24.07516492456568,24.07516492456568,3.9999999881641175,17.496249276041407,17.496249276041407,10.85366010545371,10.85366010545371,6.53061162318467,6.53061162318467,5.080376886096366e-07,4,5.955139971647146e-16,4,5.955139971647146e-16,4,5.955139971647146e-16,4,5.955139971647146e-16,0_0_0_10_14_8
61,basic_only,56,512,0.35263869995746255,0.5525997384922623,0.982490904817011,31.99999997996383,8.865435620638879e-10,3.1899123491109793,3.1899123491109793,19.729977922022524,19.729977922022524,3.999999994990957,33.26848580388612,33.26848580388612,11.733318988098125,11.733318988098125,6.328837030260574,6.328837030260574,8.118185698454842e-06,8,0.26694057083861317,8,0.26694057083861317,8,0.26694057083861317,8,0.26694057083861317,0_0_0_10_14_8
301,basic_only,56,512,0.24443476830289554,0.611366800277134,0.9700675243701167,31.999999967466444,6.520177760925932e-10,2.654131320303878,2.654131320303878,9.920647027358063,9.920647027358063,3.99999999186661,22.74278941178828,22.74278941178828,8.659027090461313,8.659027090461313,5.345750599668598,5.345750599668598,1.4161193922994372e-05,8,0.19288166048627364,8,0.19288166048627364,8,0.19288166048627364,8,0.19288166048627364,0_0_0_10_14_8
653,basic_only,56,512,0.6511496159617415,0.42331441022085936,0.9358786310413475,31.999999972616227,9.516516940327722e-10,7.224048274782379,7.224048274782379,50.452328233865,50.452328233865,3.9999999931540553,53.72551454899692,53.72551454899692,16.18029918518005,16.18029918518005,7.366185478990162,7.366185478990162,5.426257467073011e-06,8,0.3735032704193679,8,0.3735032704193679,8,0.3735032704193679,8,0.3735032704193679,0_0_0_10_14_8
900,basic_only,56,512,1.972606757031625,0.4476236011003603,0.9659013670316121,31.99999995265647,4.5924346356638597e-10,8.13008076894762,8.13008076894762,23.055089147867548,23.055089147867548,3.999999988164116,33.85354535858672,33.85354535858672,12.648851033734978,12.648851033734978,6.710735778117395,6.710735778117395,1.9781097598045377e-05,8,0.2047472853369569,8,0.2047472853369569,8,0.2047472853369569,8,0.2047472853369569,0_0_0_10_14_8
61,random_only,64,512,0.37281169396408775,0.3663212995891901,0.8388833390167842,31.999999978543286,6.217313342913764e-10,4.5965359000803625,4.5965359000803625,12.186991638325937,12.186991638325937,3.822458047721892,62.79760090158722,62.79760090158722,16.155976854284756,16.155976854284756,6.8423955252480315,6.8423955252480315,1.1721406821727973e-05,8,0.4052900652952286,8,0.4052900652952286,8,0.4052900652952286,8,0.4052900652952286,0_0_0_10_14_8
301,random_only,64,512,0.29928363913883127,0.41629323331437584,0.9062366612663503,31.999999964388152,7.781085161624811e-10,3.463585501988714,3.463585501988714,7.910665934543034,7.910665934543034,3.8224580443739296,50.0062737863522,50.0062737863522,13.423349901731685,13.423349901731685,6.136764274842582,6.136764274842582,1.60892130893781e-05,8,0.2692257912661321,8,0.2692257912661321,8,0.2692257912661321,8,0.2692257912661321,0_0_0_10_14_8
