packet_index,event_index,anchor_symbol_index,absolute_symbol_index,anchor_bin_mode,anchor_bin,anchor_signed_bin,argmax_bin,argmax_signed_bin,is_anchor_bin_argmax,anchor_real,anchor_imag,anchor_amp,anchor_power,anchor_phase,anchor_energy_ratio,peak_margin_db,total_fft_energy,anchor_phase_unwrap,phase_line_fit,phase_line_residual,file_name,sf,bw,samp_rate,cfo_int,cfo_frac,sfo_hat,anchor_line_slope_pi_per_symbol,anchor_line_r2
1,1,0,0.0,modal_argmax,1,1,1,1,1,2.7393391132354736,6.931683540344238,7.453335862604137,55.552215576171875,1.194442481216131,0.8079833096285041,19.946455450794936,68.75416226322022,1.194442481216131,0.618377110382738,0.5760653708333929,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.8134913150485834,0.9897092819269874
1,1,1,1.0,modal_argmax,1,1,1,1,1,0.5814474821090698,-7.495916366577148,7.518433570177376,56.5268440246582,-1.493382775376472,0.8176986969266234,20.456567372836048,69.12918442589944,-1.493382775376472,-1.9372812287329915,0.44389845335651956,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.8134913150485834,0.9897092819269874
1,1,2,2.0,modal_argmax,1,1,1,1,1,-3.5264055728912354,6.2149977684021,7.145749332698527,51.061729431152344,2.0869021758222797,0.7634937310477862,22.034017479986527,66.87904216459958,-4.196283131357307,-4.492939567848721,0.29665643649141415,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.8134913150485834,0.9897092819269874
1,1,3,3.0,modal_argmax,1,1,1,1,1,5.8134894371032715,-3.7481727600097656,6.917041164702617,47.845455169677734,-0.5726666182710808,0.7114135399220045,21.30790372990726,67.25406881477579,-6.855851925450667,-7.04859790696445,0.19274598151378353,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.8134913150485834,0.9897092819269874
1,1,4,4.0,modal_argmax,1,1,1,1,1,-7.179600238800049,0.5525951981544495,7.200834746194435,51.852012634277344,3.064776695306977,0.7688434534590185,17.913421031858864,67.44157396540959,-9.501593919052196,-9.60425624608018,0.10266232702798384,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.8134913150485834,0.9897092819269874
1,1,5,5.0,modal_argmax,1,1,1,1,1,6.969734191894531,2.679877281188965,7.467190699848,55.75893783569336,0.36707512498600287,0.813207807222691,20.580513089717385,68.56665337009508,-12.199295489373169,-12.15991458519591,-0.03938090417725882,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.8134913150485834,0.9897092819269874
1,1,6,6.0,modal_argmax,1,1,1,1,1,-5.098273277282715,-5.444964408874512,7.459224344646379,55.6400260925293,-2.3233235385562687,0.8070594226223278,19.785294648097743,68.94167211596593,-14.88969415291544,-14.715572924311639,-0.17412122860380208,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.8134913150485834,0.9897092819269874
1,1,7,7.0,modal_argmax,1,1,1,1,1,1.910334587097168,7.2509074211120605,7.498335592929784,56.225040435791016,1.3131887375605173,0.8185133301885684,22.329027652617647,68.69166128649113,-17.536367183978243,-17.271231263427367,-0.2651359205508754,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.8134913150485834,0.9897092819269874
1,1,8,8.0,modal_argmax,1,1,1,1,1,1.4683380126953125,-7.3712897300720215,7.516111282052128,56.49193572998047,-1.3741731042047178,0.8164554055244626,21.064129661882053,69.1916978535919,-20.223729025743477,-19.826889602543098,-0.39683942320037957,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.8134913150485834,0.9897092819269874
1,1,9,9.0,modal_argmax,1,1,1,1,1,-4.461183547973633,5.883834362030029,7.383878753644045,54.521663665771484,2.219531324021884,0.8046991152186143,20.283692930931892,67.75409918396576,-22.913209904696462,-22.382547941658828,-0.5306619630376339,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,10,125000.0,500000.0,-24,-0.42916033761813344,-0.006261318519996445,-0.8134913150485834,0.9897092819269874
