dataset,target_snr_db,packet_count,traditional_fft_symbol_ser,traditional_fft_symbol_accuracy,traditional_fft_crc_valid_rate,multi_offset_argmax_symbol_ser,multi_offset_argmax_symbol_accuracy,multi_offset_argmax_crc_valid_rate,current_selected_symbol_ser,current_selected_symbol_accuracy,current_selected_crc_valid_rate,savaux_paper_symbol_ser,savaux_paper_symbol_accuracy,savaux_paper_crc_valid_rate,savaux_codec_symbol_ser,savaux_codec_symbol_accuracy,savaux_codec_crc_valid_rate,savaux_gain_vs_current,savaux_codec_gain_vs_current,savaux_codec_gain_vs_savaux,savaux_codec_crc_gain_vs_current,savaux_codec_crc_gain_vs_savaux,savaux_codec_success_rate,savaux_codec_argmax_fallback_rate,savaux_codec_mean_topk_recall,savaux_codec_mean_gt_rank,savaux_codec_mean_symbol_change_count,savaux_codec_mean_symbol_fix_count,savaux_codec_mean_symbol_break_count
0_0_0_10_14_8,-22.0,10,0.6228571428571428,0.3771428571428572,0.0,0.21142857142857144,0.7885714285714286,0.2,0.08285714285714287,0.9171428571428571,0.4,0.019999999999999997,0.98,0.6,0.005714285714285714,0.9942857142857143,1.0,0.06285714285714286,0.07714285714285715,0.014285714285714284,0.6,0.4,1.0,0.6,0.4,0.42857142857142855,0.8,0.6,0.1
0_0_0_10_14_8,-23.0,10,0.7485714285714286,0.25142857142857145,0.0,0.33999999999999997,0.66,0.0,0.15999999999999998,0.8400000000000001,0.3,0.05142857142857142,0.9485714285714286,0.5,0.02857142857142857,0.9714285714285714,0.8,0.10857142857142855,0.1314285714285714,0.02285714285714285,0.5,0.30000000000000004,1.0,0.7,0.5,0.7485714285714286,1.2,1.0,0.2
0_0_0_10_14_8,-24.0,10,0.8200000000000001,0.17999999999999994,0.0,0.48285714285714293,0.5171428571428571,0.0,0.2942857142857143,0.7057142857142857,0.0,0.13999999999999999,0.86,0.3,0.13142857142857142,0.8685714285714285,0.5,0.15428571428571433,0.1628571428571429,0.008571428571428563,0.5,0.2,1.0,0.8,0.6942857142857143,1.94,0.3,0.3,0.0
0_0_0_10_14_8,-25.0,10,0.8885714285714286,0.11142857142857143,0.0,0.6199999999999999,0.3800000000000001,0.0,0.4428571428571429,0.5571428571428572,0.0,0.2828571428571428,0.7171428571428572,0.1,0.2571428571428571,0.7428571428571429,0.4,0.1600000000000001,0.18571428571428578,0.02571428571428569,0.4,0.30000000000000004,1.0,0.7,0.8857142857142858,4.797142857142857,0.9,0.9,0.0
0_0_0_10_14_8,-26.0,10,0.917142857142857,0.08285714285714296,0.0,0.7371428571428571,0.2628571428571429,0.0,0.5771428571428572,0.4228571428571428,0.0,0.3857142857142857,0.6142857142857143,0.0,0.3628571428571428,0.6371428571428572,0.2,0.1914285714285715,0.21428571428571436,0.022857142857142854,0.2,0.2,1.0,0.8,0.96,11.108571428571427,0.8,0.8,0.0
0_0_0_10_14_16,-22.0,11,0.6805194805194805,0.3194805194805195,0.0,0.1688311688311688,0.8311688311688312,0.18181818181818182,0.051948051948051945,0.948051948051948,0.36363636363636365,0.025974025974025972,0.974025974025974,0.6363636363636364,0.0,1.0,1.0,0.025974025974025972,0.051948051948051945,0.025974025974025972,0.6363636363636364,0.36363636363636365,1.0,0.6363636363636364,0.36363636363636365,0.41038961038961036,0.9090909090909091,0.9090909090909091,0.0
0_0_0_10_14_16,-23.0,11,0.8181818181818182,0.18181818181818177,0.0,0.3376623376623376,0.6623376623376624,0.0,0.14025974025974025,0.8597402597402597,0.18181818181818182,0.05974025974025974,0.9402597402597402,0.18181818181818182,0.03636363636363637,0.9636363636363636,0.8181818181818182,0.08051948051948052,0.10389610389610388,0.02337662337662337,0.6363636363636365,0.6363636363636365,1.0,0.36363636363636365,0.8181818181818182,1.064935064935065,1.7272727272727273,1.1818181818181819,0.36363636363636365
0_0_0_10_14_16,-24.0,11,0.890909090909091,0.10909090909090902,0.0,0.509090909090909,0.49090909090909096,0.0,0.2727272727272727,0.7272727272727273,0.09090909090909091,0.11688311688311687,0.8831168831168832,0.18181818181818182,0.0935064935064935,0.9064935064935065,0.5454545454545454,0.15584415584415584,0.17922077922077922,0.02337662337662337,0.4545454545454545,0.3636363636363636,1.0,0.6363636363636364,0.8181818181818182,2.1246753246753247,1.1818181818181819,1.0,0.18181818181818182
0_0_0_10_14_16,-25.0,11,0.9142857142857145,0.08571428571428552,0.0,0.6493506493506493,0.35064935064935066,0.0,0.4597402597402597,0.5402597402597402,0.0,0.24935064935064932,0.7506493506493507,0.0,0.21298701298701295,0.787012987012987,0.36363636363636365,0.2103896103896104,0.24675324675324678,0.036363636363636376,0.36363636363636365,0.36363636363636365,1.0,0.6363636363636364,0.9714285714285714,6.015584415584416,1.2727272727272727,1.2727272727272727,0.0
0_0_0_10_14_16,-26.0,11,0.9454545454545454,0.054545454545454564,0.0,0.7610389610389611,0.23896103896103893,0.0,0.5922077922077922,0.4077922077922078,0.0,0.4,0.6,0.0,0.3922077922077923,0.6077922077922078,0.09090909090909091,0.19220779220779216,0.1999999999999999,0.007792207792207739,0.09090909090909091,0.09090909090909091,1.0,0.9090909090909091,0.9480519480519479,13.799999999999999,0.2727272727272727,0.2727272727272727,0.0
0_0_0_10_14_32,-22.0,7,0.6367346938775509,0.3632653061224491,0.0,0.22040816326530607,0.7795918367346939,0.0,0.17551020408163262,0.8244897959183674,0.2857142857142857,0.14285714285714285,0.8571428571428572,0.7142857142857143,0.1346938775510204,0.8653061224489795,0.8571428571428571,0.03265306122448977,0.04081632653061221,0.008163265306122436,0.5714285714285714,0.1428571428571428,1.0,0.8571428571428571,0.2122448979591837,23.689795918367345,0.2857142857142857,0.2857142857142857,0.0
0_0_0_10_14_32,-23.0,7,0.7714285714285714,0.22857142857142865,0.0,0.3755102040816326,0.6244897959183674,0.0,0.24081632653061222,0.7591836734693878,0.0,0.17959183673469387,0.8204081632653062,0.42857142857142855,0.16326530612244897,0.8367346938775511,0.8571428571428571,0.06122448979591835,0.07755102040816325,0.0163265306122449,0.8571428571428571,0.42857142857142855,1.0,0.5714285714285714,0.4857142857142857,31.951020408163263,1.0,0.7142857142857143,0.14285714285714285
0_0_0_10_14_32,-24.0,7,0.8693877551020408,0.1306122448979592,0.0,0.5306122448979591,0.4693877551020409,0.0,0.3836734693877551,0.616326530612245,0.0,0.21632653061224486,0.7836734693877552,0.2857142857142857,0.19591836734693874,0.8040816326530613,0.5714285714285714,0.16734693877551024,0.18775510204081636,0.020408163265306117,0.5714285714285714,0.2857142857142857,1.0,0.7142857142857143,0.6163265306122448,40.70204081632653,0.8571428571428571,0.7142857142857143,0.0
0_0_0_10_14_32,-25.0,7,0.9061224489795917,0.09387755102040829,0.0,0.6734693877551019,0.3265306122448981,0.0,0.5061224489795918,0.4938775510204082,0.0,0.2979591836734694,0.7020408163265306,0.0,0.26122448979591834,0.7387755102040816,0.2857142857142857,0.2081632653061224,0.24489795918367346,0.03673469387755107,0.2857142857142857,0.2857142857142857,1.0,0.7142857142857143,0.8857142857142858,51.08163265306123,1.2857142857142858,1.2857142857142858,0.0
