file_name,lab_name,experiment_id,corridor_id,position_id,tx_power_dbm,filename_sf,filename_tx_power_dbm,filename_preamble_len,header_packet_counter,packet_avg_power_db,preamble_peak_to_residual_db,preamble_peak_width_3db_bins_avg,preamble_peak_mag_bin_-8,preamble_peak_mag_bin_-7,preamble_peak_mag_bin_-6,preamble_peak_mag_bin_-5,preamble_peak_mag_bin_-4,preamble_peak_mag_bin_-3,preamble_peak_mag_bin_-2,preamble_peak_mag_bin_-1,preamble_peak_mag_bin_+0,preamble_peak_mag_bin_+1,preamble_peak_mag_bin_+2,preamble_peak_mag_bin_+3,preamble_peak_mag_bin_+4,preamble_peak_mag_bin_+5,preamble_peak_mag_bin_+6,preamble_peak_mag_bin_+7,preamble_peak_mag_bin_+8
1_0_10_12_2_16.bin,lab1-sf12_TP2,1,0,10,2,12,2,16,,-19.2225885,5.27096987,0.84226197,0.0521060191,0.0255094022,0.0652987212,0.0423546359,0.0921934918,0.0854996666,0.180446237,0.371833652,1,0.213766053,0.121123999,0.0841764882,0.064785853,0.0525453091,0.0441853441,0.0382079035,0.0336016826
1_0_10_12_2_16.bin,lab1-sf12_TP2,1,0,10,2,12,2,16,,-18.8712553,7.48960781,0.756475985,0.0433927476,0.0169874467,0.0541660115,0.0308222827,0.0745482892,0.0623144843,0.141701415,0.270314306,1,0.175236404,0.097183466,0.0681776255,0.0523942523,0.0419863462,0.0347484052,0.0303339791,0.0268650316
1_0_10_12_2_16.bin,lab1-sf12_TP2,1,0,10,2,12,2,16,,-19.277764,9.964818,0.700603843,0.035675671,0.0101738991,0.0441641025,0.0194652714,0.0592007078,0.0436437428,0.10838297,0.187555209,1,0.139065817,0.0757502764,0.0522014871,0.0403898992,0.0328082629,0.0268400107,0.0234298185,0.0208079796
1_0_10_12_2_16.bin,lab1-sf12_TP2,1,0,10,2,12,2,16,,-19.0224527,14.308754,0.641581655,0.0268106703,0.0043887361,0.0313774496,0.00654016761,0.0403902866,0.0187690519,0.066934146,0.0940880999,1,0.0826224163,0.0443275683,0.030352341,0.0228704736,0.0185348708,0.0151649034,0.0131717585,0.0114108799
1_0_10_12_2_16.bin,lab1-sf12_TP2,1,0,10,2,12,2,16,,-18.7908103,14.4418583,0.646485388,0.00509782741,0.0255089533,0.0049260878,0.0309099052,0.0085340552,0.0423994437,0.0247611515,0.0906635448,1,0.100494184,0.0459937043,0.0287511349,0.0209734589,0.0175213981,0.0148579814,0.0127420751,0.0110291848
1_0_10_12_2_16.bin,lab1-sf12_TP2,1,0,10,2,12,2,16,,-19.5042538,10.0144901,0.709210217,0.0055864146,0.0363575928,0.010646808,0.0453364067,0.0219650939,0.0652317852,0.0565444455,0.153074145,1,0.19537051,0.0870609283,0.0563762784,0.0418045409,0.0331360884,0.0275387932,0.023622252,0.0207484942
1_0_10_12_2_16.bin,lab1-sf12_TP2,1,0,10,2,12,2,16,,-20.6158509,10.0126953,0.707333028,0.00537844701,0.0359961614,0.0100659179,0.0448906794,0.0216154214,0.0647799298,0.0564317442,0.152490526,1,0.192484364,0.0860881135,0.0559824184,0.04117544,0.0328539684,0.0273211356,0.0234238449,0.0202768911
1_0_10_12_2_16.bin,lab1-sf12_TP2,1,0,10,2,12,2,16,,-20.4212101,8.40967941,0.741192281,0.00841828249,0.0406001471,0.0148606719,0.0518424734,0.0293504149,0.0755539462,0.0702559799,0.176693961,1,0.241208985,0.10559421,0.0678033307,0.0507477112,0.0397613049,0.0334728695,0.0288624559,0.0251261108
1_0_10_12_2_16.bin,lab1-sf12_TP2,1,0,10,2,12,2,16,,-20.7358251,18.7697716,0.601719022,0.0149451764,0.0136447158,0.0157221388,0.014010286,0.0165400673,0.0156983379,0.0178502947,0.0305046756,1,0.0274512973,0.0136346882,0.00931519363,0.00689410465,0.00544858072,0.00468898378,0.00416433904,0.00347424857
1_0_10_12_2_16.bin,lab1-sf12_TP2,1,0,10,2,12,2,16,,-17.837641,18.9234295,0.601342082,0.0155865867,0.0125864716,0.0167010427,0.0127456365,0.0180933215,0.0143462336,0.0212780535,0.0302022435,1,0.0264878944,0.0135409124,0.00917344913,0.00681958394,0.00548279984,0.00462497771,0.00389084616,0.00361742824
1_0_10_12_2_16.bin,lab1-sf12_TP2,1,0,10,2,12,2,16,,-21.1472133,13.6659355,0.647452593,0.0279165301,0.00431566313,0.0330315717,0.00825302862,0.0422219597,0.0217439327,0.0725248605,0.101677962,1,0.0915625542,0.0479470938,0.0328855664,0.0249863677,0.0205305833,0.0164523888,0.0144838421,0.0125936745
