rank,preamble_start_sample,sfd_start_sample,data_start_sample,score,preamble_score,sfd_score,sync_word_bonus,preamble_ref_bin,preamble_stable_count,sync1_bin,sync2_bin,sync1_distance,sync2_distance,sfd1_bin,sfd2_bin,sfd_bin_distance,mean_preamble_confidence_db,mean_sfd_confidence_db,coarse_cfo_bins,hard_grlora_pattern_valid
1,14785,154049,163265,308.05519260891185,254.80471236726683,43.250480241645015,10.0,4070,32,4094,6,0,0,4070,4070,0,18.486414973453037,2.5613315595771735,-26.0,True
2,18881,158145,167361,292.4339456490986,252.52559593352984,38.06895201315181,1.8393977024169272,4070,31,6,135,8,129,4070,4070,0,18.593306125091054,1.5735196984146274,-26.0,False
3,10689,149953,159169,255.11405228164278,246.6470138079069,6.378705926039376,2.0883325476965315,4070,31,4070,4094,24,8,215,4070,241,17.886780749495152,1.2367626062836548,34.25,False
4,22977,162241,171457,249.12286200980984,248.649958949103,0.4729028780327326,1.8267411068605387e-07,4070,30,135,402,137,396,4070,383,409,18.501243219887353,0.06409414779816132,76.25,False
5,27077,166341,175557,243.02426074619504,241.50893155773008,1.5043917328740342,0.010937455590914425,4071,29,403,56,404,49,382,3740,738,18.02521326116397,0.35366894359163087,-6.0,False
