frame_index,packet_index,event_index,copy_index,transmission_index,stage,frame_symbol_index,stage_symbol_index,start_sample,raw_frame_start_sample,raw_data_start_sample,soft_frame_start_sample,soft_data_start_sample,boundary_refinement_source,sf,bw,os_factor,cfo_int,cfo_frac,sto_frac,sfo_hat,sfo_cum_before,sfo_sample_adjust_after,raw_fft_bin,symbol_value,peak_margin_db,header_valid,payload_len,payload_cr,payload_has_crc,payload_ldro,relative_delay_samples,relative_cfo_hz,relative_phase_rad,xcopy_alignment_score,soft_boundary_score,soft_boundary_rank,soft_hard_pattern_valid,raw_fft_bin_uncorrected,cfo_int_uncorrected,bin_offset_correction,header_consensus_expected_matches,header_consensus_valid_count
0,0,20,0,20,header,0,0,30383539,30235170,30383539,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.18153032449276907,0.0,-0.006983045116502896,-0.10197479564441858,0,337,84,7.426734434394553,1,33,3,1,0,-11,-7.753723395377554,-1.1881554854942211,47.31656827231164,308.05519260891185,1,1,337,-27,0,11,11
0,0,20,0,20,header,1,1,30387635,30235170,30383539,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.18153032449276907,0.0,-0.006983045116502896,-0.10895784076092148,0,689,172,8.815864844779112,1,33,3,1,0,-11,-7.753723395377554,-1.1881554854942211,47.31656827231164,308.05519260891185,1,1,689,-27,0,11,11
0,0,20,0,20,header,2,2,30391731,30235170,30383539,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.18153032449276907,0.0,-0.006983045116502896,-0.11594088587742438,0,57,14,8.223278891195623,1,33,3,1,0,-11,-7.753723395377554,-1.1881554854942211,47.31656827231164,308.05519260891185,1,1,57,-27,0,11,11
0,0,20,0,20,header,3,3,30395827,30235170,30383539,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.18153032449276907,0.0,-0.006983045116502896,-0.12292393099392727,0,81,20,6.09168786569691,1,33,3,1,0,-11,-7.753723395377554,-1.1881554854942211,47.31656827231164,308.05519260891185,1,1,81,-27,0,11,11
0,0,20,0,20,header,4,4,30399923,30235170,30383539,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.18153032449276907,0.0,-0.006983045116502896,-0.12990697611043017,1,689,172,2.557994321485748,1,33,3,1,0,-11,-7.753723395377554,-1.1881554854942211,47.31656827231164,308.05519260891185,1,1,689,-27,0,11,11
0,0,20,0,20,header,5,5,30404020,30235170,30383539,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.18153032449276907,0.0,-0.006983045116502896,0.11310997877306693,0,777,194,0.7233253913846677,1,33,3,1,0,-11,-7.753723395377554,-1.1881554854942211,47.31656827231164,308.05519260891185,1,1,777,-27,0,11,11
0,0,20,0,20,header,6,6,30408116,30235170,30383539,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.18153032449276907,0.0,-0.006983045116502896,0.10612693365656403,0,729,182,7.301361059414484,1,33,3,1,0,-11,-7.753723395377554,-1.1881554854942211,47.31656827231164,308.05519260891185,1,1,729,-27,0,11,11
0,0,20,0,20,header,7,7,30412212,30235170,30383539,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.18153032449276907,0.0,-0.006983045116502896,0.09914388854006113,0,409,102,7.087584839556063,1,33,3,1,0,-11,-7.753723395377554,-1.1881554854942211,47.31656827231164,308.05519260891185,1,1,409,-27,0,11,11
0,0,20,0,20,payload,8,0,30416308,30235170,30383539,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.18153032449276907,0.0,-0.006983045116502896,0.09216084342355824,0,803,802,7.495799026649564,1,33,3,1,0,-11,-7.753723395377554,-1.1881554854942211,47.31656827231164,308.05519260891185,1,1,803,-27,0,11,11
0,0,20,0,20,payload,9,1,30420404,30235170,30383539,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.18153032449276907,0.0,-0.006983045116502896,0.08517779830705534,0,711,710,7.109331576667909,1,33,3,1,0,-11,-7.753723395377554,-1.1881554854942211,47.31656827231164,308.05519260891185,1,1,711,-27,0,11,11
0,0,20,0,20,payload,10,2,30424500,30235170,30383539,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.18153032449276907,0.0,-0.006983045116502896,0.07819475319055244,0,922,921,8.306689946963143,1,33,3,1,0,-11,-7.753723395377554,-1.1881554854942211,47.31656827231164,308.05519260891185,1,1,922,-27,0,11,11
0,0,20,0,20,payload,11,3,30428596,30235170,30383539,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.18153032449276907,0.0,-0.006983045116502896,0.07121170807404954,0,718,717,7.557763367421398,1,33,3,1,0,-11,-7.753723395377554,-1.1881554854942211,47.31656827231164,308.05519260891185,1,1,718,-27,0,11,11
0,0,20,0,20,payload,12,4,30432692,30235170,30383539,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.18153032449276907,0.0,-0.006983045116502896,0.06422866295754665,0,756,755,7.737500091740282,1,33,3,1,0,-11,-7.753723395377554,-1.1881554854942211,47.31656827231164,308.05519260891185,1,1,756,-27,0,11,11
0,0,20,0,20,payload,13,5,30436788,30235170,30383539,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.18153032449276907,0.0,-0.006983045116502896,0.05724561784104375,0,109,108,9.417513476133992,1,33,3,1,0,-11,-7.753723395377554,-1.1881554854942211,47.31656827231164,308.05519260891185,1,1,109,-27,0,11,11
0,0,20,0,20,payload,14,6,30440884,30235170,30383539,30235066,30383546,grlora_estimate_without_gate,10,125000.0,4,-27,-0.18153032449276907,0.0,-0.006983045116502896,0.05026257272454085,0,932,931,7.908564971964342,1,33,3,1,0,-11,-7.753723395377554,-1.1881554854942211,47.31656827231164,308.05519260891185,1,1,932,-27,0,11,11
