dataset,scenario,snr_db,seed,symbol_count,savaux_errors,robust_errors,savaux_ser,robust_ser,net_fixed_errors,fixes,breaks,gate_count,change_count,gate_rate,change_rate,gt_top_k_rate,mean_outlier_fraction,mean_savaux_seconds,mean_robust_overhead_seconds
0_0_0_10_14_16,awgn_sparse_random,-18.0,all,1155,46,5,0.03982683982683983,0.004329004329004329,41,41,0,1155,42,1.0,0.03636363636363636,0.9982683982683983,0.03639132677218615,0.0018885709956796774,0.007309851861471354
0_0_0_10_14_16,awgn_sparse_random,-18.0,1101,385,19,2,0.04935064935064935,0.005194805194805195,17,17,0,385,18,1.0,0.046753246753246755,0.9948051948051948,0.03631671063311688,0.001872007272714808,0.007086992987014683
0_0_0_10_14_16,awgn_sparse_random,-18.0,1202,385,14,1,0.03636363636363636,0.0025974025974025974,13,13,0,385,13,1.0,0.033766233766233764,1.0,0.03637124594155844,0.001903442597415358,0.007431030129864903
0_0_0_10_14_16,awgn_sparse_random,-18.0,1303,385,13,2,0.033766233766233764,0.005194805194805195,11,11,0,385,11,1.0,0.02857142857142857,1.0,0.03648602374188312,0.001890263116908866,0.007411532467534477
0_0_0_10_14_32,awgn_sparse_random,-18.0,all,735,102,90,0.13877551020408163,0.12244897959183673,12,12,0,735,23,1.0,0.031292517006802724,0.8979591836734694,0.036418141475340136,0.001906405034005853,0.007210359319714724
0_0_0_10_14_32,awgn_sparse_random,-18.0,1101,245,33,28,0.1346938775510204,0.11428571428571428,5,5,0,245,7,1.0,0.02857142857142857,0.9020408163265307,0.03637097417091837,0.0018801632652922513,0.00704658816326368
0_0_0_10_14_32,awgn_sparse_random,-18.0,1202,245,33,31,0.1346938775510204,0.12653061224489795,2,2,0,245,9,1.0,0.036734693877551024,0.889795918367347,0.036468630420918365,0.001940002040802418,0.007329602040831838
0_0_0_10_14_32,awgn_sparse_random,-18.0,1303,245,36,31,0.1469387755102041,0.12653061224489795,5,5,0,245,7,1.0,0.02857142857142857,0.9020408163265307,0.036414819834183675,0.0018990497959228898,0.007254887755048653
0_0_0_10_14_8,awgn_sparse_random,-18.0,all,1050,70,13,0.06666666666666667,0.012380952380952381,57,57,0,1050,58,1.0,0.05523809523809524,0.9904761904761905,0.03648530505952381,0.002086903809530278,0.008183826380951532
0_0_0_10_14_8,awgn_sparse_random,-18.0,1101,350,15,4,0.04285714285714286,0.011428571428571429,11,11,0,350,11,1.0,0.03142857142857143,0.9885714285714285,0.036492745535714285,0.0023359711428643745,0.008527919714306336
0_0_0_10_14_8,awgn_sparse_random,-18.0,1202,350,26,6,0.07428571428571429,0.017142857142857144,20,20,0,350,21,1.0,0.06,0.9885714285714285,0.03649972098214286,0.001977183142888472,0.008309339714290088
0_0_0_10_14_8,awgn_sparse_random,-18.0,1303,350,29,3,0.08285714285714285,0.008571428571428572,26,26,0,350,26,1.0,0.07428571428571429,0.9942857142857143,0.036463448660714284,0.0019475571428379875,0.007714219714258174
