dataset,snr_label,added_snr_db,decision_count,trial_seed_count,savaux_errors,savaux_ser,white_ml_errors,white_ml_ser,white_ml_decision_mismatches_vs_savaux,colored_ml_errors,colored_ml_ser,colored_ml_fixes_vs_savaux,colored_ml_breaks_vs_savaux,colored_ml_paired_sign_p,seed_wins_ties_losses,seed_level_sign_p,packet_wins_ties_losses,packet_level_sign_p,savaux_gt_lambda_mean,savaux_gt_lambda_median,colored_ml_gt_lambda_mean,colored_ml_gt_lambda_median,savaux_gt_false_margin_db_mean,savaux_gt_false_margin_db_median,colored_ml_gt_false_margin_db_mean,colored_ml_gt_false_margin_db_median,colored_minus_savaux_margin_db_mean,colored_minus_savaux_margin_db_median,colored_margin_improved_tied_worse,model_gt_full_to_savaux_snr_gain_db_mean,model_gt_full_to_savaux_snr_gain_db_median
ALL,-3,-3.0,7840,20,104,0.013265306122448979,104,0.013265306122448979,0,104,0.013265306122448979,6,6,1.0,4|11|5,1.0,3|3|2,1.0,27.07881748273889,26.162341669069377,27.3444206336494,26.404220496956636,5.2758307811403435,5.464520370520964,5.318328947137545,5.526023222963778,0.04249816599720033,0.04063353054657792,4550|0|3290,0.029673641349789018,0.02983229252775079
ALL,-6,-6.0,7840,20,635,0.08099489795918367,635,0.08099489795918367,0,617,0.07869897959183673,39,21,0.027340133868077935,11|4|5,0.210113525390625,6|1|1,0.125,16.83014604600766,16.216917325520285,16.91613307819323,16.279030303846667,3.1298430096984196,3.36983773935442,3.1529854631937773,3.3927880464167006,0.02314245349535762,0.024119097978169565,4427|0|3413,0.012278582992147184,0.012338681299467587
ALL,-9,-9.0,7840,20,2737,0.34910714285714284,2737,0.34910714285714284,0,2741,0.3496173469387755,36,40,0.7310088822226052,8|2|10,0.8145294189453125,3|0|5,0.7265625,9.928443796772669,9.330642236890538,9.94959875124007,9.336319931438627,0.6432217422455032,0.9302013980305033,0.6549514374858278,0.9385858110165273,0.011729695240324758,0.011062718813029504,4288|0|3552,0.004225309218440287,0.004244542519688361
ALL,-12,-12.0,7840,20,5673,0.7235969387755102,5673,0.7235969387755102,0,5674,0.7237244897959184,19,20,1.0,6|7|7,1.0,3|3|2,1.0,5.763274254518533,5.174129907565973,5.768634587068209,5.191735332074046,-2.0514668842038493,-1.610216654451429,-2.0468831540346737,-1.5971855485942696,0.0045837301691755575,0.0035969832454380013,4101|0|3739,0.001273956949884644,0.0012794784928031424
ALL,clean,,392,1,1,0.002551020408163265,1,0.002551020408163265,0,1,0.002551020408163265,0,0,1.0,0|1|0,1.0,0|8|0,1.0,74.35732151744638,72.71481811794587,77.48196365000317,74.78262476835272,9.8021495170529,10.409955253748084,9.889007805886191,10.52366911147219,0.08685828883329058,0.12637265905028805,239|0|153,0.1663229033094542,0.16749193653788452
