dataset,packet_index,frame_index,payload_symbol_index,frame_symbol_index,start_sample,gt_bin,snr_label,added_snr_db,seed,added_awgn_power,savaux_bin,savaux_correct,savaux_margin_db,savaux_gt_lambda,savaux_max_false_lambda,savaux_gt_false_margin_db,white_ml_bin,white_ml_matches_savaux,colored_ml_bin,colored_ml_correct,colored_ml_margin_db,colored_ml_gt_lambda,colored_ml_max_false_lambda,colored_ml_gt_false_margin_db,colored_minus_savaux_gt_lambda,colored_minus_savaux_gt_false_margin_db,model_gt_full_information,model_gt_savaux_information,model_gt_full_to_savaux_snr_gain_db,colored_ml_fix_vs_savaux,colored_ml_break_vs_savaux,covariance_model
collector_low4_train_low1,7,0,10,18,30457270,865,clean,,0,0.0,865,1,8.62135262118551,90.02875678902252,12.323703932082589,8.636399968298095,865,1,865,1,8.7251450526739,97.86663027853044,13.125629155802942,8.7251450526739,7.837873489507913,0.0887450843758053,18665382223.651825,17958457406.58166,0.16767858736988084,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,11,19,30461366,92,clean,,0,0.0,92,1,11.90750712839056,100.9485978592946,6.52436403229703,11.895621062584043,92,1,92,1,12.869333764985624,102.64800241877255,5.301724127615138,12.869333764985624,1.699404559477955,0.9737127024015813,18624808318.32064,17926346393.225136,0.16600027698234565,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,12,20,30465462,645,clean,,0,0.0,645,1,10.341853400265741,80.8880798569843,7.4529249753223015,10.355577767013003,645,1,645,1,11.145228135242801,84.87697018040657,6.520292142822039,11.145228135242801,3.988890323422268,0.7896503682297986,18718980246.294464,18004603977.883266,0.16898612746756536,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,13,21,30469558,426,clean,,0,0.0,426,1,11.201872095777896,88.45213447558532,6.714788658722517,11.19675969280564,426,1,426,1,11.695640049858035,92.60252228318382,6.266987248768775,11.695640049858035,4.1503878075984915,0.49888035705239453,18687027548.779724,17982419211.322865,0.16692107994620176,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,14,22,30473654,765,clean,,0,0.0,765,1,12.549701460013774,100.35080541785591,5.57000429816827,12.556653321919216,765,1,765,1,12.952210469343674,102.38937728700938,5.188404827835229,12.952210469343674,2.038571869153472,0.3955571474244586,18660649981.649517,17954692326.29174,0.16748799472314307,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,15,23,30477750,1023,clean,,0,0.0,1023,1,13.69456872099881,123.98538074591988,5.304633343563223,13.687151092104115,1023,1,1023,1,13.530068943593779,127.14913384575905,5.640355943726977,13.530068943593779,3.1637530998391696,-0.15708214851033553,18610257395.672287,17915240527.69781,0.16529736511287893,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,16,24,30481846,597,clean,,0,0.0,597,1,11.189680126081418,97.81579703179604,7.427700996985605,11.195545851943479,597,1,597,1,12.334616263592839,102.63880826082168,5.995839162452779,12.334616263592839,4.823011229025639,1.1390704116493602,18693183532.498608,17983158788.897472,0.16817290904180476,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,17,25,30485942,562,clean,,0,0.0,562,1,12.697191914217147,99.13173587087158,5.275861777834941,12.7391930211268,562,1,562,1,12.65747770313427,103.66013311835472,5.621652442089037,12.65747770313427,4.5283972474831415,-0.08171531799253096,18794625341.235645,18093709629.064964,0.16506056350273388,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,18,26,30490038,827,clean,,0,0.0,827,1,13.29970892083658,116.52461064037779,5.45375420872853,13.297220992941378,827,1,827,1,13.539267873798194,122.09372668958837,5.404637404851467,13.539267873798194,5.569116049210578,0.24204688085681525,18685647450.55756,17972277475.191708,0.1690503551028229,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,19,27,30494134,890,clean,,0,0.0,890,1,11.84278297139848,106.361922540588,6.951330515036315,11.847182403945917,890,1,890,1,12.277018103871029,110.056656859547,6.515001288255983,12.277018103871029,3.694734318959007,0.4298356999251123,18665046117.028778,17958851259.567085,0.1675051379282836,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,20,28,30498230,174,clean,,0,0.0,174,1,12.159480364812946,94.39396057818237,5.751613103989582,12.151545440828794,174,1,174,1,12.329394942589065,97.38955047795905,5.696037856417849,12.329394942589065,2.9955898997766752,0.1778495017602708,18621719512.898018,17925704116.73325,0.16543557217528707,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,21,29,30502326,267,clean,,0,0.0,267,1,8.882221418373431,122.26529137913889,15.812652899486316,8.882984492683343,267,1,267,1,8.73579680784298,126.3687710782201,16.90674807171006,8.73579680784298,4.10347969908122,-0.14718768484036282,18652548967.45777,17949876463.2846,0.16676724818391317,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,22,30,30506422,917,clean,,0,0.0,917,1,7.5160656719690095,87.28001954692297,15.46278500594058,7.516271173320151,917,1,917,1,7.566087204258435,86.17305544443339,15.092555153896518,7.566087204258435,-1.1069641024895844,0.049816030938283795,18682475102.876293,17970987018.03506,0.16862481708030144,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,23,31,30510518,656,clean,,0,0.0,656,1,11.291720582474705,90.64900418108219,6.719237731784286,11.300430305096755,656,1,656,1,11.666749135879526,93.65486617125512,6.3805105929313894,11.666749135879526,3.0058619901729315,0.3663188307827703,18706919568.452675,17992138728.272705,0.16919487906349465,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,24,32,30514614,889,clean,,0,0.0,889,1,12.057589668865067,99.01532984096488,6.165382303822078,12.057424269812351,889,1,889,1,11.839494300187226,105.39898209375056,6.900602109801616,11.839494300187226,6.38365225278568,-0.2179299696251249,18665626567.093773,17959282154.252872,0.16753599281247505,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,25,33,30518710,66,clean,,0,0.0,66,1,13.588882882513962,110.6684618139086,4.8499872495809635,13.582832768479857,66,1,66,1,12.722828587114316,119.20777961765457,6.368273986976515,12.722828587114316,8.53931780374596,-0.8600041813655412,18586895957.41318,17894328219.25239,0.1649146897969545,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,26,34,30522806,586,clean,,0,0.0,586,1,12.108318179412791,101.8524015876956,6.267741143721135,12.108602218248617,586,1,586,1,11.758654788817227,110.51085728996945,7.371221626468744,11.758654788817227,8.658455702273855,-0.34994742943139023,18712950354.504005,18010184182.253265,0.1662411122701824,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,27,35,30526902,425,clean,,0,0.0,425,1,12.256402443398498,85.90780368422107,5.092356867927127,12.271137849940105,425,1,425,1,11.456446299704904,84.74160822990008,6.059713226386067,11.456446299704904,-1.1661954543209845,-0.8146915502352012,18689926531.9147,17986667401.84107,0.16656890186170045,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,28,36,30530998,860,clean,,0,0.0,860,1,11.5292911459811,98.31410551322583,6.915641219974058,11.52783378043356,860,1,860,1,12.069911527339961,103.8738753713041,6.449338650249734,12.069911527339961,5.559769858078269,0.5420777469064006,18662703370.074127,17956371151.986706,0.16755979786980807,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,29,37,30535095,553,clean,,0,0.0,553,1,10.987607668896832,96.3867417309804,7.544034824568953,11.064136150640627,553,1,553,1,11.54705534395416,98.54138445335845,6.901017443960262,11.54705534395416,2.1546427223780427,0.48291919331353306,18854605515.27275,18264807998.316097,0.13802339107571057,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,30,38,30539191,629,clean,,0,0.0,629,1,11.997218626204036,107.37863273209284,6.7791121048145735,11.997450539175802,629,1,629,1,9.979858649275194,110.26907572231457,11.078166022501255,9.979858649275194,2.890442990221729,-2.017591889900608,18696407022.554253,17987637069.878662,0.1678403773931843,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,31,39,30543287,759,clean,,0,0.0,759,1,10.409684887310526,87.69079782462347,7.965112497678902,10.417621073042167,759,1,759,1,10.531315732550626,95.40162109346,8.441588563872642,10.531315732550626,7.710823268836521,0.11369465950845914,18666528136.97236,17959998830.462864,0.16757245223302103,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,32,40,30547383,494,clean,,0,0.0,494,1,11.729564591074107,89.80420556156332,5.947021849942379,11.789971411594014,494,1,494,1,12.133393296877827,94.96253662712624,5.810492931920035,12.133393296877827,5.158331065562919,0.34342188528381357,18811162468.94612,18147754142.839146,0.15592747354478398,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,33,41,30551479,303,clean,,0,0.0,303,1,10.852646256726842,105.73949636269938,8.6781358860941,10.858107913073509,303,1,303,1,10.390701219786788,107.05001663963586,9.784003900345207,10.390701219786788,1.3105202769364723,-0.4674066932867209,18622979832.95498,17924000939.29787,0.16614214964805396,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,34,42,30555575,1022,clean,,0,0.0,1022,1,8.941191004919029,116.50102862886871,14.901022244592406,8.93113696878589,1022,1,1022,1,9.244081532329538,125.68792766686018,14.958409299883714,9.244081532329538,9.186899037991466,0.31294456354364897,18613903020.9982,17918379599.746387,0.16538714041671804,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,35,43,30559671,720,clean,,0,0.0,720,1,5.642069529628273,65.37951886188638,17.849836141689188,5.6380748649437615,720,1,720,1,6.071430709196239,68.26209639487583,16.866949740217603,6.071430709196239,2.882577532989444,0.4333558442524774,18674852622.68513,17967684171.146893,0.1676507802873054,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,36,44,30563767,314,clean,,0,0.0,314,1,12.744567026601981,106.37730142747385,5.669762869803143,12.732840734790056,314,1,314,1,13.296247532472504,114.89955054770891,5.3789013165377995,13.296247532472504,8.52224912023506,0.5634067976824486,18637671574.482372,17935725223.70157,0.16672712616583746,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,37,45,30567863,602,clean,,0,0.0,602,1,13.07419878632933,103.10948536271933,5.077640777019432,13.076366462139745,602,1,602,1,13.19276265627158,111.6842878789028,5.354461667140148,13.19276265627158,8.574802516183468,0.11639619413183411,18693439827.52855,17984449940.149796,0.16792065038134174,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,38,46,30571959,7,clean,,0,0.0,7,1,12.274876152982745,82.58405290655416,4.896492741524183,12.27011077506569,7,1,7,1,12.654666010544616,86.72740766280147,4.706410065452637,12.654666010544616,4.143354756247305,0.3845552354789259,18578793739.2058,17890925536.71622,0.16384705089286442,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,39,47,30576055,414,clean,,0,0.0,414,1,10.73087730735999,88.02274313773191,7.430056420199798,10.736027871839568,414,1,414,1,10.37338667336437,94.54707345168993,8.675797829669063,10.37338667336437,6.524330313958018,-0.36264119847519716,18693120951.06903,17988288699.489403,0.16691966946188405,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,40,48,30580151,807,clean,,0,0.0,807,1,12.481843237168684,110.39002010862184,6.212910483507095,12.496347161722765,807,1,807,1,12.684899830286218,109.52679118919471,5.9024236942310075,12.684899830286218,-0.8632289194271294,0.1885526685634531,18687345041.20966,17973942693.87744,0.16904251735773676,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,41,49,30584247,195,clean,,0,0.0,195,1,11.64333692775891,103.53106323058707,7.11310068747976,11.630117178243886,195,1,195,1,11.790329714261564,106.12124531493173,7.026990498135563,11.790329714261564,2.5901820843446615,0.16021253601767782,18642779271.78987,17942856030.95602,0.16619085137508277,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,42,50,30588343,826,clean,,0,0.0,826,1,12.73483856218096,123.18924017870819,6.538773944382642,12.750764531527016,826,1,826,1,13.471693716875217,128.34377648794546,5.770393666103524,13.471693716875217,5.1545363092372725,0.7209291853482007,18686012173.388893,17972465959.02815,0.1690895773833451,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,43,51,30592439,928,clean,,0,0.0,928,1,10.515289945003818,101.65222175384724,9.017668294363869,10.520226190118713,928,1,928,1,11.260623244340401,105.59601622065124,7.8992381913878935,11.260623244340401,3.9437944668039933,0.7403970542216882,18694206376.677677,17981340834.118626,0.1688495970850742,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,44,52,30596535,761,clean,,0,0.0,761,1,10.743007395349661,91.49304183007806,7.872599234311432,10.65269923001991,761,1,761,1,10.748242624134692,92.85279132996416,7.815750760908736,10.748242624134692,1.3597494998861066,0.09554339411478097,18664650640.419403,17958390985.908207,0.16752442653643937,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,45,53,30600631,590,clean,,0,0.0,590,1,11.695201351493903,99.3595517092012,6.714143380858483,11.702190119946415,590,1,590,1,12.111628951896376,102.92468873292003,6.329314369202334,12.111628951896376,3.565137023718833,0.4094388319499611,18704775113.629982,18004820697.708443,0.16563690293298428,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,46,54,30604727,383,clean,,0,0.0,383,1,7.761653552927388,88.48180765791015,14.807078892405508,7.763845962411683,383,1,383,1,7.442260052629566,91.3517546429465,16.462314270253213,7.442260052629566,2.86994698503635,-0.321585909782117,18632541352.53791,17931161140.24877,0.16663680360794578,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,47,55,30608823,267,clean,,0,0.0,267,1,5.236635832140974,99.95387627718632,29.956914435972145,5.23302562034242,267,1,267,1,5.455007249456413,102.90845930538043,29.305582033802235,5.455007249456413,2.954583028194108,0.22198162911399333,18652548967.45777,17949876463.2846,0.16676724818391317,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,48,56,30612919,314,clean,,0,0.0,314,1,12.722906008507067,91.09955842645486,4.866186089559117,12.723275589634166,314,1,314,1,12.5470041564677,90.7609920257125,5.048923826017878,12.5470041564677,-0.33856640074236566,-0.1762714331664661,18637671574.482372,17935725223.70157,0.16672712616583746,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,0,8,30416310,803,-3,-3.0,1,4.142658989399803e-07,803,1,7.394315292865551,38.71409192263594,7.055103138528506,7.3936570982555905,803,1,803,1,6.9092489394506815,37.78864915598075,7.699038180815909,6.9092489394506815,-0.9254427666551877,-0.48440815880490895,6422318695.304768,6378143630.015219,0.029975578645217944,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,1,9,30420406,711,-3,-3.0,1,4.142658989399803e-07,711,1,7.070996404414062,29.648866855721405,5.811558781276835,7.077154649477267,711,1,711,1,7.139606543739134,30.538171045093677,5.900412425274373,7.139606543739134,0.8893041893722717,0.06245189426186748,6421300309.253874,6377354339.917512,0.02982433312499746,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,2,10,30424502,922,-3,-3.0,1,4.142658989399803e-07,922,1,6.2495740554998775,26.55328417801949,6.292015025795353,6.253284923108033,922,1,922,1,6.438773741995885,27.48917836475196,6.241434037426932,6.438773741995885,0.9358941867324724,0.18548881888785118,6423203155.220745,6379021556.088646,0.029975885150690294,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,3,11,30428598,718,-3,-3.0,1,4.142658989399803e-07,718,1,7.427259648029832,38.114055231231696,6.984570828667961,7.36945433202183,718,1,718,1,7.336063536848947,37.8267624340511,6.9854247440980375,7.336063536848947,-0.28729279718059786,-0.0333907951728829,6421912157.09542,6377881503.461189,0.029879146245383376,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,4,12,30432694,756,-3,-3.0,1,4.142658989399803e-07,756,1,6.789641727929723,30.45640975383367,6.367209099225168,6.797295944138286,756,1,756,1,6.967539703486743,30.450422980661973,6.121239320915162,6.967539703486743,-0.005986773171699156,0.17024375934845715,6420906871.242962,6376942742.955424,0.029838533817448627,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,5,13,30436790,109,-3,-3.0,1,4.142658989399803e-07,109,1,7.242889730796018,41.18062184147486,7.7798324320238255,7.237226574027538,109,1,109,1,7.110893830884642,41.57698419547135,8.086556053907556,7.110893830884642,0.3963623539964871,-0.12633274314289622,6414312355.586996,6370837110.994045,0.029536035773672847,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,6,14,30440886,932,-3,-3.0,1,4.142658989399803e-07,932,1,7.212199166755794,35.570163230911454,6.755622182314957,7.214205051132225,932,1,932,1,7.470729280097776,36.20095892593611,6.4810764845944115,7.470729280097776,0.6307956950246592,0.25652422896555027,6423649454.135655,6379467109.883996,0.029974302552952012,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,7,15,30444982,468,-3,-3.0,1,4.142658989399803e-07,468,1,7.099837068858862,45.07953503888978,8.778719370492654,7.105482618339131,468,1,468,1,7.077883461271057,45.27210778211743,8.87242565124082,7.077883461271057,0.19257274322765028,-0.027599157068074476,6427689272.579519,6383458019.07985,0.02998867347660158,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,8,16,30449078,89,-3,-3.0,1,4.142658989399803e-07,89,1,6.402537532296434,45.91854353209843,10.521775541466733,6.398990715742339,89,1,89,1,6.549330172392511,45.16658158621975,9.997334080931218,6.549330172392511,-0.7519619458786835,0.15033945665017256,6416329836.788637,6372635501.089388,0.029676024947601673,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,9,17,30453174,713,-3,-3.0,1,4.142658989399803e-07,713,1,6.071207947213885,45.91673498147921,11.348125700452515,6.070468612212391,713,1,713,1,6.368675304276746,47.334490683740945,10.922201340128323,6.368675304276746,1.4177557022617364,0.2982066920643547,6421523994.205852,6377524554.436454,0.02985970261978674,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,10,18,30457270,865,-3,-3.0,1,4.142658989399803e-07,865,1,4.8702335398362155,32.159686563712064,10.494673676694198,4.863428682590334,865,1,865,1,5.038645020822833,33.722854673800136,10.569631076060782,5.038645020822833,1.5631681100880712,0.17521633823249871,6420583151.429896,6376607319.083309,0.029848014757937014,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,11,19,30461366,92,-3,-3.0,1,4.142658989399803e-07,92,1,7.693467616024185,36.46036844636706,6.205332501703874,7.690559957022158,92,1,92,1,7.512497846566496,35.768298796800195,6.3423251072537905,7.512497846566496,-0.6920696495668679,-0.17806211045566211,6416211461.1987095,6372554126.122623,0.029651358045466435,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,12,20,30465462,645,-3,-3.0,1,4.142658989399803e-07,645,1,5.171869985555961,24.586920161368525,7.466658641404497,5.175778341585224,645,1,645,1,5.207399401499149,25.19867906980678,7.596924936250897,5.207399401499149,0.6117589084382544,0.03162105991392483,6426747164.422918,6382415782.812024,0.030061216893485038,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,13,21,30469558,426,-3,-3.0,1,4.142658989399803e-07,426,1,7.025428523194148,27.658975310849577,5.511939719180137,7.005316273482548,426,1,426,1,7.359859361600209,28.613544416879026,5.255157322063533,7.359859361600209,0.9545691060294494,0.35454308811766033,6423635130.417799,6379625779.847526,0.0298566021818107,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,14,22,30473654,765,-3,-3.0,1,4.142658989399803e-07,765,1,8.14842301530213,42.49593912931492,6.5051621344392325,8.15089305900666,765,1,765,1,7.956140455106615,41.893106487871165,6.707003302145766,7.956140455106615,-0.6028326414437544,-0.19475260390004578,6420081708.640561,6376132554.660306,0.02983218273137308,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,15,23,30477750,1023,-3,-3.0,1,4.142658989399803e-07,1023,1,6.830460251070702,40.25905383711592,8.358196155034708,6.827510047378453,1023,1,1023,1,7.18590284977164,40.52149338977906,7.746315075510941,7.18590284977164,0.2624395526631389,0.3583928023931868,6414646332.194327,6371150129.5946455,0.029548778915550796,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,16,24,30481846,597,-3,-3.0,1,4.142658989399803e-07,597,1,7.945780380406305,52.22173804721256,8.372379982260965,7.950023912819359,597,1,597,1,7.896842052178031,53.45909039858696,8.6763559304598,7.896842052178031,1.2373523513743976,-0.05318186064132746,6424086333.572708,6379718855.175612,0.030098283881214192,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,17,25,30485942,562,-3,-3.0,1,4.142658989399803e-07,562,1,7.900323684826214,47.832887841587514,7.735054028192303,7.912632500384092,562,1,562,1,7.9077905824914305,47.91159737724354,7.756424906956456,7.9077905824914305,0.07870953565602434,-0.004841917892661307,6437950837.846014,6393577297.581408,0.03003735844606455,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,18,26,30490038,827,-3,-3.0,1,4.142658989399803e-07,827,1,7.887972772971162,36.02885973312632,5.851938569687772,7.8935075897915254,827,1,827,1,7.735536899828168,37.2513007826149,6.274624668032415,7.735536899828168,1.2224410494885802,-0.15797068996335728,6422556280.306044,6378348866.252481,0.029996491792488884,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,19,27,30494134,890,-3,-3.0,1,4.142658989399803e-07,890,1,6.919369461720728,35.61679144279512,7.237496004360814,6.920664562722729,890,1,890,1,6.918135391609152,35.396613640596435,7.196944876695595,6.918135391609152,-0.220177802198684,-0.002529171113577533,6420603117.607798,6376656973.959033,0.02982770151427472,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,7,0,20,28,30498230,174,-3,-3.0,1,4.142658989399803e-07,174,1,6.596194653259294,30.55374252433535,6.693964128766538,6.593810337615005,174,1,174,1,6.606769783389302,31.216955768559075,6.81888821140403,6.606769783389302,0.6632132442237229,0.012959445774296974,6416039359.601225,6372472966.792243,0.02959017703603205,0,0,independent_low1_offpacket_circulant_plus_known_awgn_identity
