dataset,snr_label,added_snr_db,signal_reference_power,estimated_covariance_power,added_awgn_power,added_to_estimated_covariance_power_db,total_covariance_color_cv,total_lag1_abs_correlation,total_offdiag_to_diag_frobenius,total_covariance_condition_number,covariance_model
collector_low4_train_low1,clean,,2.0762477987584387e-07,1.8584429126009343e-07,0.0,-inf,0.26991137688080646,0.12989194995684966,0.26991137688080646,9.431600313016162,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,-3,-3.0,2.0762477987584387e-07,1.8584429126009343e-07,4.142658989399803e-07,3.481299599826826,0.08358713009476786,0.04022540822390335,0.08358713009476786,2.161422597566257,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,-6,-6.0,2.0762477987584387e-07,1.8584429126009343e-07,8.26569136531649e-07,6.481299599826826,0.04954644729363256,0.023843695389121095,0.04954644729363256,1.6250362060303059,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,-9,-9.0,2.0762477987584387e-07,1.8584429126009343e-07,1.6492222488379657e-06,9.481299599826826,0.027334969846253644,0.013154660527368297,0.02733496984625364,1.3252883847171844,independent_low1_offpacket_circulant_plus_known_awgn_identity
collector_low4_train_low1,-12,-12.0,2.0762477987584387e-07,1.8584429126009343e-07,3.2906310021146212e-06,12.481299599826825,0.014428835043080733,0.006943721828291543,0.014428835043080731,1.16622930804346,independent_low1_offpacket_circulant_plus_known_awgn_identity
