trial_id,packet_id,reference_id,esn0_db,seed,estimate_available,strict_packet_delivered,decoder_aware_packet_delivered,oracle_packet_delivered,strict_gate,decoder_aware_gate,candidate_count,unique_integer_cfo_pool,sfd_peaks_examined,crc_success_count_top_max,sync_ms,list_generation_ms,list_decode_all_ms,selected_sync_cfo_reproduced,selected_sync_start_reproduced,list1_crc_accept,list1_packet_delivered,list1_crc_false_delivery,list1_selected_candidate,list1_operational_attempts,list2_crc_accept,list2_packet_delivered,list2_crc_false_delivery,list2_selected_candidate,list2_operational_attempts,list4_crc_accept,list4_packet_delivered,list4_crc_false_delivery,list4_selected_candidate,list4_operational_attempts
exp0_000003_rxg20_0_fulltrim:12:20260822,exp0_000003_rxg20_0_fulltrim,3,12.0,20260822,1,0,0,1,0,0,4,32,32,1,10071.146100002807,43.689699999958975,296.8491999999969,1,1,0,0,0,,1,1,1,0,1,2,1,1,0,1,2
exp0_000004_rxg20_0_fulltrim:12:20260822,exp0_000004_rxg20_0_fulltrim,4,12.0,20260822,1,0,0,0,1,1,4,32,32,0,9617.309400000522,46.21490000135964,810.9739999999874,1,1,0,0,0,,1,0,0,0,,2,0,0,0,,4
exp0_000005_rxg20_0_fulltrim:12:20260822,exp0_000005_rxg20_0_fulltrim,5,12.0,20260822,1,0,0,1,0,0,4,31,32,1,11947.10429999759,51.511699999537086,570.2171000011731,1,1,0,0,0,,1,0,0,0,,2,1,1,0,2,3
exp0_000006_rxg20_0_fulltrim:12:20260822,exp0_000006_rxg20_0_fulltrim,6,12.0,20260822,1,0,0,0,0,0,4,31,32,0,10948.596300000645,41.72840000319411,273.3332000025257,1,1,0,0,0,,1,0,0,0,,2,0,0,0,,4
exp0_000007_rxg20_0_fulltrim:12:20260822,exp0_000007_rxg20_0_fulltrim,7,12.0,20260822,1,0,0,0,0,0,4,31,32,0,10282.876000001124,50.0742000003811,127.20799999806331,1,1,0,0,0,,1,0,0,0,,2,0,0,0,,4
exp0_000008_rxg20_0_fulltrim:12:20260822,exp0_000008_rxg20_0_fulltrim,8,12.0,20260822,1,0,0,1,0,0,4,32,32,2,10140.293099997507,50.65350000222679,703.1626999996661,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000000_rxg20_0_fulltrim:13:20260821,exp0_000000_rxg20_0_fulltrim,0,13.0,20260821,1,0,0,0,0,0,4,31,32,0,11297.245000001567,46.34999999689171,335.0234999998065,1,1,0,0,0,,1,0,0,0,,2,0,0,0,,4
exp0_000002_rxg20_0_fulltrim:13:20260821,exp0_000002_rxg20_0_fulltrim,2,13.0,20260821,1,0,1,1,0,1,4,31,32,2,9736.570000000938,47.04499999934342,483.6918000000878,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
exp0_000003_rxg20_0_fulltrim:13:20260821,exp0_000003_rxg20_0_fulltrim,3,13.0,20260821,1,0,0,1,0,0,4,32,32,1,11015.005199998996,50.655600000027334,676.1699999988195,1,1,0,0,0,,1,1,1,0,1,2,1,1,0,1,2
exp0_000004_rxg20_0_fulltrim:13:20260821,exp0_000004_rxg20_0_fulltrim,4,13.0,20260821,1,1,1,1,1,1,4,30,32,1,10346.917199996824,61.66540000049281,550.0251000012213,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1
