trial_id,reference_id,esn0_db,seed,candidate_index,source,sfd_peak_rank,sfd_peak_signed_bin,sfd_relative_power_db,cfo_total_est,fine_payload_start_sample,delta_cfo_bins,delta_payload_samples,ridge_residual_bins,netid1_est,netid2_est,netid_valid,netid_margin_db,decode_status,header_valid,crc_accepted,payload_exact,payload_hex
exp0_000000_rxg20_0_fulltrim:12:20260821,0,12.0,20260821,0,selected,2,-257,-0.30599066223059984,-128.70422085168457,673551,0.0,0,0.0,7,15,1,1.0283361522371854,ok,1,0,0,4004b32a80999800580000b9883a2d118aa87066a99f804826e752c9af7658da52
exp0_000000_rxg20_0_fulltrim:12:20260821,0,12.0,20260821,1,sfd_list,1,-1687,0.0,-843.7042208516846,667829,-715.0,-5722,0.25,1608,37,0,0.26928673906727046,header_invalid,0,0,0,
exp0_000000_rxg20_0_fulltrim:12:20260821,0,12.0,20260821,2,sfd_list,3,-1921,-1.1439277706859798,-960.7042208516846,666886,-832.0,-6665,1.125,3432,37,0,0.40540969703198837,header_invalid,0,0,0,
exp0_000000_rxg20_0_fulltrim:12:20260821,0,12.0,20260821,3,sfd_list,4,643,-1.231755427940428,321.29577914831543,677145,450.0,3594,0.75,69,1018,0,1.2492003588301888,header_invalid,0,0,0,
exp0_000002_rxg20_0_fulltrim:12:20260821,2,12.0,20260821,0,selected,8,-259,-4.97884945924606,-129.93541354299947,673544,0.0,0,0.0,8,16,1,2.671637402884102,ok,1,1,1,40443322110001005802005cd673d92b853ac56123bc76bf47473cf8f478563412
exp0_000002_rxg20_0_fulltrim:12:20260821,2,12.0,20260821,1,sfd_list,1,-258,0.0,-128.93541354299947,673552,1.0,8,0.0,8,16,1,2.6448073859318164,ok,1,1,1,40443322110001005802005cd673d92b853ac56123bc76bf47473cf8f478563412
exp0_000002_rxg20_0_fulltrim:12:20260821,2,12.0,20260821,2,sfd_list,2,2017,-3.876015678532145,1008.0645864570005,682648,1138.0,9104,0.0,8,1539,0,0.9125939715943947,header_invalid,0,0,0,
exp0_000002_rxg20_0_fulltrim:12:20260821,2,12.0,20260821,3,sfd_list,3,695,-3.890910915518282,347.06458645700053,677360,477.0,3816,0.0,9,2947,0,1.5061901371822957,header_invalid,0,0,0,
exp0_000003_rxg20_0_fulltrim:12:20260821,3,12.0,20260821,0,selected,1,-2001,0.0,-1000.8698055416223,666575,0.0,0,0.0,8,1669,0,1.5348844931409305,header_invalid,0,0,0,
exp0_000003_rxg20_0_fulltrim:12:20260821,3,12.0,20260821,1,sfd_list,2,-258,-0.0734273788672869,-128.86980554162236,673552,872.0,6977,-0.125,8,931,0,1.834556438612755,ok,1,1,1,40443322110001005803005cb3bdd7ae69bf3b145befd6bdb97c37853778563412
exp0_000003_rxg20_0_fulltrim:12:20260821,3,12.0,20260821,2,sfd_list,3,33,-0.16958379235487442,16.13019445837764,674708,1017.0,8133,0.375,8,1094,0,0.5847524255469896,header_invalid,0,0,0,
exp0_000003_rxg20_0_fulltrim:12:20260821,3,12.0,20260821,3,sfd_list,4,1052,-0.6118829835234988,526.1301944583777,678789,1527.0,12214,0.25,8,3071,0,0.5130782589925879,truncated_payload,1,0,0,
exp0_000004_rxg20_0_fulltrim:12:20260821,4,12.0,20260821,0,selected,1,-257,0.0,-128.85427973350815,673552,0.0,0,0.0,8,16,1,4.690548424028444,ok,1,1,1,4044332211000100580400316343646b6fa44c91c2d78b3aac4af4c55b78563412
exp0_000004_rxg20_0_fulltrim:12:20260821,4,12.0,20260821,1,sfd_list,2,1218,-0.13815686058746235,609.1457202664918,679461,738.0,5909,-0.625,7,15,1,0.9088157915256443,header_invalid,0,0,0,
exp0_000004_rxg20_0_fulltrim:12:20260821,4,12.0,20260821,2,sfd_list,3,1015,-0.24190607978604048,507.1457202664919,678640,636.0,5088,0.0,8,16,1,4.082123421561427,header_invalid,0,0,0,
exp0_000004_rxg20_0_fulltrim:12:20260821,4,12.0,20260821,3,sfd_list,4,-1936,-0.31778286096445274,-967.8542797335082,666842,-839.0,-6710,-0.25,9,16,0,1.1410735521556261,header_invalid,0,0,0,
exp0_000005_rxg20_0_fulltrim:12:20260821,5,12.0,20260821,0,selected,1,-257,0.0,-128.7433883099426,673551,0.0,0,0.0,8,16,1,3.6650823214748627,ok,1,1,1,4044332211000100580500696c1cdf732c76fbd40d64a24146908274c978563412
exp0_000005_rxg20_0_fulltrim:12:20260821,5,12.0,20260821,1,sfd_list,2,-1038,-2.826236931637265,-518.7433883099426,670427,-390.0,-3124,0.5,8,16,1,1.5890224267247475,ok,1,0,0,626431221100090058050069ec9c5f732c36ffa44c63a34146908254c9fc543412
exp0_000005_rxg20_0_fulltrim:12:20260821,5,12.0,20260821,2,sfd_list,3,1647,-3.217517491924928,823.2566116900574,681168,952.0,7617,-0.125,8,1344,0,1.7255688035979455,header_invalid,0,0,0,
