dataset,target_snr_db,noise_seed,packet_count,center_symbol_ser,multi_symbol_ser,pure_symbol_ser,pure_gain_vs_center,pure_gain_vs_multi,pure_crc_valid_rate,mean_phase_score,mean_amp_score,mean_candidate_count,mean_selected_energy_drop_db,mean_phase_line_r2,mean_phase_line_rmse_pi
0_0_0_10_14_16,-24.0,42,11,0.8337662337662337,0.5168831168831168,0.9454545454545454,-0.11168831168831166,-0.4285714285714285,0.0,0.9963842381130565,0.6609541001830636,64.0,-1.9767961571872916,0.9607803626957739,0.026503090146382625
mean,-24.0,mean,11,0.8337662337662337,0.5168831168831168,0.9454545454545454,-0.11168831168831166,-0.4285714285714285,0.0,0.9963842381130565,0.6609541001830636,64.0,-1.9767961571872916,0.9607803626957739,0.026503090146382625
