sf,tx_power_dbm,capture_count,ok_capture_count,header_valid_packets,probe_traditional_fft_crc_valid_rate,probe_current_selected_crc_valid_rate,probe_savaux_paper_crc_valid_rate,probe_savaux_codec_crc_valid_rate
10,14,3,3,3,1.0,1.0,1.0,1.0
11,2,8,8,0,,,,
12,2,8,8,0,,,,
12,6,8,8,0,,,,
12,10,8,8,0,,,,
12,14,8,8,0,,,,
