file_name,input_iq,experiment_id,corridor_id,position_id,sf,tx_power_dbm,preamble_len,status,error,sync_returncode,sync_elapsed_s,header_returncode,header_elapsed_s,probe_returncode,probe_elapsed_s,probe_file_name,probe_input_iq,probe_symbol_csv,probe_detected_events,probe_framesync_valid,probe_header_valid_packets,probe_traditional_fft_crc_valid,probe_traditional_fft_crc_valid_rate,probe_multi_offset_argmax_crc_valid,probe_multi_offset_argmax_crc_valid_rate,probe_current_selected_crc_valid,probe_current_selected_crc_valid_rate,probe_savaux_paper_crc_valid,probe_savaux_paper_crc_valid_rate,probe_savaux_codec_crc_valid,probe_savaux_codec_crc_valid_rate,probe_savaux_codec_extra_crc_valid_vs_paper,probe_savaux_codec_mean_symbol_change_count,probe_note
0_0_0_10_14_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,0,0,0,10,14,16,ok,,0,1.188,0,0.187,0,0.297,0_0_0_10_14_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_param8_fastscreen_sample20m_hop2_probe3\header_first\0_0_0_10_14_16_header_first_symbols.csv,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
0_0_0_10_14_32.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_32.bin,0,0,0,10,14,32,ok,,0,1.312,0,0.204,0,0.296,0_0_0_10_14_32.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_32.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_param8_fastscreen_sample20m_hop2_probe3\header_first\0_0_0_10_14_32_header_first_symbols.csv,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
0_0_0_10_14_8.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_8.bin,0,0,0,10,14,8,ok,,0,42.594,0,0.250,0,0.625,0_0_0_10_14_8.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\0_0_0_10_14_8.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_param8_fastscreen_sample20m_hop2_probe3\header_first\0_0_0_10_14_8_header_first_symbols.csv,8,8,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
1_0_10_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_10_11_2_16.bin,1,0,10,11,2,16,ok,,0,1.406,0,0.203,0,0.313,1_0_10_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_10_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_param8_fastscreen_sample20m_hop2_probe3\header_first\1_0_10_11_2_16_header_first_symbols.csv,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
1_0_12_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_12_11_2_16.bin,1,0,12,11,2,16,ok,,0,1.360,0,0.203,0,0.328,1_0_12_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_12_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_param8_fastscreen_sample20m_hop2_probe3\header_first\1_0_12_11_2_16_header_first_symbols.csv,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
1_0_15_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_15_11_2_16.bin,1,0,15,11,2,16,ok,,0,1.390,0,0.188,0,0.312,1_0_15_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_15_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_param8_fastscreen_sample20m_hop2_probe3\header_first\1_0_15_11_2_16_header_first_symbols.csv,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
1_0_8_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_8_11_2_16.bin,1,0,8,11,2,16,ok,,0,1.344,0,0.203,0,0.313,1_0_8_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_0_8_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_param8_fastscreen_sample20m_hop2_probe3\header_first\1_0_8_11_2_16_header_first_symbols.csv,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
1_1_0_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_1_0_11_2_16.bin,1,1,0,11,2,16,ok,,0,1.421,0,0.188,0,0.344,1_1_0_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_1_0_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_param8_fastscreen_sample20m_hop2_probe3\header_first\1_1_0_11_2_16_header_first_symbols.csv,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
1_1_2_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_1_2_11_2_16.bin,1,1,2,11,2,16,ok,,0,1.359,0,0.188,0,0.296,1_1_2_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_1_2_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_param8_fastscreen_sample20m_hop2_probe3\header_first\1_1_2_11_2_16_header_first_symbols.csv,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
1_1_5_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_1_5_11_2_16.bin,1,1,5,11,2,16,ok,,0,1.407,0,0.187,0,0.328,1_1_5_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\data\USRP_IQ\lab1_sf11_TP2\1_1_5_11_2_16.bin,D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding copy\data\baseline_comparison\real_iq_crc_batch_param8_fastscreen_sample20m_hop2_probe3\header_first\1_1_5_11_2_16_header_first_symbols.csv,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,real IQ CRC/PRR probe only; no byte/symbol GT is used
