dataset,packet_index,frame_index,event_index,payload_symbol_index,frame_symbol_index,source_start_sample,corrected_start_sample,gt_bin,clean_csv_margin_db,clean_recomputed_margin_db,waveform_source,gt_provenance,noise_covariance_source,noise_window_count,noise_windows_available,raw_noise_power,covariance_sample_count,segment_covariance_sample_count,savaux_bin,gt_match_savaux,savaux_correct,savaux_margin_db,savaux_fix_vs_savaux,savaux_break_vs_savaux,fixed_gls_bin,fixed_gls_correct,fixed_gls_margin_db,fixed_gls_fix_vs_savaux,fixed_gls_break_vs_savaux,segmented_gls_bin,segmented_gls_correct,segmented_gls_margin_db,segmented_gls_fix_vs_savaux,segmented_gls_break_vs_savaux,colored_ml_bin,colored_ml_correct,colored_ml_margin_db,colored_ml_fix_vs_savaux,colored_ml_break_vs_savaux
0_0_0_10_14_32,0,0,0,0,8,4305479,4305481,803,16.772151585755374,17.865360862778005,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,803,1,1,17.865360862778005,0,0,803,1,16.411766895044842,0,0,803,1,10.369073646165655,0,0,803,1,13.486633724025372,0,0
0_0_0_10_14_32,0,0,0,1,9,4309575,4309577,711,18.500732100576606,18.580632961937777,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,711,1,1,18.580632961937777,0,0,711,1,19.53997354305072,0,0,711,1,11.557421148935674,0,0,711,1,13.654677779183421,0,0
0_0_0_10_14_32,0,0,0,2,10,4313671,4313673,922,14.176779334034874,14.049431969678421,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,922,1,1,14.049431969678421,0,0,922,1,15.31934181374188,0,0,922,1,12.514955150148596,0,0,922,1,11.907235451898595,0,0
0_0_0_10_14_32,0,0,0,3,11,4317767,4317769,718,16.442138052080473,17.82598729373147,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,718,1,1,17.82598729373147,0,0,718,1,16.878777588576664,0,0,718,1,5.971137652133657,0,0,718,1,12.402866096879055,0,0
0_0_0_10_14_32,0,0,0,4,12,4321863,4321865,107,13.315212112628627,13.715474165995136,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,107,1,1,13.715474165995136,0,0,107,1,13.554403162065018,0,0,107,1,12.74843247724097,0,0,107,1,10.54319022386876,0,0
0_0_0_10_14_32,0,0,0,5,13,4325959,4325961,468,14.017617949429805,13.696003412837346,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,468,1,1,13.696003412837346,0,0,468,1,19.011891782728153,0,0,468,1,15.87628670171145,0,0,468,1,12.908518378828893,0,0
0_0_0_10_14_32,0,0,0,6,14,4330056,4330058,89,17.87323983666763,19.326250089106175,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,89,1,1,19.326250089106175,0,0,89,1,11.321564241912876,0,0,89,1,12.214663504922099,0,0,89,1,13.824838184594643,0,0
0_0_0_10_14_32,0,0,0,7,15,4334152,4334154,713,14.567137475474334,13.90875061202802,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,713,1,1,13.90875061202802,0,0,713,1,14.383332508658302,0,0,713,1,7.534119165983681,0,0,713,1,9.764922765315111,0,0
0_0_0_10_14_32,0,0,0,8,16,4338248,4338250,865,18.037757940578782,17.235418204477504,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,865,1,1,17.235418204477504,0,0,865,1,17.74594488672383,0,0,865,1,15.187309381396016,0,0,865,1,11.471176703259085,0,0
0_0_0_10_14_32,0,0,0,9,17,4342344,4342346,492,12.895198197317562,11.613683999723579,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,492,1,1,11.613683999723579,0,0,492,1,11.448037947268697,0,0,492,1,13.34547617253875,0,0,492,1,8.198856391579806,0,0
0_0_0_10_14_32,0,0,0,10,18,4346440,4346442,765,12.555114422862111,13.534203803223066,real_iq,clean header_first raw_fft_bin; packet CRC valid; header and deterministic payload prefix reproduce exactly after byte decode/re-encode,natural_offpacket_same_capture,128,2175,2.431641274210765e-05,128,128,765,1,1,13.534203803223066,0,0,765,1,11.525223240253062,0,0,765,1,4.386616116105957,0,0,765,1,9.298391749129753,0,0
