dataset,target_snr_db,noise_seed,packet_count,center_symbol_ser,multi_symbol_ser,pure_symbol_ser,pure_gain_vs_center,pure_gain_vs_multi,pure_crc_valid_rate,mean_phase_score,mean_amp_score,mean_candidate_count,mean_selected_energy_drop_db,mean_phase_line_r2,mean_phase_line_rmse_pi
0_0_0_10_14_16,-22.0,42,11,0.6181818181818183,0.1766233766233766,0.6311688311688312,-0.012987012987012984,-0.45454545454545453,0.0,0.9700796442816515,0.8822980472080212,32.0,-0.6336570242231357,0.9898335937140559,0.12283872077290257
0_0_0_10_14_16,-23.0,42,11,0.7506493506493507,0.33246753246753247,0.7402597402597402,0.010389610389610403,-0.4077922077922078,0.0,0.9719651509195614,0.8757086455974888,32.0,-0.6543683577096915,0.9694608674614497,0.11388199669838223
0_0_0_10_14_16,-24.0,42,11,0.8337662337662337,0.5168831168831168,0.8857142857142858,-0.05194805194805194,-0.3688311688311688,0.0,0.967907362286929,0.8740395977474936,32.0,-0.6549504585009196,0.9550771495951939,0.1386607677523506
0_0_0_10_14_16,-25.0,42,11,0.9012987012987015,0.6753246753246753,0.9324675324675326,-0.03116883116883118,-0.2571428571428572,0.0,0.9697333677363477,0.8801730990541432,32.0,-0.6136284823242597,0.8628016477084661,0.1234520942385429
0_0_0_10_14_16,-26.0,42,11,0.9532467532467532,0.7948051948051947,0.9766233766233767,-0.023376623376623384,-0.18181818181818182,0.0,0.9728605566781173,0.873047816017986,32.0,-0.6505084623315844,0.8738945055808535,0.10310213582692693
0_0_0_10_14_16,-22.0,43,11,0.6883116883116883,0.20519480519480515,0.6675324675324675,0.020779220779220783,-0.4623376623376624,0.0,0.9707529007138329,0.8678044864593489,32.0,-0.7186100087697316,0.9662486500836036,0.1279102897059631
0_0_0_10_14_16,-23.0,43,11,0.7688311688311689,0.33766233766233766,0.812987012987013,-0.04415584415584415,-0.4753246753246754,0.0,0.9679175505124707,0.8665925775694254,32.0,-0.7184288832748544,0.9705505863937983,0.12496952561340499
0_0_0_10_14_16,-24.0,43,11,0.8493506493506492,0.5142857142857143,0.8779220779220779,-0.02857142857142856,-0.36363636363636365,0.0,0.9678011210516396,0.8700547449959989,32.0,-0.6861936550470432,0.9741849612428577,0.12294859543351794
0_0_0_10_14_16,-25.0,43,11,0.9090909090909091,0.664935064935065,0.948051948051948,-0.03896103896103897,-0.2831168831168831,0.0,0.9681140615555776,0.8726330831471943,32.0,-0.6634470481306421,0.973914852880851,0.13765513516657954
0_0_0_10_14_16,-26.0,43,11,0.942857142857143,0.7999999999999999,0.9714285714285715,-0.02857142857142858,-0.17142857142857143,0.0,0.971252302192834,0.8671460520234223,32.0,-0.6985152468973236,0.9800531504957274,0.10732011176502863
0_0_0_10_14_16,-22.0,44,11,0.6935064935064935,0.19740259740259739,0.7142857142857143,-0.020779220779220755,-0.5168831168831169,0.0,0.970776159744377,0.8694432714707069,32.0,-0.7066669536587442,0.9709308650632689,0.13007740639350265
0_0_0_10_14_16,-23.0,44,11,0.7896103896103895,0.35584415584415585,0.8337662337662337,-0.04415584415584415,-0.4779220779220779,0.0,0.9712627537522487,0.8731803521096725,32.0,-0.6777256694716208,0.9684492591016854,0.13191727968361056
0_0_0_10_14_16,-24.0,44,11,0.8805194805194805,0.5142857142857143,0.9142857142857145,-0.03376623376623376,-0.39999999999999997,0.0,0.9744641542575827,0.8653545255309942,32.0,-0.7182671897271015,0.9831550914170225,0.12550250391008916
0_0_0_10_14_16,-25.0,44,11,0.916883116883117,0.6987012987012986,0.9558441558441558,-0.03896103896103895,-0.2571428571428571,0.0,0.9732757596341183,0.8706843341482127,32.0,-0.6836465294945392,0.9651685170702425,0.1266513911575119
0_0_0_10_14_16,-26.0,44,11,0.9402597402597404,0.8155844155844156,0.9662337662337663,-0.025974025974025983,-0.15064935064935064,0.0,0.9721509639108903,0.8767063742603536,32.0,-0.6448821544578879,0.9485222692165678,0.12516309431979986
0_0_0_10_14_16,-22.0,45,11,0.6675324675324675,0.20779220779220775,0.6857142857142857,-0.018181818181818177,-0.4779220779220779,0.0,0.9672487906309527,0.8766932372031456,32.0,-0.6576012207636748,0.9736940835727872,0.13682054299269977
0_0_0_10_14_16,-23.0,45,11,0.7792207792207791,0.38701298701298703,0.7974025974025973,-0.018181818181818167,-0.41038961038961047,0.0,0.9687579677134507,0.8689000092110444,32.0,-0.6959952047120614,0.9841596384851387,0.1383589637971039
0_0_0_10_14_16,-24.0,45,11,0.8597402597402598,0.548051948051948,0.9090909090909093,-0.04935064935064937,-0.36103896103896105,0.0,0.9694828933874114,0.8652534368854167,32.0,-0.7124674521097613,0.9831375089589883,0.11934105632653019
0_0_0_10_14_16,-25.0,45,11,0.9012987012987014,0.6883116883116883,0.9376623376623378,-0.03636363636363637,-0.24935064935064932,0.0,0.9716995250363832,0.8645016968902113,32.0,-0.7156375556825164,0.9474879384165864,0.1376553959125972
0_0_0_10_14_16,-26.0,45,11,0.9272727272727274,0.7870129870129869,0.9688311688311689,-0.041558441558441565,-0.18181818181818177,0.0,0.9722035389311162,0.8657514728873023,32.0,-0.7089530517230421,0.9325574512910063,0.11351134549859611
0_0_0_10_14_16,-22.0,46,11,0.6545454545454545,0.14025974025974025,0.6233766233766234,0.03116883116883119,-0.4831168831168831,0.0,0.9695861998828221,0.8770124568657119,32.0,-0.6564491645490051,0.9817469774231434,0.14530167431395033
0_0_0_10_14_16,-23.0,46,11,0.7506493506493507,0.2883116883116883,0.7922077922077922,-0.04155844155844153,-0.5038961038961038,0.0,0.9730625181985956,0.8636876402791566,32.0,-0.7305642848429343,0.9904252541804041,0.12015451758432087
0_0_0_10_14_16,-24.0,46,11,0.8441558441558444,0.45714285714285713,0.8597402597402598,-0.01558441558441556,-0.4025974025974026,0.0,0.9707572073542614,0.8649732893287237,32.0,-0.7170709878716971,0.9810002022122117,0.11880139029568994
0_0_0_10_14_16,-25.0,46,11,0.9194805194805195,0.6129870129870129,0.9142857142857145,0.005194805194805186,-0.30129870129870134,0.0,0.9726059590462988,0.8668446292386058,32.0,-0.6968738791939726,0.986421623058169,0.14951722279004018
0_0_0_10_14_16,-26.0,46,11,0.9454545454545454,0.7584415584415585,0.948051948051948,-0.0025974025974025983,-0.18961038961038962,0.0,0.9696953316388955,0.8726866689238103,32.0,-0.6696305119999626,0.9858681908346569,0.150677986796272
mean,-22.0,mean,55,0.6644155844155843,0.1854545454545454,0.6644155844155846,1.1102230246251566e-17,-0.478961038961039,0.0,0.9696887390507273,0.8746502998413869,32.0,-0.6745968743928582,0.9764908339713718,0.13258972683580367
mean,-23.0,mean,55,0.7677922077922077,0.34025974025974026,0.7953246753246752,-0.02753246753246752,-0.4550649350649351,0.0,0.9705931882192654,0.8696138449533576,32.0,-0.6954164800022326,0.9766091211244952,0.1258564566753645
mean,-24.0,mean,55,0.8535064935064935,0.5101298701298702,0.8893506493506494,-0.03584415584415583,-0.37922077922077924,0.0,0.9700825476675649,0.8679351188977253,32.0,-0.6977899486513046,0.9753109826852547,0.12505086274363558
mean,-25.0,mean,55,0.9096103896103896,0.668051948051948,0.9376623376623376,-0.028051948051948057,-0.2696103896103896,0.0,0.9710857346017452,0.8709673684956734,32.0,-0.674646698965186,0.947158915826863,0.13498624785305435
mean,-26.0,mean,55,0.9418181818181818,0.7911688311688311,0.9662337662337663,-0.024415584415584425,-0.17506493506493506,0.0,0.9716325386703707,0.8710676768225749,32.0,-0.6744978854819601,0.9441791134837624,0.11995493484132469
