dataset,snr_db,seed,packet_count,symbol_count,bank_kind,pattern_count,covariance_source,white_effective_replicas,empirical_effective_replicas,cross_validated_effective_replicas,offpacket_windows,mean_gt_topk_recall,mean_gt_savaux_rank,savaux_ser,best_pattern_ser,mean_pattern_ser,coherent_pattern_ser,whitened_pattern_ser,stable_pattern_ser,hybrid_mean_pattern_ser,gated_mean_pattern_ser,gated_stable_pattern_ser,gated_consensus_pattern_ser,gated_hybrid_pattern_ser,best_pattern_fix_vs_savaux,best_pattern_break_vs_savaux,best_pattern_changes_vs_savaux,mean_pattern_fix_vs_savaux,mean_pattern_break_vs_savaux,mean_pattern_changes_vs_savaux,coherent_pattern_fix_vs_savaux,coherent_pattern_break_vs_savaux,coherent_pattern_changes_vs_savaux,whitened_pattern_fix_vs_savaux,whitened_pattern_break_vs_savaux,whitened_pattern_changes_vs_savaux,stable_pattern_fix_vs_savaux,stable_pattern_break_vs_savaux,stable_pattern_changes_vs_savaux,hybrid_mean_pattern_fix_vs_savaux,hybrid_mean_pattern_break_vs_savaux,hybrid_mean_pattern_changes_vs_savaux,gated_mean_pattern_fix_vs_savaux,gated_mean_pattern_break_vs_savaux,gated_mean_pattern_changes_vs_savaux,gated_stable_pattern_fix_vs_savaux,gated_stable_pattern_break_vs_savaux,gated_stable_pattern_changes_vs_savaux,gated_consensus_pattern_fix_vs_savaux,gated_consensus_pattern_break_vs_savaux,gated_consensus_pattern_changes_vs_savaux,gated_hybrid_pattern_fix_vs_savaux,gated_hybrid_pattern_break_vs_savaux,gated_hybrid_pattern_changes_vs_savaux
0_0_0_10_14_16,-23.0,42,2,70,fixed,4,offpacket,4.0,3.96720936152128,4.0227501077014525,128,1.0,1.0142857142857142,0.014285714285714285,0.5,0.11428571428571428,0.014285714285714285,0.014285714285714285,0.04285714285714286,0.07142857142857142,0.08571428571428572,0.04285714285714286,0.014285714285714285,0.04285714285714286,0,34,35,0,7,8,0,0,0,0,0,0,0,2,2,0,4,4,0,5,6,0,2,2,0,0,0,0,2,2
0_0_0_10_14_16,-24.0,42,2,70,fixed,4,offpacket,4.0,3.9672810176037925,4.023003245652443,128,1.0,1.2142857142857144,0.11428571428571428,0.6571428571428571,0.2571428571428571,0.11428571428571428,0.11428571428571428,0.12857142857142856,0.15714285714285714,0.22857142857142856,0.12857142857142856,0.11428571428571428,0.12857142857142856,0,38,45,0,10,17,0,0,0,0,0,1,0,1,4,1,4,9,0,8,14,0,1,4,0,0,0,1,2,6
0_0_0_10_14_16,-25.0,42,2,70,fixed,4,offpacket,4.0,3.9673533096638303,4.023246438490865,128,0.9857142857142858,2.6857142857142855,0.22857142857142856,0.8,0.45714285714285713,0.22857142857142856,0.24285714285714285,0.2857142857142857,0.32857142857142857,0.38571428571428573,0.2857142857142857,0.22857142857142856,0.2714285714285714,0,40,54,2,18,32,0,0,0,1,2,4,0,4,9,2,9,21,2,13,26,0,4,9,0,0,0,4,7,16
