packet_index,event_index,success,total_payload,correct_count,pre_block_correct_count,pre_template_correct_count,block_code_search_enabled,payload_template_known,final_error_rate,initial_slope_pi,final_slope_pi,initial_line_r2,final_line_r2,preamble_anchors,header_anchors,header_method,header_rescue_score,header_rescue_visited,preamble_line_slope_pi,header_line_slope_pi,hough_line_slope_pi,hough_score,preamble_line_r2,header_line_r2,refinement_rounds,round0_acc,round1_acc,round2_acc,payload_len,gt_bins_available,reconstructed_payload_hex,reconstructed_unknown_bytes
1,1,1,48,2,2,2,0,0,0.9583,-0.1370,-0.1370,0.3476,0.3476,16,8,phase_checksum_beam,7.0308,174950,-0.0015,-0.1370,0.0000,0.0000,-0.0225,0.3476,2,0.0417,0.0417,,25,35,,0
2,2,1,25,0,0,0,0,0,1.0000,-0.2413,-0.2413,0.8509,0.8509,16,8,phase_checksum_beam,6.7931,174950,-0.0045,-0.2413,0.0000,0.0000,0.0580,0.8509,2,0.0400,0.0000,,22,35,,0
3,3,1,180,1,1,1,0,0,0.9944,0.3829,0.3829,0.8444,0.8444,16,8,argmax,,,-0.0061,0.3829,0.0000,0.0000,0.0948,0.8444,2,0.0111,0.0056,,97,35,,0
5,5,1,20,0,0,0,0,0,1.0000,0.0519,0.0519,0.1045,0.1045,16,8,phase_checksum_beam,6.7654,174950,-0.0102,0.0519,0.0000,0.0000,0.0518,0.1045,2,0.0000,0.0000,,16,35,,0
6,6,1,80,3,3,3,0,0,0.9625,0.3200,0.3200,0.6705,0.6705,16,8,phase_checksum_beam,6.7966,174950,-0.0066,0.3200,0.0000,0.0000,0.0547,0.6705,2,0.0375,0.0375,,49,35,,0
