dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,ordinary_fft_bin,savaux_bin,branch_gls_bin,savaux_dual_bin,proposed_bin,savaux_top_l_contains_gt,gls_top_l_contains_gt,phase_observations,phase_rmse_rad,phase_reliability,adaptive_consistency_weight,predicted_phase_rad,predicted_fractional_bin,predicted_timing_offset_chips,timing_offset_at_reference_chips,timing_slope_chips_per_symbol,timing_fit_consistency,timing_grid_contrast,frequency_rmse_bins,selected_pair_consistency,selected_pair_phase_residual_rad,gls_candidates,gls_candidate_consistency,gls_candidate_loss_db
collector_low4_cr47,,42,7,0,8,803,803,803,803,803,803,1,1,8,0.3719036094329046,0.969946154400744,0.2909838463202232,-0.11045170306913515,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.969946154400744,0.23032547331443765,0.16347227957268104,0.997818187835865,0.10363429703173799,803|67|773|827|281|618|990|678,0.99781819|0.80640972|0.82014625|0.9255785|0.86940163|0.97308826|0.75154693|0.69750658,0|-14.380641|-14.671984|-14.686659|-14.961037|-15.03818|-15.068475|-15.318566
collector_low4_cr47,,42,7,1,9,711,711,711,711,711,711,1,1,8,0.3719036094329046,0.969946154400744,0.2909838463202232,-0.08856331008323232,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.969946154400744,0.23032547331443765,0.16347227957268104,0.996515327436156,-0.14971943933150006,711|915|874|786|464|698|435|687,0.99651533|0.90376546|0.95112763|0.96324633|0.94073117|0.95830293|0.78698262|0.84504143,0|-12.161576|-12.300627|-12.399176|-12.613824|-12.625115|-13.217927|-13.220581
collector_low4_cr47,,42,7,2,10,922,922,922,922,922,922,1,1,8,0.3719036094329046,0.969946154400744,0.2909838463202232,-0.06667491709732948,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.969946154400744,0.23032547331443765,0.16347227957268104,0.9998657914170198,-0.04285511781211698,922|417|467|757|697|252|865|864,0.99986579|0.86475526|0.73623935|0.73821231|0.94761295|0.9825304|0.85357146|0.79747534,0|-12.84533|-13.209596|-13.245564|-13.285153|-13.852413|-14.239496|-14.281569
collector_low4_cr47,,42,7,3,11,718,718,718,718,718,718,1,1,8,0.3719036094329046,0.969946154400744,0.2909838463202232,-0.044786524111426584,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.969946154400744,0.23032547331443765,0.16347227957268104,0.9916438314323395,0.19130028911372604,718|688|581|397|686|286|601|931,0.99164383|0.76343665|0.80819257|0.71202553|0.74220239|0.87896787|0.91963899|0.85096918,0|-12.278167|-13.46126|-13.673214|-13.764583|-13.95974|-14.039144|-14.173755
collector_low4_cr47,,42,7,4,12,756,756,756,756,756,756,1,1,8,0.3719036094329046,0.969946154400744,0.2909838463202232,-0.022898131125523746,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.969946154400744,0.23032547331443765,0.16347227957268104,0.9915257500638599,0.2616361486880255,756|614|535|863|460|806|561|1019,0.99152575|0.81345366|0.89064493|0.8340699|0.3364139|0.86585165|0.9358343|0.93749481,0|-13.552612|-13.78418|-14.240261|-14.303874|-14.373168|-14.386248|-14.425473
collector_low4_cr47,,42,7,5,13,109,109,109,109,109,109,1,1,8,0.3719036094329046,0.969946154400744,0.2909838463202232,-0.0010097381396209082,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.969946154400744,0.23032547331443765,0.16347227957268104,0.976579896610608,0.003676761618890939,109|834|459|898|975|132|564|169,0.9765799|0.98275228|0.89619411|0.87617419|0.99631354|0.8670929|0.8931352|0.944852,0|-11.398886|-11.928742|-12.752073|-12.776584|-12.854054|-13.128109|-13.720398
collector_low4_cr47,,42,7,6,14,932,932,932,932,932,932,1,1,8,0.3719036094329046,0.969946154400744,0.2909838463202232,0.02087865484628193,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.969946154400744,0.23032547331443765,0.16347227957268104,0.996729245522309,0.6398363090494555,932|145|805|907|31|605|80|433,0.99672925|0.95150471|0.87760669|0.76209881|0.99926957|0.39453624|0.94363407|0.62736275,0|-10.736226|-12.180786|-13.754787|-13.915299|-14.318251|-14.338359|-14.397013
collector_low4_cr47,,42,7,7,15,468,468,468,468,468,468,1,1,8,0.3719036094329046,0.969946154400744,0.2909838463202232,0.04276704783218488,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.969946154400744,0.23032547331443765,0.16347227957268104,0.9967918197882699,-0.005999540347878918,468|495|325|912|578|408|51|82,0.99679182|0.89572824|0.48046961|0.84890853|0.65387739|0.63701548|0.8735419|0.87770646,0|-14.278886|-14.451593|-14.502633|-14.665584|-14.721584|-14.793885|-14.849909
collector_low4_cr47,,42,7,8,16,89,89,89,89,89,89,1,1,8,0.3719036094329046,0.969946154400744,0.2909838463202232,0.06465544081808772,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.969946154400744,0.23032547331443765,0.16347227957268104,0.9867322077964936,-0.23789637831069071,89|734|594|803|271|628|577|801,0.98673221|0.88308413|0.45472929|0.669359|0.5219068|0.98423148|0.99862526|0.93622242,0|-10.978843|-11.143773|-11.796003|-12.067224|-12.11444|-12.308795|-12.53252
collector_low4_cr47,,42,7,9,17,713,713,713,713,713,713,1,1,8,0.3719036094329046,0.969946154400744,0.2909838463202232,0.08654383380399056,-0.003398600932863723,-0.03615960099750626,-0.03615960099750626,0.0,0.969946154400744,0.23032547331443765,0.16347227957268104,0.9570502148873106,0.5329695082614723,713|828|808|243|792|25|110|109,0.95705021|0.93838996|0.84465318|0.87436127|0.94734802|0.80564413|0.92105352|0.8926677,0|-7.6359039|-7.7907214|-8.9001675|-9.1040431|-9.1825606|-9.1880276|-9.3086618
