dataset,snr_db,seed,packet_index,payload_symbol_index,frame_symbol_index,gt_bin,ordinary_fft_bin,savaux_bin,branch_gls_bin,savaux_dual_bin,proposed_bin,savaux_top_l_contains_gt,gls_top_l_contains_gt,phase_observations,phase_rmse_rad,phase_reliability,adaptive_consistency_weight,predicted_phase_rad,predicted_fractional_bin,frequency_rmse_bins,selected_pair_consistency,selected_pair_phase_residual_rad,gls_candidates,gls_candidate_consistency
collector_low4_cr47,,42,7,0,8,803,803,803,803,803,803,1,1,8,0.3719036094329046,0.6809946570283648,0.20429839710850944,-0.11045170306913515,-0.003398600932863723,0.16347227957268104,0.9983932935698829,-0.013111473600135037,803|67|773|827|281|618|990|678,0.99839329|0.80624427|0.79629571|0.93373399|0.89086293|0.97507274|0.74874082|0.70119147
collector_low4_cr47,,42,7,1,9,711,711,711,711,711,711,1,1,8,0.3719036094329046,0.6809946570283648,0.20429839710850944,-0.08856331008323232,-0.003398600932863723,0.16347227957268104,0.9881463209279435,-0.28835360294927576,711|915|874|786|464|698|435|687,0.98814632|0.91171132|0.94773657|0.97565578|0.90579283|0.97632118|0.78680536|0.82101529
collector_low4_cr47,,42,7,2,10,922,922,922,922,922,922,1,1,8,0.3719036094329046,0.6809946570283648,0.20429839710850944,-0.06667491709732948,-0.003398600932863723,0.16347227957268104,0.9994620299417055,-0.20337767441579657,922|417|467|757|697|252|865|864,0.99946203|0.86234706|0.66988987|0.78046426|0.91709201|0.99202158|0.85136825|0.81937692
collector_low4_cr47,,42,7,3,11,718,718,718,718,718,718,1,1,8,0.3719036094329046,0.6809946570283648,0.20429839710850944,-0.044786524111426584,-0.003398600932863723,0.16347227957268104,0.9968068407211337,0.008889339524144578,718|688|581|397|686|286|601|931,0.99680684|0.80086372|0.86075436|0.69593086|0.72351231|0.88671277|0.88627121|0.86322124
collector_low4_cr47,,42,7,4,12,756,756,756,756,756,756,1,1,8,0.3719036094329046,0.6809946570283648,0.20429839710850944,-0.022898131125523746,-0.003398600932863723,0.16347227957268104,0.9969192862083934,0.05733680611254093,756|614|535|863|460|806|561|1019,0.99691929|0.80008809|0.94489964|0.81864074|0.43477261|0.89793818|0.95246619|0.93785117
collector_low4_cr47,,42,7,5,13,109,109,109,109,109,109,1,1,8,0.3719036094329046,0.6809946570283648,0.20429839710850944,-0.0010097381396209082,-0.003398600932863723,0.16347227957268104,0.9750129792852648,-0.2225109739424962,109|834|459|898|975|132|564|169,0.97501298|0.99138549|0.81776258|0.89050703|0.99731661|0.84705323|0.88110794|0.95593035
collector_low4_cr47,,42,7,6,14,932,932,932,932,932,932,1,1,8,0.3719036094329046,0.6809946570283648,0.20429839710850944,0.02087865484628193,-0.003398600932863723,0.16347227957268104,0.9984080950328602,0.3917601805021643,932|145|805|907|31|605|80|433,0.9984081|0.94299233|0.83598952|0.73646993|0.99906795|0.50268916|0.94881884|0.65340503
collector_low4_cr47,,42,7,7,15,468,468,468,468,468,468,1,1,8,0.3719036094329046,0.6809946570283648,0.20429839710850944,0.04276704783218488,-0.003398600932863723,0.16347227957268104,0.9774348746889331,-0.2759640618810717,468|495|325|912|578|408|51|82,0.97743487|0.92585311|0.58598496|0.84821074|0.7658653|0.75271606|0.86530752|0.87508564
collector_low4_cr47,,42,7,8,16,89,89,89,89,89,89,1,1,8,0.3719036094329046,0.6809946570283648,0.20429839710850944,0.06465544081808772,-0.003398600932863723,0.16347227957268104,0.9824327441558693,-0.5297492928297871,89|734|594|803|271|628|577|801,0.98243274|0.93478599|0.50018919|0.7318393|0.60734195|0.97773042|0.9879863|0.95198191
collector_low4_cr47,,42,7,9,17,713,713,713,713,713,713,1,1,8,0.3719036094329046,0.6809946570283648,0.20429839710850944,0.08654383380399056,-0.003398600932863723,0.16347227957268104,0.978952685039793,0.21922820075647356,713|828|808|243|792|25|110|109,0.97895269|0.95939582|0.89584964|0.84620726|0.93053976|0.81173806|0.9129359|0.89093514
