method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations
savaux,0,70,25,0.35714285714285715,0,0,0.4939277000084985,7.056110000121407,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
hamming_12,12,70,23,0.32857142857142857,4,2,1.226296300003014,17.518518571471628,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
information_12,12,70,22,0.3142857142857143,4,1,1.1859321999909298,16.941888571298996,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
lora_information_12,12,70,21,0.3,6,2,1.2200030000021798,17.428614285745425,0_0_0_10_14_16,-24.0,42,41,-24.0,512,4
savaux,0,70,21,0.3,0,0,0.18894669999281177,2.6992385713258824,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
hamming_12,12,70,18,0.2571428571428571,3,0,1.0842731000120693,15.489615714458134,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
information_12,12,70,15,0.21428571428571427,6,0,1.0983603000131552,15.69086142875936,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
lora_information_12,12,70,19,0.2714285714285714,3,1,1.105548200008343,15.7935457144049,0_0_0_10_14_16,-24.0,43,41,-24.0,512,4
savaux,0,70,23,0.32857142857142857,0,0,0.18103329999212292,2.5861899998874702,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
hamming_12,12,70,19,0.2714285714285714,4,0,1.1391423000095529,16.273461428707897,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
information_12,12,70,19,0.2714285714285714,4,0,1.1408950000077311,16.298500000110444,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
lora_information_12,12,70,19,0.2714285714285714,4,0,1.1267560999876878,16.096515714109824,0_0_0_10_14_16,-24.0,44,41,-24.0,512,4
