packet_index,frame_index,frame_symbol_index,payload_symbol_index,start_sample,gt_bin,noise_source,savaux_bin,savaux_correct,savaux_margin_db,savaux_fix_vs_savaux,savaux_break_vs_savaux,colored_ml_bin,colored_ml_correct,colored_ml_margin_db,colored_ml_fix_vs_savaux,colored_ml_break_vs_savaux,fixed_gls_bin,fixed_gls_correct,fixed_gls_margin_db,fixed_gls_fix_vs_savaux,fixed_gls_break_vs_savaux,segmented_gls_bin,segmented_gls_correct,segmented_gls_margin_db,segmented_gls_fix_vs_savaux,segmented_gls_break_vs_savaux,model_nus_bin,model_nus_correct,model_nus_margin_db,model_nus_fix_vs_savaux,model_nus_break_vs_savaux
7,0,8,0,30416308,803,independent_low1_natural_offpacket,803,1,14.425948426281714,0,0,803,1,13.85675207585666,0,0,803,1,13.945345578355004,0,0,803,1,13.85256697903878,0,0,803,1,13.937018913953366,0,0
7,0,9,1,30420404,711,independent_low1_natural_offpacket,711,1,12.315897726003842,0,0,711,1,11.619337596523971,0,0,711,1,12.089547584483864,0,0,711,1,10.874132071039417,0,0,711,1,11.54842442016391,0,0
7,0,10,2,30424500,922,independent_low1_natural_offpacket,922,1,12.771044542609381,0,0,922,1,13.368765954390513,0,0,922,1,11.974711255315203,0,0,922,1,11.780875375294793,0,0,922,1,12.030557562496904,0,0
7,0,11,3,30428596,718,independent_low1_natural_offpacket,718,1,12.245346618912805,0,0,718,1,13.168051498234426,0,0,718,1,11.519332870197736,0,0,718,1,11.922768366286391,0,0,718,1,12.088898716348591,0,0
7,0,12,4,30432692,756,independent_low1_natural_offpacket,756,1,13.61109075101961,0,0,756,1,13.678213066014413,0,0,756,1,13.276606984585788,0,0,756,1,13.399519630333687,0,0,756,1,12.76778755922545,0,0
7,0,13,5,30436788,109,independent_low1_natural_offpacket,109,1,11.430087298973305,0,0,109,1,10.6734929319719,0,0,109,1,11.57633434577858,0,0,109,1,11.794637994710332,0,0,109,1,11.715824573085898,0,0
7,0,14,6,30440884,932,independent_low1_natural_offpacket,932,1,10.707333171727527,0,0,932,1,10.731965819691716,0,0,932,1,10.777565130654992,0,0,932,1,10.933568031899307,0,0,932,1,10.737290940453645,0,0
7,0,15,7,30444980,468,independent_low1_natural_offpacket,468,1,14.333968981868136,0,0,468,1,14.425618101829144,0,0,468,1,14.140108538809022,0,0,468,1,12.756797753272142,0,0,468,1,14.041673315058269,0,0
7,0,16,8,30449076,89,independent_low1_natural_offpacket,89,1,11.25847433947463,0,0,89,1,11.597458676824884,0,0,89,1,10.756327174552077,0,0,89,1,10.907530000204712,0,0,89,1,10.082327210583653,0,0
7,0,17,9,30453172,713,independent_low1_natural_offpacket,713,1,7.597734914103842,0,0,713,1,8.531253073510817,0,0,713,1,7.427093718517805,0,0,713,1,7.660405976207575,0,0,713,1,7.827468484777088,0,0
7,0,18,10,30457268,865,independent_low1_natural_offpacket,865,1,8.621352251422874,0,0,865,1,8.083292072474102,0,0,865,1,8.290127636779012,0,0,865,1,7.928600605663437,0,0,865,1,7.891545108576818,0,0
7,0,19,11,30461364,92,independent_low1_natural_offpacket,92,1,11.907507721198861,0,0,92,1,12.192780915838284,0,0,92,1,12.310989482247308,0,0,92,1,12.159381069953792,0,0,92,1,12.369427825733743,0,0
7,0,20,12,30465460,645,independent_low1_natural_offpacket,645,1,10.341853280610042,0,0,645,1,10.82247961038886,0,0,645,1,9.7352993666297,0,0,645,1,10.071208441139248,0,0,645,1,9.227772106250585,0,0
7,0,21,13,30469556,426,independent_low1_natural_offpacket,426,1,11.201872589706777,0,0,426,1,11.801481191097189,0,0,426,1,11.076749510793011,0,0,426,1,11.167729913614696,0,0,426,1,11.089454062276854,0,0
7,0,22,14,30473652,765,independent_low1_natural_offpacket,765,1,12.549700954608616,0,0,765,1,12.664945555193105,0,0,765,1,11.837722019456061,0,0,765,1,11.509177598095253,0,0,765,1,11.553384162057101,0,0
7,0,23,15,30477748,1023,independent_low1_natural_offpacket,1023,1,13.69456882038711,0,0,1023,1,13.697290192239894,0,0,1023,1,13.375027270908271,0,0,1023,1,13.296579609094334,0,0,1023,1,13.373631605493944,0,0
7,0,24,16,30481844,597,independent_low1_natural_offpacket,597,1,11.189679733833946,0,0,597,1,11.742946796928928,0,0,597,1,11.175704780206848,0,0,597,1,11.971319187843433,0,0,597,1,11.303497221877487,0,0
7,0,25,17,30485940,562,independent_low1_natural_offpacket,562,1,12.697192615187413,0,0,562,1,13.175142710468448,0,0,562,1,12.360988520056003,0,0,562,1,12.331032501964362,0,0,562,1,12.399883685861939,0,0
7,0,26,18,30490036,827,independent_low1_natural_offpacket,827,1,13.299708174120962,0,0,827,1,13.11939114969869,0,0,827,1,13.070598951682065,0,0,827,1,13.011958967695424,0,0,827,1,12.846854170823194,0,0
7,0,27,19,30494132,890,independent_low1_natural_offpacket,890,1,11.842783867867983,0,0,890,1,12.384594017894328,0,0,890,1,11.571393952544318,0,0,890,1,12.343106355236298,0,0,890,1,11.238391111037949,0,0
7,0,28,20,30498228,174,independent_low1_natural_offpacket,174,1,12.15947955942478,0,0,174,1,11.732262273717815,0,0,174,1,11.548923185942694,0,0,174,1,11.526425797831138,0,0,174,1,11.475896156030625,0,0
7,0,29,21,30502324,267,independent_low1_natural_offpacket,267,1,8.882222659491699,0,0,267,1,8.929324170366185,0,0,267,1,8.73451330850365,0,0,267,1,7.582507000265832,0,0,267,1,8.629542544782957,0,0
7,0,30,22,30506420,917,independent_low1_natural_offpacket,917,1,7.516065753830827,0,0,917,1,7.100932226737843,0,0,917,1,7.483421411058585,0,0,917,1,6.7841496487591915,0,0,917,1,7.262001925712801,0,0
7,0,31,23,30510516,656,independent_low1_natural_offpacket,656,1,11.29172059442148,0,0,656,1,11.275555117637872,0,0,656,1,11.011659510747744,0,0,656,1,11.394254590697132,0,0,656,1,10.936107266063093,0,0
7,0,32,24,30514612,889,independent_low1_natural_offpacket,889,1,12.057587685183584,0,0,889,1,11.170805189772802,0,0,889,1,11.84550809780227,0,0,889,1,11.34532679767722,0,0,889,1,11.88324402858341,0,0
7,0,33,25,30518708,66,independent_low1_natural_offpacket,66,1,13.588881013216632,0,0,66,1,13.09829400041242,0,0,66,1,13.722479587452982,0,0,66,1,13.249874224188067,0,0,66,1,13.011517457762151,0,0
7,0,34,26,30522804,586,independent_low1_natural_offpacket,586,1,12.108318614352262,0,0,586,1,11.028518255878302,0,0,586,1,12.160947601750793,0,0,586,1,7.7832163704954915,0,0,586,1,11.931715812511811,0,0
7,0,35,27,30526900,425,independent_low1_natural_offpacket,425,1,12.256403152555501,0,0,425,1,12.13567194040481,0,0,425,1,11.087329953527668,0,0,425,1,10.429332580973348,0,0,425,1,11.557851094316387,0,0
7,0,36,28,30530996,860,independent_low1_natural_offpacket,860,1,11.529290647087029,0,0,860,1,12.327903506615062,0,0,860,1,11.802956917733722,0,0,860,1,11.753803450960795,0,0,860,1,11.596658562938845,0,0
7,0,37,29,30535093,553,independent_low1_natural_offpacket,553,1,10.987608285750222,0,0,553,1,11.957700899472382,0,0,553,1,11.222723798540628,0,0,553,1,10.688859231525825,0,0,553,1,11.2826066297435,0,0
7,0,38,30,30539189,629,independent_low1_natural_offpacket,629,1,11.997218359200252,0,0,629,1,10.217577404857913,0,0,629,1,12.517069680605754,0,0,629,1,10.400058980802223,0,0,629,1,12.231432740567099,0,0
7,0,39,31,30543285,759,independent_low1_natural_offpacket,759,1,10.409686129828115,0,0,759,1,10.39309047169253,0,0,759,1,10.734950831106902,0,0,759,1,8.755218361684161,0,0,759,1,10.867056623727533,0,0
7,0,40,32,30547381,494,independent_low1_natural_offpacket,494,1,11.729565125933668,0,0,494,1,11.94865323959889,0,0,494,1,10.321344881687287,0,0,494,1,11.703451455337747,0,0,494,1,9.993562000380203,0,0
