dataset,target_snr_db,packet_index,frame_index,event_index,payload_len,symbol_count,traditional_fft_symbol_ser,multi_offset_argmax_symbol_ser,current_selected_symbol_ser,savaux_paper_symbol_ser,adaptive_path_symbol_ser,current_gain_vs_traditional_fft,savaux_gain_vs_traditional_fft,adaptive_gain_vs_traditional_fft,savaux_gain_vs_current,adaptive_gain_vs_current,adaptive_gain_vs_savaux,traditional_fft_crc_valid,multi_offset_argmax_crc_valid,current_selected_crc_valid,savaux_paper_crc_valid,adaptive_path_crc_valid,adaptive_override_count,adaptive_fix_count,adaptive_break_count,adaptive_mean_path_gain,adaptive_mean_switch_rate,winner_by_symbol_ser
0_0_0_10_14_16,-24.0,1,0,1,33,35,0.8571428571428571,0.6,0.2857142857142857,0.08571428571428572,0.08571428571428572,0.5714285714285714,0.7714285714285714,0.7714285714285714,0.19999999999999998,0.19999999999999998,0.0,0,0,0,0,0,0,0,0,78.4363194789685,0.43368244658567234,savaux_paper
0_0_0_10_14_16,-24.0,2,1,2,33,35,0.9428571428571428,0.5428571428571428,0.2571428571428571,0.08571428571428572,0.08571428571428572,0.6857142857142857,0.8571428571428571,0.8571428571428571,0.1714285714285714,0.1714285714285714,0.0,0,0,0,0,0,0,0,0,83.58111950405502,0.429995810640972,savaux_paper
0_0_0_10_14_16,-24.0,3,2,3,33,35,0.8571428571428571,0.6,0.5142857142857142,0.14285714285714285,0.14285714285714285,0.34285714285714286,0.7142857142857142,0.7142857142857142,0.3714285714285714,0.3714285714285714,0.0,0,0,0,0,0,0,0,0,87.77372198056986,0.4347716799329702,savaux_paper
0_0_0_10_14_16,-24.0,5,3,5,33,35,0.9142857142857143,0.6,0.34285714285714286,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.7714285714285714,0.7714285714285714,0.2,0.2,0.0,0,0,0,0,0,0,0,0,86.65840469150324,0.43862589023879345,savaux_paper
0_0_0_10_14_16,-24.0,6,4,6,33,35,0.8285714285714286,0.5714285714285714,0.34285714285714286,0.17142857142857143,0.17142857142857143,0.48571428571428577,0.6571428571428573,0.6571428571428573,0.17142857142857143,0.17142857142857143,0.0,0,0,0,0,0,0,0,0,90.2069179085746,0.4365032816645719,savaux_paper
0_0_0_10_14_16,-24.0,8,5,8,33,35,0.8857142857142857,0.4,0.3142857142857143,0.08571428571428572,0.08571428571428572,0.5714285714285714,0.7999999999999999,0.7999999999999999,0.22857142857142856,0.22857142857142856,0.0,0,0,0,0,0,0,0,0,78.51159402318241,0.4356933389191454,savaux_paper
0_0_0_10_14_16,-24.0,9,6,9,33,35,0.8571428571428571,0.5428571428571428,0.4857142857142857,0.14285714285714285,0.14285714285714285,0.3714285714285714,0.7142857142857142,0.7142857142857142,0.34285714285714286,0.34285714285714286,0.0,0,0,0,0,0,0,0,0,79.69283198235621,0.43236978075687754,savaux_paper
0_0_0_10_14_16,-24.0,10,7,10,33,35,0.8571428571428571,0.6,0.2571428571428571,0.14285714285714285,0.14285714285714285,0.6,0.7142857142857142,0.7142857142857142,0.11428571428571427,0.11428571428571427,0.0,0,0,0,0,0,0,0,0,82.74279060777748,0.4362239910627007,savaux_paper
0_0_0_10_14_16,-24.0,11,8,11,33,35,0.7142857142857143,0.5142857142857142,0.17142857142857143,0.02857142857142857,0.02857142857142857,0.5428571428571429,0.6857142857142857,0.6857142857142857,0.14285714285714285,0.14285714285714285,0.0,0,0,0,0,0,0,0,0,74.20842796437904,0.4319229157938836,savaux_paper
0_0_0_10_14_16,-24.0,12,9,12,33,35,0.6857142857142857,0.2857142857142857,0.17142857142857143,0.05714285714285714,0.05714285714285714,0.5142857142857142,0.6285714285714286,0.6285714285714286,0.1142857142857143,0.1142857142857143,0.0,0,0,0,0,0,0,0,0,69.40405848802585,0.43276078759949727,savaux_paper
0_0_0_10_14_16,-24.0,13,10,13,33,35,0.7714285714285715,0.34285714285714286,0.11428571428571428,0.05714285714285714,0.05714285714285714,0.6571428571428571,0.7142857142857143,0.7142857142857143,0.05714285714285714,0.05714285714285714,0.0,0,0,0,0,0,0,0,0,80.47000315565867,0.43457617651166036,savaux_paper
