method,pattern_count,symbol_count,errors,ser,fixes_vs_savaux,breaks_vs_savaux,elapsed_seconds,mean_milliseconds_per_symbol,dataset,snr_db,seed,training_seed,training_snr,training_snapshots,cg_iterations,lora_leakage_weight,runtime_lora_weight
savaux,0,70,8,0.11428571428571428,0,0,0.48609809998379205,6.94425857119703,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,1.0,1.0
hamming_12,12,70,8,0.11428571428571428,0,0,1.335631400008424,19.080448571548914,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,1.0,1.0
information_12,12,70,8,0.11428571428571428,2,2,1.315884499996173,18.798349999945327,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,1.0,1.0
lora_information_12,12,70,24,0.34285714285714286,2,18,1.307235899999796,18.674798571425658,0_0_0_10_14_16,-24.0,42,41,-24.0,512,8,1.0,1.0
savaux,0,70,8,0.11428571428571428,0,0,0.19967760001600254,2.8525371430857507,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,1.0,1.0
hamming_12,12,70,10,0.14285714285714285,0,2,1.2584906999873056,17.97843857124722,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,1.0,1.0
information_12,12,70,8,0.11428571428571428,1,1,1.3280685999852722,18.972408571218175,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,1.0,1.0
lora_information_12,12,70,21,0.3,0,13,1.3091522000067926,18.70217428581132,0_0_0_10_14_16,-24.0,43,41,-24.0,512,8,1.0,1.0
savaux,0,70,5,0.07142857142857142,0,0,0.1853582999901846,2.6479757141454945,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,1.0,1.0
hamming_12,12,70,6,0.08571428571428572,0,1,1.1840008000035596,16.914297142907994,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,1.0,1.0
information_12,12,70,7,0.1,0,2,1.1934170000095037,17.048814285850053,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,1.0,1.0
lora_information_12,12,70,20,0.2857142857142857,0,15,1.2045611000103236,17.208015714433195,0_0_0_10_14_16,-24.0,44,41,-24.0,512,8,1.0,1.0
