selection_method,pattern_count,selection_rank,candidate_index,pattern_name,marginal_information,lora_leakage_weight
information,12,1,106,block_w32_s2_b1,119.71922425184201,1.0
information,12,2,128,block_w64_s2_b0,111.31755390859344,1.0
information,12,3,132,block_w64_s2_b2,81.12430197884936,1.0
information,12,4,110,block_w32_s2_b3,63.15496289054074,1.0
information,12,5,48,block_w8_s1_b0,16.57939759020478,1.0
information,12,6,155,multiscale_w128_s2_b1,18.923085132324065,1.0
information,12,7,163,multiscale_w128_s3_b1,15.640753729455524,1.0
information,12,8,22,block_w2_s3_b3,13.664236556623711,1.0
information,12,9,99,multiscale_w32_s1_b1,16.019138117618468,1.0
information,12,10,23,multiscale_w2_s3_b3,15.013688079456402,1.0
information,12,11,102,block_w32_s1_b3,17.451163699076854,1.0
information,12,12,146,block_w128_s1_b1,14.224088643375442,1.0
lora_information,12,1,113,multiscale_w32_s3_b0,97.96875392200232,1.0
lora_information,12,2,105,multiscale_w32_s2_b0,47.253356937073335,1.0
lora_information,12,3,72,block_w16_s1_b0,46.24450235875195,1.0
lora_information,12,4,74,block_w16_s1_b1,30.338861374619626,1.0
lora_information,12,5,70,block_w8_s3_b3,43.99601126423551,1.0
lora_information,12,6,64,block_w8_s3_b0,19.617771700980597,1.0
lora_information,12,7,163,multiscale_w128_s3_b1,11.48331073638517,1.0
lora_information,12,8,96,block_w32_s1_b0,12.011771514144225,1.0
lora_information,12,9,112,block_w32_s3_b0,12.840985247256157,1.0
lora_information,12,10,131,multiscale_w64_s2_b1,14.353466983004239,1.0
lora_information,12,11,55,multiscale_w8_s1_b3,11.784349721767313,1.0
lora_information,12,12,100,block_w32_s1_b2,9.341695262593188,1.0
