raw_fft_bin,trial_count,groundtruth_count,savaux_lambda_mean,savaux_lambda_median,colored_ml_lambda_mean,colored_ml_lambda_median,colored_minus_savaux_lambda_mean,model_full_to_savaux_snr_gain_db_mean,gt_savaux_lambda_mean,gt_colored_ml_lambda_mean
0,392,0,1.0599869001688398,0.6781765222549438,1.066095807610342,0.7084789872169495,0.006108907441501992,0.16461716406047344,,
1,392,0,0.9912666925913666,0.5710671246051788,0.9931930343410219,0.5622276067733765,0.0019263417496552635,0.1645653322339058,,
2,392,0,1.129206630780851,0.7106194794178009,1.142282195721292,0.7237777709960938,0.01307556494044102,0.16425750590860844,,
3,392,0,1.058450357642052,0.6439460515975952,1.072374273259941,0.6561315953731537,0.013923915617889013,0.16429811529815197,,
4,392,0,1.1502447321106548,0.6837502121925354,1.150149273657304,0.6779651939868927,-9.545845335066718e-05,0.16398926079273224,,
5,392,0,1.1421258540968684,0.67534339427948,1.1306136442705923,0.6421782672405243,-0.011512209826276152,0.16404143162071705,,
6,392,0,1.175797254586894,0.700780600309372,1.1631270021310656,0.665884792804718,-0.012670252455828465,0.16367937065660954,,
7,392,8,2.4571762441548195,0.7702965140342712,2.488594858342905,0.7026090025901794,0.031418614188085635,0.1637117862701416,67.74125671386719,70.71595048904419
8,392,0,1.112042172347452,0.6422399580478668,1.1033817342372552,0.662988692522049,-0.008660438110196917,0.16341408900916576,,
9,392,0,1.0449860470514383,0.6409796476364136,1.048846559705954,0.6311638653278351,0.0038605126545156296,0.16347702033817768,,
10,392,0,1.1362590249651587,0.6309526562690735,1.1456274030698872,0.5905512571334839,0.009368378104728453,0.1632392257452011,,
11,392,0,1.0595144727956314,0.6955382823944092,1.0742207975744518,0.6621556878089905,0.014706324778820331,0.16326196864247322,,
12,392,0,1.094984212833693,0.6998979151248932,1.0731980276887414,0.6731320917606354,-0.02178618514495165,0.16303407028317451,,
13,392,0,1.0531758933372044,0.6530865728855133,1.0285934740555716,0.6688919365406036,-0.024582419281632982,0.16302111372351646,,
14,392,0,1.1740147581606704,0.7247512936592102,1.1361139003871654,0.6875811517238617,-0.03790085777350492,0.16285589896142483,,
15,392,0,1.1446913543694215,0.6553236842155457,1.1448821632716595,0.6562383770942688,0.00019080890223802048,0.16289499960839748,,
16,392,0,1.048111089174125,0.6455203592777252,1.041392145507453,0.6614215075969696,-0.006718943666671795,0.1627911850810051,,
