file_name,target_snr_db,cfo_correction_mode,frame_index,packet_index,event_index,payload_symbol_index,frame_symbol_index,start_sample,header_start_sample,sf,os_factor,cfo_int,cfo_frac,cfo_common_phase_rad,sto_frac,sfo_hat,candidate_label,candidate_kind,candidate_value,gt_raw_fft_bin,gt_signed_fft_bin,argmax_raw_fft_bin,wrong_peak_raw_fft_bin,target_raw_fft_bin,target_signed_fft_bin,target_is_gt_bin,target_is_argmax_bin,argmax_is_gt_bin,target_rank,target_real,target_imag,target_amp,target_power,target_phase,target_phase_unwrap,phase_linear_fit,phase_residual,target_energy_ratio,gt_amp,gt_power,gt_energy_ratio,argmax_power,target_amp_vs_gt_db,target_power_vs_gt_db,target_power_vs_argmax_db,total_fft_energy,group_phase_slope_pi_per_symbol,group_linear_fit_r2,group_linear_fit_rmse_pi,group_residual_quad_r2
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_snr_m10dB.bin,-10.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,gt,gt,0,222,222,222,828,222,222,1,1,1,1,7.646716594696045,-2.8063251972198486,8.14541194735729,66.34772491455078,-0.351736310733894,-0.351736310733894,0.408341164650449,-0.7600774753843431,0.07794858590329369,8.14541194735729,66.34772491455078,0.07794858590329369,66.34772491455078,0.0,0.0,0.0,851.1729128333973,-0.05360402717343234,0.9433795832874464,0.1326297035011411,0.9582763315115705
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_snr_m10dB.bin,-10.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,argmax,argmax,0,222,222,222,828,222,222,1,1,1,1,7.646716594696045,-2.8063251972198486,8.14541194735729,66.34772491455078,-0.351736310733894,-0.351736310733894,0.408341164650449,-0.7600774753843431,0.07794858590329369,8.14541194735729,66.34772491455078,0.07794858590329369,66.34772491455078,0.0,0.0,0.0,851.1729128333973,-0.05360402717343234,0.9433795832874464,0.1326297035011411,0.9582763315115705
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_snr_m10dB.bin,-10.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,wrong_peak,wrong_peak,0,222,222,222,828,828,-196,0,0,1,2,-1.1932979822158813,-2.0088000297546387,2.3365011521295536,5.459237575531006,-2.106818421184328,-2.106818421184328,0.41867684155632,-2.525495262740648,0.006413782080257011,8.14541194735729,66.34772491455078,0.07794858590329369,66.34772491455078,-10.846941075337948,-10.846940409755367,-10.846940409755367,851.1729128333973,-0.035237268661624,0.23529721182261776,0.6415644187243574,0.022425841941721036
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_snr_m10dB.bin,-10.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,off+1,offset,1,222,222,222,828,223,223,0,0,1,16,1.7786612510681152,0.49181538820266724,1.8454046228738383,3.4055187702178955,0.2697683362531696,0.2697683362531696,-4.337702778090214,-1.6757141928362034,0.00400097174013862,8.14541194735729,66.34772491455078,0.07794858590329369,66.34772491455078,-12.896428981239914,-12.896427570255526,-12.896427570255526,851.1729128333973,-0.014064426603253615,0.034219664100467395,0.7546115097954993,0.0600817251500716
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_snr_m10dB.bin,-10.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,off-1,offset,-1,222,222,222,828,221,221,0,0,1,68,0.7116748690605164,1.298962116241455,1.4811427003103996,2.193783760070801,1.069582505156569,1.069582505156569,5.621874519544103,1.7308932927920522,0.0025773655704903723,8.14541194735729,66.34772491455078,0.07794858590329369,66.34772491455078,-14.806323015030834,-14.806322181484875,-14.806322181484875,851.1729128333973,-0.0064739808542526485,0.013522107795302274,0.558461165215342,0.13803675882766786
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_snr_m10dB.bin,-10.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,off+4,offset,4,222,222,222,828,226,226,0,0,1,972,0.15495367348194122,-0.11767817288637161,0.19457336225553287,0.03785879909992218,-0.6495160188680436,-0.6495160188680436,-4.221031254060614,-2.7116700719870157,4.447838803269389e-05,8.14541194735729,66.34772491455078,0.07794858590329369,66.34772491455078,-32.43659339288427,-32.436592015465536,-32.436592015465536,851.1729128333973,-0.029997295610258067,0.06895310000221389,1.113245811960035,0.24130486759276515
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_snr_m10dB.bin,-10.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,off-4,offset,-4,222,222,222,828,218,218,0,0,1,347,0.35570138692855835,0.8269211053848267,0.9001788662225767,0.8103219866752625,1.1645703828731875,1.1645703828731875,-4.574212814842905,-0.5444021094634935,0.0009520063132388111,8.14541194735729,66.34772491455078,0.07794858590329369,66.34772491455078,-19.131684812433228,-19.131684124631686,-19.131684124631686,851.1729128333973,-0.10099523350172306,0.32632602606466754,1.46554781451006,0.08761453373296868
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_snr_m10dB.bin,-10.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,off+16,offset,16,222,222,222,828,238,238,0,0,1,914,0.24988792836666107,0.11972654610872269,0.27708919608405097,0.07677841186523438,0.4468053022999954,0.4468053022999954,-5.065590362715327,-0.7707896421642639,9.020307238120776e-05,8.14541194735729,66.34772491455078,0.07794858590329369,66.34772491455078,-29.3658692126772,-29.365869107103645,-29.365869107103645,851.1729128333973,-0.22995705912647973,0.8302929122796516,1.0499803146360167,0.08234357973605833
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_snr_m10dB.bin,-10.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,off-16,offset,-16,222,222,222,828,206,206,0,0,1,214,-1.028162956237793,0.4386424720287323,1.1178221159232424,1.2495263814926147,2.738344405419733,2.738344405419733,2.927928984497515,-0.18958457907778212,0.0014680053402230252,8.14541194735729,66.34772491455078,0.07794858590329369,66.34772491455078,-17.250807109392248,-17.250806054514175,-17.250806054514175,851.1729128333973,-0.049273304356132544,0.581875552324915,0.4218416908885844,0.04001118281105165
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_snr_m10dB.bin,-10.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,off+64,offset,64,222,222,222,828,286,286,0,0,1,298,0.614315390586853,0.7697966694831848,0.9848707079912985,0.9699702262878418,0.8972620806977735,0.8972620806977735,0.4089821280853809,0.48827995261239254,0.0011395689543961052,8.14541194735729,66.34772491455078,0.07794858590329369,66.34772491455078,-18.35067664832868,-18.350676317656692,-18.350676317656692,851.1729128333973,0.0029404322333422906,0.0034338639925364234,0.505909434681487,0.03161409150875771
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_snr_m10dB.bin,-10.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,off+256,offset,256,222,222,222,828,478,478,0,0,1,387,0.37793776392936707,-0.7548278570175171,0.8441575961475364,0.7126021385192871,-1.1065936879394813,-1.1065936879394813,3.163016536154737,2.0135750830853687,0.0008372002066503342,8.14541194735729,66.34772491455078,0.07794858590329369,66.34772491455078,-19.689790409161404,-19.68978914019378,-19.68978914019378,851.1729128333973,-0.2337585378947403,0.9047640548945863,0.7659498702335427,0.004283201612285015
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_snr_m10dB.bin,-10.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,fix0000,fixed,0,222,222,222,828,0,0,0,0,1,450,-0.34680917859077454,-0.6981136798858643,0.7795122297941134,0.6076394319534302,-2.031864923457874,-2.031864923457874,1.3503364737711865,2.900983909950526,0.0007138848320850705,8.14541194735729,66.34772491455078,0.07794858590329369,66.34772491455078,-20.381802400774227,-20.381800862857396,-20.381800862857396,851.1729128333973,-0.10459001322441884,0.4448607750700213,1.179992383474348,0.026726060143009933
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_snr_m10dB.bin,-10.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,fix0256,fixed,256,222,222,222,828,256,256,0,0,1,42,1.0857208967208862,-1.1686278581619263,1.5951429203831664,2.544481039047241,-0.8221580543087086,-0.8221580543087086,2.2072143499456076,-3.029372404254316,0.0029893820640710172,8.14541194735729,66.34772491455078,0.07794858590329369,66.34772491455078,-14.16226905120103,-14.162268164065981,-14.162268164065981,851.1729128333973,0.037260552299207515,0.15213762231808547,0.8883697131904406,0.048504098419096975
D:\Desktop\proj\gr-lora_sdr\weakPacket_decoding\data\low_snr_gt_bin\0_0_0_10_14_16\0_0_0_10_14_16_snr_m10dB.bin,-10.0,continuous,0,1,1,0,8,2550960,2518192,10,4,-24,-0.42916033761813344,-1227.9435304004523,-0.04216817378983262,-0.006261318519996445,fix0512,fixed,512,222,222,222,828,512,512,0,0,1,786,0.20368488132953644,0.384866327047348,0.43544186819499064,0.18960963189601898,1.0840348666844484,1.0840348666844484,7.290687567341712,0.07653260652232266,0.000222762765399622,8.14541194735729,66.34772491455078,0.07794858590329369,66.34772491455078,-25.43965737385445,-25.439656402580823,-25.439656402580823,851.1729128333973,0.12315916787000016,0.640048360772691,0.9327870644427464,0.06114808308733399
