dataset,method,metric,threshold_snr_db,status
mean_of_datasets,savaux_paper,CRC/PRR>=80%,,all_fail
mean_of_datasets,savaux_paper,CRC/PRR>=50%,-22.536321483771253,interpolated
0_0_0_10_14_16,structured_path,SER<=10%,-23.717391304347828,interpolated
0_0_0_10_14_16,structured_path,accuracy>=90%,-23.717391304347828,interpolated
0_0_0_10_14_16,structured_path,CRC/PRR>=80%,,all_fail
0_0_0_10_14_16,structured_path,CRC/PRR>=50%,-22.375,interpolated
0_0_0_10_14_32,structured_path,SER<=10%,,all_fail
0_0_0_10_14_32,structured_path,accuracy>=90%,,all_fail
0_0_0_10_14_32,structured_path,CRC/PRR>=80%,,all_fail
0_0_0_10_14_32,structured_path,CRC/PRR>=50%,-22.75,interpolated
0_0_0_10_14_8,structured_path,SER<=10%,-23.548387096774192,interpolated
0_0_0_10_14_8,structured_path,accuracy>=90%,-23.548387096774192,interpolated
0_0_0_10_14_8,structured_path,CRC/PRR>=80%,,all_fail
0_0_0_10_14_8,structured_path,CRC/PRR>=50%,-23.0,interpolated
mean_of_datasets,structured_path,SER<=10%,-23.063966312412273,interpolated
mean_of_datasets,structured_path,accuracy>=90%,-23.063966312412273,interpolated
mean_of_datasets,structured_path,CRC/PRR>=80%,,all_fail
mean_of_datasets,structured_path,CRC/PRR>=50%,-22.601386481802425,interpolated
